,Wet Socks,Mystical Zendik,Mobile Doll May,Canya Hornet,Key Bon,Judgment Fay,Explosive Stare,Mighty Rhythm
09-01-2023 15:13:35.391822,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:36.546120,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:37.664227,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:38.745767,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:39.883132,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:40.907921,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:42.014544,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:43.234383,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:44.475481,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:45.695701,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 8.5)"
09-01-2023 15:13:46.866747,"(4.0, 6.6, 5.7875)","(6.0, 10.5, 8.671875)","(21.0, 60.0, 40.0)","(4.0, 6.4, 5.552941176470588)","(20.0, 60.0, 40.0)","(91.0, 610.0, 347.5)","(3.1, 5.2, 3.4767441860465116)","(4.4, 10.5, 9.713333333333335)"
