,Test The Law,Deep Point,Midnight Rush,Whatsanamegeorge,Zebella,Our Shining Star,Sir Toop,Soames,Im A Dexstar
07-01-2023 13:18:49.284421,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.538461538461538)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 15.216981132075471)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 165.0)"
07-01-2023 13:18:50.533391,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.538461538461538)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.216981132075471)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 165.0)"
07-01-2023 13:18:51.803172,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.44)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.026315789473685)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 165.0)"
07-01-2023 13:18:53.139467,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.723076923076924)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.026315789473685)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 165.0)"
07-01-2023 13:18:54.471000,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.723076923076924)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.026315789473685)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 165.0)"
07-01-2023 13:18:55.792642,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.723076923076924)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.026315789473685)","(8.0, 10.0, 9.221333333333332)","(91.0, 220.0, 120.0)"
07-01-2023 13:18:57.114894,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 4.061538461538461)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 13.454545454545455)","(8.0, 10.0, 9.221333333333332)","(91.0, 170.0, 111.66666666666667)"
07-01-2023 13:18:58.341687,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 170.0, 111.66666666666667)"
07-01-2023 13:18:59.577435,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 170.0, 111.66666666666667)"
07-01-2023 13:19:00.759887,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 170.0, 111.66666666666667)"
07-01-2023 13:19:02.038163,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 170.0, 120.0)"
07-01-2023 13:19:03.432546,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.975)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:04.988802,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:06.362889,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:07.592741,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.375)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.25)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:08.797271,"(5.5, 7.2, 7.1454545454545455)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.0)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:10.016551,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:11.178376,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:12.426651,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 120.0)"
07-01-2023 13:19:13.646351,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:14.877834,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:16.109940,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:17.434812,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:18.852535,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.818181818181818)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.346153846153847)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:20.322451,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.8, 9.764285714285714)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.0)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:21.693874,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.0)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:23.036695,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.533333333333333)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.0)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:24.320419,"(5.5, 7.2, 7.0)","(6.5, 9.8, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 15.117021276595745)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:25.583503,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.5, 14.680851063829788)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:26.813300,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.777777777777779)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:28.021198,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.777777777777779)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:29.174193,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.680851063829788)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:30.347515,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.680851063829788)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:31.466462,"(5.5, 7.2, 7.0)","(6.5, 10.0, 9.333333333333334)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.666666666666666)","(3.5, 4.2, 3.9299999999999997)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.680851063829788)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:32.593755,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.845161290322581)","(5.5, 6.8, 6.575)","(11.0, 17.0, 14.0)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.636363636363637)","(10.0, 15.0, 14.680851063829788)","(8.0, 10.0, 9.221333333333332)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:33.741698,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.845161290322581)","(5.5, 6.8, 6.575)","(11.0, 17.0, 15.25)","(3.5, 4.2, 3.9346153846153844)","(9.0, 14.0, 12.7)","(10.0, 15.0, 13.666666666666666)","(8.0, 10.0, 9.314285714285713)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:34.918726,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.2)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8903846153846153)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.666666666666666)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:36.111656,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.2)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8850000000000002)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.666666666666666)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:37.336484,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.2)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8850000000000002)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.666666666666666)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 136.0)"
07-01-2023 13:19:38.570043,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.2)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8850000000000002)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.857142857142858)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
07-01-2023 13:19:39.819170,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.636363636363637)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8850000000000002)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.857142857142858)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
07-01-2023 13:19:41.055425,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.636363636363637)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.8850000000000002)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.857142857142858)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
07-01-2023 13:19:42.244384,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.636363636363637)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.9136363636363636)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.857142857142858)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
07-01-2023 13:19:43.428705,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.636363636363637)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 3.9136363636363636)","(9.0, 13.5, 12.7)","(10.0, 15.0, 13.857142857142858)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
07-01-2023 13:19:44.581713,"(5.5, 7.2, 7.127272727272727)","(6.5, 10.0, 9.636363636363637)","(5.5, 6.8, 6.575)","(11.0, 15.0, 14.25)","(3.5, 4.2, 4.093333333333334)","(9.0, 13.5, 12.7)","(10.0, 14.5, 14.25)","(8.0, 9.6, 9.314285714285713)","(91.0, 160.0, 130.0)"
