,Chromatic Lass,Little O Little E,Bank Card,Gattolottasparkle,Phantom Queen,Lady Gangster,Las Vegas Blvd,Warriorinthehouse,Blue Mountain,Valued Energy
16-12-2022 10:31:59.181814,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:00.354106,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:01.612667,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:02.823556,"(2.5, 2.7, 2.46)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:03.976741,"(2.5, 2.78, 2.5628571428571427)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:05.103106,"(2.5, 2.78, 2.5628571428571427)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:06.254715,"(2.5, 2.78, 2.5773333333333333)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:07.385511,"(2.5, 2.76, 2.5349999999999997)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:08.505096,"(2.5, 2.74, 2.4927272727272727)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:09.671436,"(2.5, 2.74, 2.4927272727272727)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:10.808340,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:11.943407,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:13.088381,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:14.238997,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:15.378469,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:16.477916,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:17.592529,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:18.759803,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:19.955365,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:21.181323,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:22.409600,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:23.550457,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:24.673351,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:25.898149,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:27.068316,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:28.225268,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:29.412524,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:30.585118,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:31.762301,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:32.960577,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:34.129721,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:35.291537,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:36.473278,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:37.686785,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:38.942666,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:40.215468,"(2.5, 2.72, 2.52)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:41.458846,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:42.688874,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:43.895918,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:45.134448,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:46.409830,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:47.691898,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:48.988019,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:50.260993,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:51.519279,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:52.770286,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:53.973003,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
16-12-2022 10:32:55.202546,"(2.5, 2.68, 2.456)","(41.0, 930.0, 326.0)","(26.0, 990.0, 747.375)","(15.0, 990.0, 664.5)","(9.0, 28.0, 21.0)","(19.0, 200.0, 138.33333333333331)","(14.0, 34.0, 19.9)","(11.0, 65.0, 51.25)","(2.35, 2.5, 2.2600000000000002)","(26.0, 340.0, 180.5)"
