,Tudor Folk,River Matt,Slingshot Snoop,Shes The Grouse,Golden State,Dark Horse
11-01-2023 09:12:10.797689,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:11.775668,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:12.791471,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:13.776750,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(4.8, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:14.790639,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:15.818586,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:16.796150,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:17.739573,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:18.705607,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:19.681473,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:20.614698,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:21.606651,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:22.648150,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:23.657697,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:24.648555,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:25.516295,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:26.494505,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 9374.3125)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:27.488035,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 9090.363636363636)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:28.528113,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 9090.363636363636)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:29.533683,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 9090.363636363636)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:30.504095,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 9090.363636363636)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:31.590340,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 99998, 14.818181818181818)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:32.543932,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:33.471135,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:34.421218,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:35.426426,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:36.493664,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:37.501215,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:38.467344,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:39.465323,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 6.099733333333333)","(2.4, 3.5, 3.479285714285714)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:40.446237,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:41.358197,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:42.328676,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:43.373517,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:44.455325,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:45.690291,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:46.669921,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:47.633150,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:48.737325,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:49.697975,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:50.937209,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:51.986219,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:53.041952,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:54.085960,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:55.113960,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:56.087169,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:57.233690,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:58.382374,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:12:59.511744,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:00.660063,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 28.0, 19.75)","(5.0, 21.0, 9090.409090909092)","(7.5, 29.0, 9872.457215189874)"
11-01-2023 09:13:01.706614,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 99998, 9872.457215189874)","(5.0, 99998, 9090.363636363636)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:13:02.744478,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 99998, 9872.457215189874)","(5.0, 99998, 9090.363636363636)","(7.5, 99998, 9872.457215189874)"
11-01-2023 09:13:03.818906,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 99998, 9872.457215189874)","(5.0, 99998, 15.0)","(7.5, 99998, 20.390476190476193)"
11-01-2023 09:13:04.805406,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:05.778511,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:06.924735,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:08.067661,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:09.092281,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:10.080587,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 3.96)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:11.277304,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.4)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:12.198406,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:13.132438,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:14.128016,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:15.199374,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:16.275715,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:17.283312,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:18.189078,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:19.166006,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:20.265104,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:21.369782,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:22.419560,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:23.447042,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:24.462272,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:25.407778,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:26.361085,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:27.429951,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:28.423133,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:29.549163,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:30.536479,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:31.474872,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:32.378713,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:33.317251,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:34.317841,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:35.386274,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
11-01-2023 09:13:36.447514,"(41.0, 450.0, 309.6666666666667)","(3.0, 8.6, 5.343859649122807)","(2.4, 3.5, 3.466666666666667)","(6.5, 27.0, 19.012500000000003)","(5.0, 21.0, 15.0)","(7.5, 29.0, 20.390476190476193)"
