,Finniss Whisper,Vega Black,Succession,Pink Confetti,Cawbourne Donna,Finniss Eagle,Dashing Kara,Hey Day
06-01-2023 12:46:19.064850,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:20.180671,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:21.319357,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:22.430761,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:23.570924,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:24.764558,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:25.877225,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:26.927279,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:28.062028,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:29.184093,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:30.271454,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:31.395963,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:32.517613,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:33.660639,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:34.694654,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:35.808557,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:36.869583,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:37.904650,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:38.954879,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:40.011401,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:41.037700,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:42.093352,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:43.185002,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:44.360226,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:45.473448,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 137.42857142857142)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:46.598225,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:47.644312,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:48.711129,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:49.851093,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:50.927362,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:51.972797,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:53.072903,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:54.179383,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:55.357470,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:56.398439,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:57.492561,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:58.594755,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:46:59.567480,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:00.656238,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:01.730959,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:02.821173,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:03.930130,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:05.088545,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:06.203660,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.984615384615385)","(41.0, 390.0, 80.66666666666666)","(41.0, 320.0, 138.71428571428572)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:07.366965,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:08.525784,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:09.693560,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:10.804967,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:12.015646,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:13.263188,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:14.485033,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:15.624775,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 179.0)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:16.816771,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:18.012021,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:19.131204,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:20.238689,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:21.493733,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:22.663823,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:23.841644,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:25.030862,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:26.178628,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:27.333332,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:28.571654,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.696296296296296)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:29.729642,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 5.4, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.4)","(41.0, 390.0, 100.0)","(41.0, 320.0, 117.14285714285714)","(6.0, 12.0, 8.133333333333333)"
06-01-2023 12:47:30.963110,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:32.139440,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:33.373697,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:34.590520,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:35.800238,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 14.666666666666666)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:36.989952,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.4)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
06-01-2023 12:47:38.188167,"(2.35, 3.2, 2.68)","(9.0, 19.5, 17.71666666666667)","(3.3, 4.7, 3.8)","(6.5, 11.0, 9.3)","(9.0, 21.0, 13.4)","(41.0, 390.0, 100.0)","(41.0, 320.0, 87.63636363636363)","(6.0, 12.0, 7.022222222222222)"
