,Dr Hayley,Pipe Cove,Highland Fame,Aquiline Nose,Lily St Regis,Harden Up Tommy,Toxic Turtle,Cha Cha Socks
20,"[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 8, 59, 316957), 31.0, 240.0]"
21,"[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 0, 460961), 31.0, 240.0]"
22,"[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 1, 612902), 31.0, 240.0]"
23,"[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 2, 764084), 31.0, 240.0]"
24,"[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 3, 940010), 31.0, 240.0]"
25,"[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 5, 86929), 31.0, 240.0]"
26,"[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 6, 245902), 31.0, 240.0]"
27,"[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 7, 388256), 31.0, 240.0]"
28,"[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 8, 522830), 31.0, 240.0]"
29,"[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 2.7, 4.7]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 1.75, 2.22]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 21.0, 80.0]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 26.0, 60.0]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 9.0, 19.0]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 21.0, 70.0]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 10.0, 27.0]","[datetime.datetime(2022, 11, 28, 19, 9, 9, 651862), 31.0, 240.0]"
