,Liberty Royal,Maximum Sophie,Inga Letty,Reel It In,Myola Knight,Inter Clem,Silver Power,Indigo Indy
09-01-2023 15:33:13.119193,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:14.353201,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:15.581460,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:16.827157,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:18.019061,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:19.263495,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:20.408623,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:21.520204,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:22.739429,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:23.928656,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:25.150277,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:26.417691,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:27.740690,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:29.105940,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 22.375)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:30.553761,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:31.893647,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:33.294395,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:34.540864,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:35.786240,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:37.073099,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:38.341641,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:39.502219,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:40.699039,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:41.879735,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:42.916304,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:44.052740,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:45.249104,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:46.457720,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:47.689592,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:48.849518,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:49.999490,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:51.146047,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:52.402951,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:53.606972,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:54.831129,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:56.114922,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:57.404065,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:58.657398,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:33:59.949893,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:05.351292,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:06.472843,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:07.555227,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:08.616727,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:09.776065,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:10.916427,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:12.182439,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:13.414821,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:14.640763,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:15.802491,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:16.924424,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:18.153785,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:19.366193,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:20.591018,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:21.855098,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:23.106675,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:24.373024,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:25.624587,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:26.865860,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:28.121813,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:29.271354,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:30.521452,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:31.730944,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:32.885321,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:34.073066,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:35.269643,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:36.482255,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:37.877265,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:39.298752,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:40.589350,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:41.760328,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
09-01-2023 15:34:43.002116,"(3.7, 5.7, 4.596153846153847)","(2.6, 4.1, 2.630666666666667)","(11.0, 24.0, 18.92857142857143)","(10.0, 22.0, 17.5)","(41.0, 340.0, 118.57142857142857)","(2.8, 4.4, 2.7488)","(14.0, 38.0, 24.11111111111111)","(26.0, 290.0, 104.28571428571429)"
