,Ultimate Ad,Maxwell Robyn Nz,Incognito,Clementsorrell,Sunshine Karamea,Bently Bullet,Will I Am,Ice Blaster,The Maldives
10-01-2023 13:19:38.349014,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:39.836079,"(6.0, 9.4, 8.166666666666668)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:41.292024,"(6.0, 9.4, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:42.698471,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 7.170588235294117)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 9.933333333333334)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:44.196867,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:45.614483,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:47.027652,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:48.737934,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:50.377993,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:51.762730,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:53.187479,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:54.550377,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:55.957360,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:57.294997,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:58.585412,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 40.90909090909091)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:19:59.933477,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:01.290762,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:02.746700,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:04.086742,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:05.443550,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:06.734356,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:08.032153,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:09.349310,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:10.690190,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:12.033194,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:13.315486,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:14.614107,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:15.786550,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:17.055136,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:18.326398,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:19.549286,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:20.787537,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:22.025742,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:23.178324,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:24.375349,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:25.642839,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(17.0, 44.0, 32.6)"
10-01-2023 13:20:26.860433,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 41.13636363636364)","(51.0, 220.0, 92.5)","(31.0, 130.0, 51.14285714285714)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:28.036705,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 47.0)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:29.254396,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 47.0)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:30.506892,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 47.0)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:31.883460,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:33.304012,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:34.672411,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:35.935984,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 68.66666666666667)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:37.372428,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 130.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:38.648725,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:39.870707,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:41.042025,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:42.271333,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:43.489975,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:44.719063,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 49.625)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.6)"
10-01-2023 13:20:45.949940,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:47.155564,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:48.321492,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:49.534384,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:50.704464,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:51.903242,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:53.043600,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:54.184083,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:55.380654,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:56.615638,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:57.849623,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:20:58.972681,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:21:00.035287,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
10-01-2023 13:21:01.143819,"(6.0, 10.0, 8.566666666666666)","(2.0, 99999, 99990)","(3.8, 7.6, 6.16)","(18.0, 60.0, 39.5)","(51.0, 220.0, 92.5)","(31.0, 120.0, 58.5)","(18.0, 60.0, 33.125)","(6.0, 11.0, 8.7)","(18.0, 44.0, 32.8)"
