,Projector,Hello Jett,Rock Icon,Tabasco Lad,Deloris Bale,Edsel Bale,Regenerate
14-12-2022 11:54:43.090620,"(1.55, 1.72, 1.6818181818181817)","(9.0, 18.5, 17.423076923076923)","(71.0, 210.0, 179.03846153846155)","(9.0, 15.5, 14.763157894736842)","(4.6, 8.4, 6.3545454545454545)","(9.0, 18.0, 15.3)","(15.0, 38.0, 31.77777777777778)"
14-12-2022 11:54:44.195186,"(1.55, 1.72, 1.6705882352941175)","(9.0, 18.5, 16.467741935483872)","(71.0, 210.0, 179.03846153846155)","(9.0, 15.5, 14.1875)","(4.6, 8.4, 7.0538461538461545)","(9.0, 18.0, 16.2)","(15.0, 38.0, 30.0)"
14-12-2022 11:54:45.225946,"(1.55, 1.72, 1.6818181818181817)","(9.0, 18.5, 17.423076923076923)","(71.0, 210.0, 177.8)","(9.0, 15.5, 14.763157894736842)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 16.2)","(15.0, 38.0, 30.0)"
14-12-2022 11:54:46.201159,"(1.55, 1.72, 1.6705882352941175)","(9.0, 18.5, 16.467741935483872)","(71.0, 210.0, 166.3793103448276)","(9.0, 15.5, 14.1875)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 15.3)","(15.0, 38.0, 30.0)"
14-12-2022 11:54:47.163728,"(1.55, 1.72, 1.66)","(9.0, 18.5, 16.467741935483872)","(71.0, 190.0, 180.5)","(9.0, 16.0, 15.75)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 15.3)","(15.0, 38.0, 28.76923076923077)"
14-12-2022 11:54:48.125938,"(1.55, 1.72, 1.6763636363636363)","(9.0, 18.5, 17.423076923076923)","(71.0, 180.0, 164.54545454545456)","(9.0, 16.0, 15.75)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 16.2)","(15.0, 36.0, 30.555555555555557)"
14-12-2022 11:54:49.117209,"(1.55, 1.72, 1.6635294117647057)","(9.0, 18.5, 16.467741935483872)","(71.0, 160.0, 148.1818181818182)","(9.0, 16.0, 15.75)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 15.3)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:50.092607,"(1.55, 1.72, 1.6763636363636363)","(9.0, 18.5, 17.423076923076923)","(71.0, 150.0, 138.04347826086956)","(9.0, 16.0, 15.75)","(4.6, 8.4, 7.270967741935484)","(9.0, 18.0, 16.2)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:51.098310,"(1.55, 1.72, 1.6635294117647057)","(9.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.6, 8.2, 7.403846153846153)","(9.0, 18.0, 15.3)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:52.190395,"(1.5, 1.72, 1.636923076923077)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.44655172413793)","(10.0, 18.0, 15.3)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:53.223439,"(1.5, 1.72, 1.6635294117647057)","(10.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.44655172413793)","(10.0, 18.0, 16.2)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:54.238174,"(1.5, 1.72, 1.6635294117647057)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.20952380952381)","(10.0, 18.0, 16.2)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:55.268240,"(1.5, 1.64, 1.6357142857142857)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.638709677419355)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:56.317703,"(1.5, 1.64, 1.6099999999999999)","(10.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.338461538461538)","(10.0, 18.0, 16.727272727272727)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:57.338724,"(1.5, 1.64, 1.6385294117647058)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.338461538461538)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:58.351362,"(1.5, 1.64, 1.6372727272727272)","(10.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.855555555555555)","(10.0, 18.0, 16.727272727272727)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:54:59.361296,"(1.5, 1.64, 1.619375)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.019512195121951)","(10.0, 18.0, 16.727272727272727)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:55:00.371771,"(1.5, 1.64, 1.6305263157894736)","(10.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.147826086956521)","(10.0, 18.0, 16.727272727272727)","(15.0, 34.0, 28.94736842105263)"
14-12-2022 11:55:01.410384,"(1.5, 1.64, 1.6305263157894736)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 6.57037037037037)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:02.423491,"(1.5, 1.64, 1.6271428571428572)","(10.0, 18.5, 16.467741935483872)","(71.0, 150.0, 133.0769230769231)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.057142857142857)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:03.495831,"(1.5, 1.64, 1.62)","(10.0, 18.5, 17.423076923076923)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:04.486598,"(1.5, 1.64, 1.6271428571428572)","(10.0, 18.5, 15.9)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:05.502137,"(1.5, 1.64, 1.626)","(10.0, 18.5, 15.482142857142858)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.03125)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:06.586671,"(1.5, 1.64, 1.6225)","(10.0, 18.5, 15.482142857142858)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.147058823529413)","(15.0, 34.0, 28.666666666666664)"
14-12-2022 11:55:07.641066,"(1.5, 1.64, 1.6109090909090908)","(10.0, 18.5, 15.93939393939394)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.75)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.727272727272727)","(17.0, 34.0, 27.333333333333332)"
14-12-2022 11:55:08.823152,"(1.5, 1.64, 1.6325)","(10.0, 18.0, 14.63888888888889)","(71.0, 150.0, 133.7037037037037)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 17.263157894736842)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:09.996577,"(1.5, 1.64, 1.6280000000000001)","(10.0, 16.0, 14.962962962962962)","(71.0, 150.0, 133.33333333333334)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.6875)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:11.068379,"(1.5, 1.64, 1.632)","(10.0, 16.0, 14.833333333333334)","(71.0, 150.0, 133.33333333333334)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.118918918918919)","(10.0, 18.0, 16.6875)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:12.230881,"(1.5, 1.64, 1.6322222222222222)","(10.0, 16.0, 15.3)","(71.0, 150.0, 133.33333333333334)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.348936170212766)","(10.0, 18.0, 16.6875)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:13.343797,"(1.5, 1.64, 1.6225)","(10.0, 16.0, 15.3)","(71.0, 150.0, 133.33333333333334)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.348936170212766)","(10.0, 18.0, 16.6875)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:14.357587,"(1.5, 1.64, 1.6225)","(10.0, 16.0, 15.3)","(71.0, 150.0, 133.33333333333334)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 7.0)","(10.0, 18.0, 17.263157894736842)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:15.355456,"(1.5, 1.64, 1.6276470588235294)","(10.0, 16.0, 15.3)","(71.0, 150.0, 120.9090909090909)","(9.0, 16.0, 15.777777777777779)","(4.8, 8.2, 6.5636363636363635)","(10.0, 18.0, 17.263157894736842)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:16.322809,"(1.5, 1.64, 1.6225)","(10.0, 16.0, 15.3)","(71.0, 150.0, 125.38461538461539)","(9.0, 16.0, 15.777777777777779)","(5.0, 8.2, 7.075)","(10.0, 18.0, 16.740000000000002)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:17.292517,"(1.5, 1.64, 1.626086956521739)","(10.0, 16.0, 15.3)","(71.0, 150.0, 125.38461538461539)","(9.0, 16.0, 15.777777777777779)","(5.0, 8.2, 7.075)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:18.424873,"(1.5, 1.64, 1.6215384615384616)","(10.0, 16.0, 15.3)","(71.0, 150.0, 125.38461538461539)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.075)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:19.494416,"(1.45, 1.64, 1.6276470588235294)","(10.0, 16.0, 15.475)","(71.0, 150.0, 125.38461538461539)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.075)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:20.483002,"(1.45, 1.64, 1.626875)","(10.0, 16.0, 15.4375)","(71.0, 150.0, 125.38461538461539)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.075)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:21.503074,"(1.45, 1.64, 1.619)","(10.0, 16.0, 15.4375)","(71.0, 150.0, 132.22222222222223)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.075)","(10.0, 18.0, 16.740000000000002)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:22.512726,"(1.45, 1.64, 1.6225)","(10.0, 16.0, 15.4375)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.075)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:23.475324,"(1.45, 1.64, 1.6283333333333334)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:24.615472,"(1.45, 1.64, 1.631764705882353)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.470588235294116)"
14-12-2022 11:55:25.640407,"(1.45, 1.64, 1.6283333333333334)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.740000000000002)","(17.0, 34.0, 32.125)"
14-12-2022 11:55:26.601269,"(1.45, 1.67, 1.6633333333333333)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 17.3)","(17.0, 34.0, 30.09090909090909)"
14-12-2022 11:55:27.692511,"(1.45, 1.67, 1.6657142857142857)","(10.0, 16.0, 13.428571428571429)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.740000000000002)","(17.0, 32.0, 31.0)"
14-12-2022 11:55:28.765122,"(1.45, 1.67, 1.6642857142857141)","(10.0, 16.0, 13.923076923076923)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.934782608695652)","(17.0, 32.0, 31.0)"
14-12-2022 11:55:29.775093,"(1.45, 1.67, 1.6666666666666665)","(10.0, 16.0, 13.428571428571429)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.0)"
14-12-2022 11:55:30.735949,"(1.45, 1.67, 1.6681818181818182)","(10.0, 16.0, 13.428571428571429)","(71.0, 150.0, 136.08695652173913)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.0)"
14-12-2022 11:55:31.690506,"(1.45, 1.67, 1.6663157894736842)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 141.57894736842104)","(9.0, 16.0, 15.733333333333334)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.0)"
14-12-2022 11:55:32.689910,"(1.45, 1.67, 1.6400000000000001)","(10.0, 16.0, 14.258064516129032)","(71.0, 150.0, 141.57894736842104)","(9.0, 15.5, 14.578947368421053)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.045454545454547)"
14-12-2022 11:55:33.728229,"(1.45, 1.65, 1.645)","(10.0, 16.0, 14.5)","(71.0, 150.0, 143.04347826086956)","(9.0, 15.5, 14.722222222222221)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.045454545454547)"
14-12-2022 11:55:34.633749,"(1.45, 1.65, 1.6472727272727272)","(10.0, 16.0, 14.5)","(71.0, 150.0, 141.57894736842104)","(9.0, 15.5, 14.578947368421053)","(5.0, 8.2, 7.2270270270270265)","(10.0, 18.0, 16.5)","(17.0, 32.0, 31.045454545454547)"
14-12-2022 11:55:35.686836,"(1.45, 1.65, 1.6336363636363636)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.578947368421053)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 31.22222222222222)"
14-12-2022 11:55:36.683138,"(1.45, 1.64, 1.6381818181818182)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.578947368421053)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 31.22222222222222)"
14-12-2022 11:55:37.917290,"(1.45, 1.64, 1.625)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.130434782608695)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 31.22222222222222)"
14-12-2022 11:55:38.868126,"(1.45, 1.64, 1.6366666666666667)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.130434782608695)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 31.22222222222222)"
14-12-2022 11:55:39.918418,"(1.45, 1.64, 1.6366666666666667)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.041666666666668)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 31.22222222222222)"
14-12-2022 11:55:40.909417,"(1.45, 1.64, 1.6381818181818182)","(10.0, 16.0, 14.682926829268293)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 14.041666666666668)","(5.0, 8.2, 7.3428571428571425)","(10.0, 18.0, 16.434210526315788)","(17.0, 32.0, 30.79310344827586)"
14-12-2022 11:55:41.956545,"(1.45, 1.64, 1.6366666666666667)","(10.0, 16.0, 13.954545454545455)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.488888888888888)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 34.103448275862064)"
14-12-2022 11:55:42.925326,"(1.45, 1.65, 1.63)","(10.0, 16.0, 14.75)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.488888888888888)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 34.103448275862064)"
14-12-2022 11:55:43.959055,"(1.45, 1.65, 1.6288235294117648)","(10.0, 16.0, 14.75)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.488888888888888)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 33.608695652173914)"
14-12-2022 11:55:44.949400,"(1.45, 1.64, 1.6381818181818182)","(10.0, 16.0, 14.75)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 33.608695652173914)"
14-12-2022 11:55:45.965520,"(1.45, 1.64, 1.6366666666666667)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 32.666666666666664)"
14-12-2022 11:55:47.078060,"(1.45, 1.64, 1.62625)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 34.148148148148145)"
14-12-2022 11:55:48.083658,"(1.45, 1.63, 1.6278571428571427)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.66176470588235)","(17.0, 36.0, 34.148148148148145)"
14-12-2022 11:55:49.077783,"(1.45, 1.62, 1.6150000000000002)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 144.28571428571428)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.66176470588235)","(17.0, 36.0, 33.096774193548384)"
14-12-2022 11:55:50.036529,"(1.45, 1.63, 1.6147619047619048)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.689655172413794)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 33.096774193548384)"
14-12-2022 11:55:50.992624,"(1.45, 1.63, 1.6147619047619048)","(10.0, 16.0, 14.902439024390244)","(71.0, 150.0, 143.33333333333334)","(9.0, 15.5, 13.96)","(5.0, 8.2, 7.575609756097561)","(10.0, 18.0, 16.434210526315788)","(17.0, 36.0, 33.096774193548384)"
