,Krafty Boy,The Dancer,Tom The Curious,Mach Daddy,Smooth Overarm Nz,Pippo Nien,Dark Terror,Dukkah,Terryrama,Eagle Commander
07-12-2022 19:22:05.292043,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 7.0, 6.4399999999999995)","(3.9, 99999, 99990)","(17.0, 28.0, 26.11111111111111)","(13.0, 15.0, 14.25)","(8.5, 11.0, 10.4)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:22:06.746209,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.8, 6.4399999999999995)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 15.0, 14.25)","(8.5, 11.0, 10.4)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 16.666666666666668)"
07-12-2022 19:22:08.393217,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.8, 6.0)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 15.0, 13.75)","(8.5, 11.0, 10.871428571428572)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 21.5)"
07-12-2022 19:22:09.976263,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.2, 6.0)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 14.5, 14.3125)","(8.5, 11.0, 10.861538461538462)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 21.5)"
07-12-2022 19:22:11.607510,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.2, 6.08)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 14.5, 14.3125)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 21.5)"
07-12-2022 19:22:13.024824,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.2, 6.08)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 14.5, 14.3125)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.9663461538461537)","(11.0, 23.0, 21.5)"
07-12-2022 19:22:14.395737,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.2, 6.013793103448276)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 16.5, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.785714285714286)","(11.0, 23.0, 21.5)"
07-12-2022 19:22:15.721775,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 7.0, 6.2375)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 16.5, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.785714285714286)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:17.295565,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.8, 6.2375)","(3.9, 99999, 99990)","(17.0, 28.0, 24.6)","(13.0, 16.5, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.785714285714286)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:18.814204,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.8, 6.15)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 16.5, 14.75)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.95)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:20.122225,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.4, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 16.0, 14.25)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.95)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:21.487817,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 15.0, 14.25)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.946969696969697)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:22.856103,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 15.0, 14.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.946969696969697)","(11.0, 23.0, 21.384615384615387)"
07-12-2022 19:22:24.276954,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 14.5, 14.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.946969696969697)","(11.0, 23.0, 21.25)"
07-12-2022 19:22:25.646482,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 14.5, 14.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.946969696969697)","(11.0, 23.0, 21.25)"
07-12-2022 19:22:27.113090,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.91304347826087)","(3.9, 99999, 99990)","(17.0, 28.0, 22.333333333333332)","(13.0, 14.5, 13.8)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.946969696969697)","(11.0, 23.0, 18.0)"
07-12-2022 19:22:28.718590,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.914285714285715)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 14.0, 15.666666666666666)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.75)","(11.0, 23.0, 18.0)"
07-12-2022 19:22:30.220270,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.914285714285715)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 17.0, 14.277777777777779)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.75)","(11.0, 23.0, 21.25)"
07-12-2022 19:22:31.673263,"(101.0, 440.0, 325.0)","(61.0, 95.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.914285714285715)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 17.0, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 4.0, 3.72)","(11.0, 23.0, 22.275862068965516)"
07-12-2022 19:22:33.180927,"(101.0, 440.0, 325.0)","(61.0, 100.0, 90.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.914285714285715)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 16.5, 14.75)","(8.5, 11.0, 10.836363636363636)","(3.3, 3.8, 3.7818181818181817)","(11.0, 23.0, 18.0)"
07-12-2022 19:22:34.919548,"(101.0, 440.0, 371.42857142857144)","(61.0, 100.0, 100.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.914285714285715)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 16.0, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 3.8, 3.7818181818181817)","(11.0, 23.0, 18.0)"
07-12-2022 19:22:36.524168,"(101.0, 440.0, 391.6666666666667)","(61.0, 120.0, 100.0)","(11.0, 15.0, 13.8)","(4.8, 6.0, 5.822222222222222)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(11.0, 16.5, 15.0)","(8.5, 11.0, 10.836363636363636)","(3.3, 3.8, 3.7818181818181817)","(10.0, 23.0, 21.18181818181818)"
07-12-2022 19:22:38.415467,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 100.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.836363636363636)","(3.9, 99999, 99990)","(18.0, 28.0, 26.0)","(11.0, 16.5, 15.25)","(8.5, 11.5, 9.791139240506329)","(3.3, 4.0, 3.9347826086956523)","(10.0, 23.0, 19.7)"
07-12-2022 19:22:40.789146,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 105.5)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.82)","(3.9, 99999, 99990)","(18.0, 28.0, 22.666666666666668)","(11.0, 16.5, 15.0)","(8.5, 11.5, 9.515873015873016)","(3.3, 4.0, 3.9347826086956523)","(10.0, 23.0, 17.64)"
07-12-2022 19:22:42.509847,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 96.66666666666667)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.8478260869565215)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 16.0, 14.857142857142858)","(8.5, 11.5, 9.515873015873016)","(3.3, 4.0, 3.9347826086956523)","(10.0, 23.0, 21.21333333333333)"
07-12-2022 19:22:43.917431,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 96.66666666666667)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.8478260869565215)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 14.857142857142858)","(8.5, 11.5, 9.480769230769232)","(3.3, 4.0, 3.9347826086956523)","(10.0, 23.0, 21.984615384615385)"
07-12-2022 19:22:45.425312,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 96.66666666666667)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.8478260869565215)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 14.857142857142858)","(8.5, 11.5, 9.480769230769232)","(3.3, 4.0, 3.9347826086956523)","(10.0, 23.0, 21.85217391304348)"
07-12-2022 19:22:46.891786,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 95.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 14.857142857142858)","(8.5, 11.5, 9.543478260869566)","(3.3, 4.0, 3.675)","(10.0, 23.0, 22.0)"
07-12-2022 19:22:48.631515,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 95.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 14.857142857142858)","(8.5, 11.5, 9.096153846153847)","(3.3, 3.7, 3.875)","(10.0, 23.0, 18.0)"
07-12-2022 19:22:50.065584,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 95.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 16.594594594594597)","(8.5, 11.5, 9.450819672131148)","(3.3, 4.0, 3.875)","(10.0, 23.0, 18.0)"
07-12-2022 19:22:51.564244,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 100.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 16.21875)","(8.5, 11.5, 9.480769230769232)","(3.3, 4.0, 3.9166666666666665)","(10.0, 23.0, 18.0)"
07-12-2022 19:22:53.121517,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 100.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 16.21875)","(8.5, 11.5, 9.480769230769232)","(3.3, 4.0, 3.93)","(10.0, 23.0, 18.0)"
07-12-2022 19:22:54.730059,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 108.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 16.21875)","(8.5, 11.5, 9.543478260869566)","(3.3, 4.0, 3.93)","(10.0, 23.0, 18.2)"
07-12-2022 19:22:56.429009,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 108.0)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.833333333333333)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(11.0, 17.0, 15.571428571428571)","(8.5, 11.5, 9.515873015873016)","(3.3, 4.0, 3.875)","(10.0, 23.0, 18.2)"
07-12-2022 19:22:57.870463,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 108.0)","(11.0, 15.0, 14.5)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(11.0, 17.0, 15.928571428571429)","(8.5, 11.5, 9.803571428571429)","(3.3, 4.1, 3.7983606557377048)","(10.0, 23.0, 21.5)"
07-12-2022 19:22:59.195291,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 108.0)","(11.0, 15.0, 14.5)","(4.8, 6.0, 6.433333333333334)","(3.9, 99999, 99990)","(18.0, 28.0, 26.0)","(11.0, 17.0, 16.318181818181817)","(8.5, 11.5, 9.803571428571429)","(3.3, 4.1, 3.837142857142857)","(10.0, 23.0, 20.7)"
07-12-2022 19:23:00.694614,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 100.0)","(11.0, 15.0, 14.0)","(4.8, 6.8, 5.96)","(3.9, 99999, 99990)","(18.0, 28.0, 23.75)","(11.0, 17.0, 15.571428571428571)","(8.5, 11.5, 9.5)","(3.3, 4.1, 3.7983606557377048)","(10.0, 23.0, 19.75)"
07-12-2022 19:23:02.154151,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 100.0)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.95)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(11.0, 17.0, 15.571428571428571)","(8.5, 10.5, 10.26)","(3.3, 4.1, 3.7983606557377048)","(10.0, 23.0, 21.076923076923077)"
07-12-2022 19:23:03.549603,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 93.0)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.95)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(11.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.766666666666667)","(3.3, 4.1, 3.7983606557377048)","(10.0, 23.0, 21.4375)"
07-12-2022 19:23:04.867750,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 93.0)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.95)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(11.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.766666666666667)","(3.3, 4.1, 3.7574468085106383)","(10.0, 23.0, 21.4375)"
07-12-2022 19:23:06.255025,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 93.0)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.95)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.571428571428571)","(8.5, 10.5, 9.766666666666667)","(3.3, 4.1, 3.7574468085106383)","(10.0, 23.0, 21.4375)"
07-12-2022 19:23:07.614052,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 93.0)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.95)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.571428571428571)","(8.5, 10.5, 9.5)","(3.3, 4.1, 3.765)","(10.0, 23.0, 18.2)"
07-12-2022 19:23:08.921953,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 86.25)","(11.0, 15.0, 14.0)","(4.8, 6.4, 6.1375)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.571428571428571)","(8.5, 10.5, 10.25)","(3.3, 3.9, 3.775)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:10.131910,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 92.5)","(11.0, 15.0, 14.0)","(4.8, 6.8, 6.057142857142857)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.633333333333333)","(3.3, 3.9, 3.775)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:11.302982,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 96.66666666666667)","(11.0, 15.0, 14.0)","(4.8, 6.2, 6.057142857142857)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.766666666666667)","(3.3, 3.9, 3.775)","(10.0, 23.0, 17.25)"
07-12-2022 19:23:12.867517,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 103.125)","(11.0, 15.0, 14.0)","(4.8, 6.2, 6.044444444444444)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.571428571428571)","(8.5, 10.5, 9.766666666666667)","(3.3, 3.9, 3.775)","(10.0, 23.0, 17.25)"
07-12-2022 19:23:14.160704,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 103.125)","(11.0, 15.0, 14.0)","(4.8, 6.2, 5.8)","(3.9, 99999, 99990)","(18.0, 28.0, 27.0)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.766666666666667)","(3.3, 3.9, 3.775)","(10.0, 23.0, 17.5)"
07-12-2022 19:23:15.505432,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 107.14285714285714)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.8)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.75)","(8.5, 10.5, 9.5)","(3.3, 3.9, 3.809375)","(10.0, 23.0, 17.25)"
07-12-2022 19:23:16.709249,"(101.0, 430.0, 391.6666666666667)","(61.0, 120.0, 107.14285714285714)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.8)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.75)","(8.5, 10.5, 10.1)","(3.3, 4.7, 3.8434782608695652)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:18.051788,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 104.16666666666666)","(11.0, 15.0, 14.0)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.75)","(8.5, 10.5, 10.142105263157895)","(3.3, 4.3, 3.888888888888889)","(10.0, 23.0, 17.25)"
07-12-2022 19:23:19.494892,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 100.0)","(11.0, 15.0, 14.73913043478261)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.1)","(3.3, 4.2, 3.888888888888889)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:20.765190,"(101.0, 430.0, 391.6666666666667)","(61.0, 110.0, 100.0)","(11.0, 15.0, 14.73913043478261)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.1)","(3.3, 4.2, 3.888888888888889)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:21.977054,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 100.0)","(11.0, 15.0, 14.73913043478261)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 24.8)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.1)","(3.3, 4.2, 3.888888888888889)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:23.142601,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 100.0)","(11.0, 15.0, 14.73913043478261)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 24.8)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.038461538461538)","(3.3, 4.2, 3.888888888888889)","(10.0, 23.0, 21.153846153846153)"
07-12-2022 19:23:24.451237,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 100.0)","(11.0, 15.0, 14.166666666666666)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 26.0)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.85)","(3.3, 4.2, 4.115151515151515)","(10.0, 23.0, 21.58823529411765)"
07-12-2022 19:23:25.706211,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 111.81818181818181)","(11.0, 15.0, 14.642857142857142)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 23.75)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.038461538461538)","(3.3, 4.2, 4.141666666666667)","(10.0, 23.0, 19.333333333333332)"
07-12-2022 19:23:26.901458,"(101.0, 430.0, 391.6666666666667)","(71.0, 120.0, 111.81818181818181)","(11.0, 15.0, 13.884615384615385)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 24.6)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.633333333333333)","(3.3, 4.2, 4.141666666666667)","(10.0, 23.0, 19.333333333333332)"
07-12-2022 19:23:28.151541,"(101.0, 430.0, 391.6666666666667)","(71.0, 120.0, 111.81818181818181)","(11.0, 14.0, 13.884615384615385)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 26.9375)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 9.633333333333333)","(3.3, 4.2, 4.141666666666667)","(10.0, 23.0, 20.125)"
07-12-2022 19:23:29.292780,"(101.0, 430.0, 391.6666666666667)","(71.0, 120.0, 111.81818181818181)","(11.0, 14.0, 13.884615384615385)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 27.15)","(12.0, 17.0, 16.264705882352942)","(8.5, 10.5, 9.633333333333333)","(3.3, 4.2, 4.141666666666667)","(10.0, 23.0, 20.125)"
07-12-2022 19:23:30.436305,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 106.5)","(11.0, 14.0, 13.635135135135135)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 27.15)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.038461538461538)","(3.3, 4.2, 4.163157894736842)","(10.0, 23.0, 20.125)"
07-12-2022 19:23:31.580374,"(101.0, 430.0, 391.6666666666667)","(71.0, 110.0, 106.5)","(11.0, 16.0, 15.26923076923077)","(4.8, 6.0, 5.866666666666666)","(3.9, 99999, 99990)","(18.0, 28.0, 27.15)","(12.0, 17.0, 15.928571428571429)","(8.5, 10.5, 10.038461538461538)","(3.4, 4.2, 4.088636363636364)","(10.0, 23.0, 20.125)"
