,Charming Lass,Indian Wells,Always A Show,Summer Lilly,Ebony Tralee,Lend The Moose,Cash Key
04-01-2023 14:14:37.312448,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 17.0, 10.725000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:38.454797,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.5, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:39.605396,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:40.590188,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:41.555623,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:42.604298,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.1784615384615384)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:43.677685,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.1784615384615384)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:44.994256,"(10.0, 23.0, 15.666666666666666)","(8.5, 16.5, 10.725000000000001)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.0966666666666667)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:46.303546,"(10.0, 23.0, 18.2)","(8.5, 16.5, 12.35)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:47.381212,"(10.0, 23.0, 15.333333333333334)","(8.5, 16.5, 12.35)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:48.470583,"(10.0, 23.0, 18.2)","(8.5, 16.5, 10.425)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 9.3)"
04-01-2023 14:14:49.389801,"(10.0, 23.0, 16.0)","(8.5, 16.5, 12.35)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.057142857142857)"
04-01-2023 14:14:50.424093,"(10.0, 23.0, 16.0)","(8.5, 16.5, 10.875)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 8.65)"
04-01-2023 14:14:51.531752,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:52.749346,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:53.880562,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:54.917774,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:55.838467,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:56.966775,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 16.0, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:58.100144,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:14:59.237024,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:00.314589,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:01.454804,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:02.707284,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:03.929336,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 8.049999999999999)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:05.075650,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.2, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:06.416975,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:07.464678,"(10.0, 23.0, 16.0)","(8.5, 17.0, 10.333333333333334)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:08.598206,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 11.125)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:09.751512,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 15.5, 10.475000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:10.840323,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.84)"
04-01-2023 14:15:11.951432,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 9.68)"
04-01-2023 14:15:13.022102,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 13.666666666666668)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.335)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 9.24)"
04-01-2023 14:15:14.187647,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 15.37142857142857)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 11.454545454545453)"
04-01-2023 14:15:15.335783,"(10.0, 22.0, 15.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.233333333333333)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.342857142857142)"
04-01-2023 14:15:16.439447,"(10.0, 22.0, 18.714285714285715)","(8.5, 17.5, 10.7)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.342857142857142)"
04-01-2023 14:15:17.468925,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.7)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 12.0, 10.616666666666667)"
04-01-2023 14:15:18.464203,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:19.538084,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:20.617469,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:21.713150,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:22.775428,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:23.810117,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.416666666666666)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.5927272727272728)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:24.896444,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 11.125)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:26.048407,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 12.85)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:27.179992,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.5, 11.366666666666667)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:28.239720,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.0, 10.55)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:29.268418,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.0, 10.55)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:30.244430,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.0, 10.55)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:31.288348,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.0, 10.55)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:32.296317,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.0, 10.55)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 10.616666666666667)"
04-01-2023 14:15:33.258902,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.0, 10.600000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:34.265465,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.0, 10.3)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:35.351234,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.0, 10.149999999999999)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:36.453432,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.0, 10.149999999999999)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.0, 9.4, 5.3999999999999995)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:37.564774,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 10.675)","(8.5, 16.0, 14.942857142857143)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.2, 9.4, 5.5)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:38.544091,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 15.83125)","(8.5, 16.0, 14.942857142857143)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.2, 10.0, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:39.467157,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 15.83125)","(8.5, 16.0, 14.942857142857143)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:40.401842,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 13.15)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 58.0)","(1.95, 2.72, 2.3200000000000003)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:41.436420,"(10.0, 22.0, 14.666666666666666)","(8.5, 17.5, 13.15)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 60.17647058823529)","(1.95, 2.72, 2.218)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:42.443226,"(10.0, 22.0, 18.857142857142858)","(8.5, 17.5, 14.89)","(8.5, 16.0, 11.200000000000001)","(21.0, 95.0, 78.5)","(1.95, 2.68, 2.5)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:43.437790,"(10.0, 22.0, 19.8)","(8.5, 17.5, 12.4)","(8.5, 15.5, 11.033333333333333)","(21.0, 90.0, 78.5)","(1.95, 2.66, 2.5)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:44.432256,"(10.0, 22.0, 20.0)","(8.5, 17.5, 12.4)","(8.5, 15.5, 11.033333333333333)","(21.0, 90.0, 78.5)","(1.95, 2.66, 2.5)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:45.419906,"(10.0, 22.0, 20.0)","(8.5, 17.5, 12.4)","(8.5, 15.5, 11.033333333333333)","(21.0, 90.0, 78.5)","(1.95, 2.66, 2.5)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
04-01-2023 14:15:46.459390,"(10.0, 22.0, 20.0)","(8.5, 18.0, 12.6)","(8.5, 15.5, 11.033333333333333)","(21.0, 90.0, 78.5)","(1.95, 2.66, 2.5)","(4.2, 9.8, 7.720000000000001)","(6.0, 11.5, 9.8)"
