,Riverina Knight,Amy Allsorts,Flyaway Becky,Greek Malt,Miss Inspiration,Toms The One,Sketchy Comrade,All Palaver
08-12-2022 13:37:24.743683,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:26.057239,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:27.283902,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:28.527256,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:29.804182,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:31.091867,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:32.386438,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:33.551694,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:34.842010,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 26.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:36.094201,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 38.0, 27.53846153846154)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:37.393446,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:38.740773,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:40.154141,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:41.563070,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:42.972715,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:44.356665,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:45.754669,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:47.167719,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:48.545029,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:49.894355,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:51.239736,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:52.532405,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:53.895363,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:55.304624,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:56.651616,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:57.989087,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:37:59.374335,"(1.65, 2.48, 1.9435294117647057)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:00.834118,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 570.7142857142858)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:02.207227,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:03.570229,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:04.898898,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:06.195425,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:07.545347,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:08.871238,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:10.276705,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:11.680571,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:13.002230,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:14.306992,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:15.617711,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:16.919790,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:18.346104,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:19.702524,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:21.042355,"(1.65, 2.48, 1.9733333333333332)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:22.557050,"(1.65, 2.48, 2.263333333333333)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:23.879148,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:25.584522,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:26.905776,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:28.310447,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:29.700624,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:31.124032,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:32.516480,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:33.939656,"(1.65, 2.44, 2.175)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:35.326526,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:36.685575,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 570.7142857142858)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.975)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:38.086040,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 512.5)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 16.5, 9.114285714285714)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:39.484006,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 512.5)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 160.46153846153845)"
08-12-2022 13:38:40.870618,"(1.65, 2.44, 2.263333333333333)","(101.0, 650.0, 512.5)","(21.0, 80.0, 40.0)","(101.0, 650.0, 372.5)","(2.4, 3.8, 3.625)","(15.0, 36.0, 25.0)","(7.0, 17.0, 9.114285714285714)","(41.0, 350.0, 160.46153846153845)"
