,Spaltet,By Nine,Smooth Flight,Isolyfe,Midori Burly,Wild Irish Rover,Watch The Clock,Cushy,Mancconi
07-01-2023 14:30:23.807464,"(6.5, 10.5, 9.818181818181818)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 23.4)","(8.0, 13.0, 12.5)","(7.5, 9.8, 9.644444444444446)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 21.4)"
07-01-2023 14:30:24.929734,"(6.5, 10.5, 10.222222222222221)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 24.714285714285715)","(8.0, 13.0, 11.75)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:26.062974,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:27.295921,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:28.522052,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:29.697514,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:30.910483,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:32.133991,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:33.441547,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.4, 4.154545454545454)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:34.649741,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.142857142857142)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 11.0, 9.285714285714285)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:35.831812,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.142857142857142)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 11.0, 9.3)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:37.067448,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 10.0, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:38.252932,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:39.507208,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:40.736369,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.0)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:41.940383,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.933333333333334)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:43.229725,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.857142857142858)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:44.491729,"(6.5, 10.5, 9.12)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.447826086956522)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.857142857142858)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 19.25)"
07-01-2023 14:30:45.797044,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.447826086956522)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.857142857142858)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:47.238075,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.447826086956522)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.857142857142858)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:48.662528,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.225)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 9.146666666666667)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:49.841577,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.225)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 9.076923076923077)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:50.989799,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3428571428571425)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 10.0, 8.854545454545455)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:52.200092,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.454545454545453)","(3.7, 4.5, 4.3)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 9.8, 9.2)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:53.465826,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.142857142857142)","(3.7, 4.5, 4.1875)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 9.6, 8.914285714285715)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:54.636794,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 13.142857142857142)","(3.7, 4.5, 4.1875)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 8.866666666666667)","(6.5, 9.6, 9.585185185185185)","(6.5, 9.4, 9.233333333333334)","(12.0, 22.0, 18.333333333333332)"
07-01-2023 14:30:55.799022,"(6.5, 10.5, 9.514285714285714)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.8, 9.2)","(6.5, 10.0, 9.363636363636365)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:30:56.980708,"(6.5, 10.5, 9.24)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.6, 9.0)","(6.5, 9.8, 9.0)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:30:58.245253,"(6.5, 10.5, 9.24)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.2, 8.714285714285714)","(6.5, 9.8, 9.05)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:30:59.482351,"(6.5, 10.5, 9.24)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.0, 8.657142857142857)","(6.5, 10.5, 8.628571428571428)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:00.693949,"(6.5, 10.5, 9.24)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 8.8, 9.28888888888889)","(6.5, 10.0, 8.628571428571428)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:01.936019,"(6.5, 10.5, 9.24)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 19.75)","(8.0, 13.5, 12.25)","(7.5, 9.4, 9.28888888888889)","(6.5, 10.0, 8.628571428571428)","(6.5, 9.4, 8.114285714285714)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:03.194337,"(6.5, 10.5, 9.45)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.291666666666667)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.25)","(7.5, 9.4, 9.28888888888889)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:04.450474,"(6.5, 10.5, 9.45)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.1875)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.25)","(7.5, 9.4, 9.28888888888889)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:05.707646,"(6.5, 10.5, 9.45)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.1875)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.4, 9.28888888888889)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:06.972904,"(6.5, 10.5, 9.45)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.1875)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.4, 9.152941176470588)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:08.209505,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.25)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.2, 8.91891891891892)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:09.412254,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.35)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 10.0, 8.9)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:10.771925,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.35)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 10.0, 8.35)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:12.034798,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.5, 4.32)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 10.0, 8.35)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:13.276225,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.8, 4.32)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 10.0, 8.6)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:14.497090,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.8, 4.2)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 9.8, 8.6)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:15.689144,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.8, 4.2)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 9.8, 8.6)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:16.900597,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.8, 4.2)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 9.8, 8.6)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:18.121482,"(6.5, 10.5, 8.925)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.8, 4.359999999999999)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 8.91891891891892)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:19.302711,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.466666666666667)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.0, 10.777142857142858)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:20.479189,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.359999999999999)","(12.0, 28.0, 20.666666666666668)","(8.0, 13.5, 12.666666666666666)","(7.5, 11.0, 10.380952380952381)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:21.596411,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.359999999999999)","(12.0, 28.0, 22.5)","(8.0, 13.5, 12.666666666666666)","(7.5, 11.0, 10.436363636363637)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:22.722529,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 22.5)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.5, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:23.947521,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 22.5)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:25.210276,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 22.5)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:26.418105,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:27.651336,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:28.848324,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:30.088914,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:31.339444,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:32.610023,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:33.780430,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:34.896360,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.822222222222223)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:36.121336,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.225)","(12.0, 28.0, 24.333333333333336)","(8.0, 13.5, 12.666666666666666)","(7.5, 10.0, 9.71764705882353)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
07-01-2023 14:31:37.261421,"(6.5, 10.5, 9.36)","(8.0, 14.0, 11.666666666666666)","(3.7, 4.6, 4.3)","(12.0, 28.0, 20.125)","(8.0, 13.5, 12.666666666666666)","(7.5, 9.8, 9.466666666666667)","(6.5, 9.8, 8.360000000000001)","(6.5, 9.4, 8.257142857142856)","(12.0, 22.0, 20.333333333333332)"
