,Tiger One,Homebush Solo,Rowdy Shadow,Going Gorillas,Homebush Bingo,Goldstar Odette,Amuri Patti,Goldstar Wade
09-01-2023 09:09:11.973901,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:13.097553,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:14.130037,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:15.154261,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:16.134081,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:17.130768,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:18.105831,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:19.161336,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:20.200744,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:21.211354,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:22.197832,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:23.157280,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:24.095058,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:25.042724,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:26.053740,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:27.013739,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:27.997746,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:28.956111,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:29.963930,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:30.987431,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:32.027791,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:33.059260,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:34.086901,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:35.048121,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:36.027676,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:36.999971,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:38.025343,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:39.077169,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:40.110183,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:41.154289,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:42.182973,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:43.213596,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:44.215454,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:45.249840,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:46.280091,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:47.312798,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:48.398599,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:49.444108,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:50.532420,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:51.570892,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:52.556404,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:53.545025,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:54.519887,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:55.539624,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:56.571027,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:57.638856,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:58.663408,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:09:59.696909,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:00.670282,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:01.640013,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:02.639145,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:03.628211,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:04.599177,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:05.586510,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:06.540343,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:07.514553,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:08.500975,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:09.502463,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:10.520654,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:11.514875,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:12.529814,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:13.490544,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:14.468526,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:15.476773,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
09-01-2023 09:10:16.495621,"(3.7, 11.0, 9.389189189189189)","(9.0, 40.0, 29.46666666666667)","(10.0, 60.0, 54.9)","(15.0, 180.0, 104.31818181818181)","(14.0, 80.0, 70.35714285714286)","(11.0, 55.0, 49.977777777777774)","(3.8, 10.5, 9.114634146341462)","(2.9, 7.0, 5.96)"
