,Im The Bounty Hunter Nz,Colerne,Orama,Gracie Cullen,Treacherous Saint,Bettor Star
10-01-2023 18:12:19.138327,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 5.1125)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:20.153920,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.509090909090909)"
10-01-2023 18:12:21.314749,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:22.478729,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:23.640662,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:24.858687,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:26.077415,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:27.264903,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:28.441297,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:29.660180,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:30.912411,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:32.147668,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:33.329521,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:34.480871,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:35.525128,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:36.691517,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:37.825780,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:38.996468,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:40.169998,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:41.285840,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:42.395387,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:43.603016,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:44.748363,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:45.811377,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:46.937767,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:48.088962,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:49.222454,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:50.298871,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:51.375476,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:52.487586,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:53.644602,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:54.700853,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:55.801518,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:56.883837,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:58.013035,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:12:59.070579,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:00.086872,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:01.174084,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:02.321447,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:03.501367,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:04.573435,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:05.565553,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:06.732589,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:07.841102,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:09.009070,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:10.118142,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:11.184123,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:12.358383,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:13.463841,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:14.583567,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:15.545523,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:16.560697,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:17.637044,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:18.783373,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:19.904970,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:20.921607,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:21.967981,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:23.069052,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:24.154710,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:25.311151,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:26.480206,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:27.604595,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:28.760528,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:29.765779,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:30.922306,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:32.120175,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:33.435912,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:34.688191,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:35.912007,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:37.186298,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:38.553837,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:40.021517,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:41.313206,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:42.506367,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:43.635767,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:44.817508,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:45.990508,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:47.162597,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:48.341526,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:49.507508,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:50.624913,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:51.775933,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:52.936348,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:53.945990,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:54.999969,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:56.096795,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(7.0, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:57.226797,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:58.291924,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:13:59.307123,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:14:00.406039,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.333333333333333)"
10-01-2023 18:14:01.528890,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.0)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.6, 5.550000000000001)"
10-01-2023 18:14:02.648495,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.4, 5.550000000000001)"
10-01-2023 18:14:03.747189,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.4, 5.342857142857143)"
10-01-2023 18:14:04.891115,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:05.924449,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:06.968014,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:07.945699,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:08.950253,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:10.085244,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:11.190460,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:12.205756,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:13.162501,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:14.136530,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:15.191883,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:16.223947,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:17.339837,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:18.459766,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
10-01-2023 18:14:19.524935,"(4.0, 99999, 99990)","(7.5, 10.5, 9.14)","(6.5, 10.0, 9.066666666666666)","(4.8, 6.6, 5.64)","(3.3, 5.6, 4.84)","(3.9, 6.2, 5.342857142857143)"
