,Chief Artie,Fitzroy Boy,By By Music,Primed For Victory,Kwinern,Spill The Tears,Casrock,Sertin,Naytellrhi Bird
05-01-2023 17:14:23.479945,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:24.784323,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:26.158947,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:27.646379,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:28.964659,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:30.223895,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:31.425166,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:32.642544,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.434482758620689)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:33.875744,"(3.1, 3.9, 3.81)","(18.0, 60.0, 48.8)","(9.0, 22.0, 21.35483870967742)","(3.1, 3.2, 3.0749999999999997)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.4243902439024385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:35.117739,"(3.1, 3.9, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:36.419773,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:37.658849,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:38.972393,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:40.260564,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:41.505278,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 21.0)","(3.1, 3.2, 3.1444444444444444)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.430588235294118)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:42.808007,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.426506024096385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:44.024287,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.426506024096385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:45.338623,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.426506024096385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:46.611312,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.426506024096385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:47.928520,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 8.561290322580644)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.426506024096385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:49.233565,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.970588235294116)","(3.1, 3.2, 3.1285714285714286)","(6.0, 8.6, 9.546666666666667)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.4243902439024385)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:50.475594,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.963636363636363)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.502040816326531)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:51.799443,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.963636363636363)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:53.142190,"(3.1, 3.8, 3.7642857142857142)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.799999999999999)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:54.487741,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.799999999999999)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:55.804638,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.799999999999999)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:57.142397,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.799999999999999)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:58.474653,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 20.870967741935484)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 8.799999999999999)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.506382978723404)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:14:59.850167,"(3.1, 3.8, 3.783333333333333)","(18.0, 60.0, 48.8)","(9.0, 22.0, 15.625)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 9.288888888888888)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.523456790123457)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:01.215011,"(3.1, 3.8, 3.7992537313432835)","(18.0, 60.0, 48.8)","(9.0, 22.0, 15.625)","(3.1, 3.2, 3.0749999999999997)","(6.0, 9.6, 9.288888888888888)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.523456790123457)","(71.0, 90.0, 82.85714285714286)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:02.605460,"(3.1, 3.8, 3.7992537313432835)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.9)","(3.1, 3.2, 3.065)","(6.0, 9.6, 9.297297297297296)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.523456790123457)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:04.007178,"(3.1, 3.8, 3.7992537313432835)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 18.25)","(3.1, 3.2, 3.065)","(6.0, 9.6, 9.297297297297296)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.523456790123457)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:05.331891,"(3.1, 3.8, 3.7992537313432835)","(18.0, 60.0, 36.36363636363637)","(9.0, 23.0, 18.25)","(3.1, 3.2, 3.065)","(6.0, 9.6, 8.8)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.541379310344827)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:06.657378,"(3.1, 3.85, 3.8485074626865674)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 14.227272727272727)","(3.1, 3.2, 3.065)","(6.0, 9.6, 8.96)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.546875)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:08.005051,"(3.1, 3.85, 3.8485074626865674)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 13.818181818181818)","(3.1, 3.2, 3.065)","(6.0, 9.6, 8.8)","(19.0, 25.0, 22.818181818181817)","(4.0, 5.6, 5.541379310344827)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:09.274111,"(3.1, 3.85, 3.8485074626865674)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 14.636363636363637)","(3.1, 3.2, 3.065)","(6.0, 9.6, 8.69811320754717)","(19.0, 25.0, 21.615384615384617)","(4.0, 5.6, 5.541379310344827)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:10.512898,"(3.1, 3.85, 3.8485074626865674)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 14.636363636363637)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.69811320754717)","(19.0, 25.0, 21.857142857142858)","(4.0, 5.6, 5.541379310344827)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:11.759416,"(3.1, 3.85, 3.8485074626865674)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 14.636363636363637)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.69811320754717)","(19.0, 25.0, 23.926829268292682)","(4.0, 5.6, 5.931707317073171)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:13.084902,"(3.1, 4.0, 3.7613636363636362)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.045454545454545)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.69811320754717)","(19.0, 25.0, 23.926829268292682)","(4.0, 6.4, 5.909090909090909)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:14.366031,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 14.633333333333333)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 23.842105263157894)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:15.652703,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:16.898114,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:18.146945,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:19.413725,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:20.613890,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:21.798046,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:23.067858,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.673469387755102)","(19.0, 25.0, 20.555555555555557)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:24.276350,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.333333333333332)","(19.0, 25.0, 23.620689655172413)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:25.485707,"(3.1, 4.0, 3.7604166666666665)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.238095238095237)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:26.710773,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 15.5)","(3.1, 3.2, 3.065)","(6.0, 9.0, 8.238095238095237)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:27.884654,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.3125)","(3.1, 3.2, 3.1802197802197805)","(6.0, 9.0, 8.238095238095237)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:29.102517,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.3125)","(3.1, 3.2, 3.173626373626374)","(6.0, 9.0, 8.238095238095237)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:30.315695,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.3125)","(3.1, 3.2, 3.173626373626374)","(6.0, 9.0, 8.238095238095237)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:31.510821,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.3125)","(3.1, 3.2, 3.173626373626374)","(6.0, 9.0, 8.133333333333333)","(19.0, 25.0, 22.09090909090909)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:32.688742,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 36.36363636363637)","(9.0, 22.0, 16.3125)","(3.1, 3.2, 3.173626373626374)","(6.0, 9.0, 8.133333333333333)","(19.0, 25.0, 22.333333333333332)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:33.957589,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 48.75)","(9.0, 22.0, 16.5)","(3.1, 3.2, 3.173626373626374)","(6.0, 9.0, 8.152380952380952)","(19.0, 25.0, 22.333333333333332)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:35.177707,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 48.75)","(9.0, 19.5, 16.5)","(3.1, 3.2, 3.173626373626374)","(6.0, 8.8, 8.152380952380952)","(19.0, 25.0, 22.333333333333332)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:36.402522,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 48.75)","(9.0, 19.5, 16.125)","(3.1, 3.2, 3.1142857142857143)","(6.0, 8.8, 8.152380952380952)","(19.0, 25.0, 22.333333333333332)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:37.585468,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 52.8)","(9.0, 19.5, 16.125)","(3.1, 3.2, 3.1142857142857143)","(6.0, 8.8, 8.152380952380952)","(19.0, 25.0, 22.333333333333332)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:38.807568,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 52.8)","(9.0, 19.5, 16.125)","(3.1, 3.2, 3.1142857142857143)","(6.0, 8.8, 7.7043478260869565)","(19.0, 25.0, 21.444444444444443)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
05-01-2023 17:15:40.142405,"(3.1, 3.95, 3.7944444444444443)","(18.0, 60.0, 52.8)","(9.0, 19.5, 15.9)","(3.1, 3.2, 3.1142857142857143)","(6.0, 8.8, 7.8307692307692305)","(19.0, 25.0, 21.444444444444443)","(4.0, 6.4, 5.889361702127659)","(71.0, 90.0, 77.5)","(101.0, 230.0, 163.33333333333334)"
