,No Personality,Tick And Flick,Vecna,Singing Gunn,Fingal Bay,Lifes A Vision,Always Broke,Rhino Buster
08-01-2023 17:53:06.193989,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 13.2)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.333333333333332)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:07.235480,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 10.149999999999999)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:08.209857,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 10.149999999999999)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:09.199940,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 10.149999999999999)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:10.236486,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 12.485714285714284)","(5.5, 10.0, 9.35)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.66)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:11.303435,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 11.08)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:12.340767,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 11.08)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:13.353712,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:14.342408,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:15.362969,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:16.370073,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:17.401764,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:18.401819,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 9.4, 8.9)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:19.448842,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:20.464342,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:21.504533,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:22.566130,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:23.639224,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:24.739639,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:25.798627,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:26.972297,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:28.071321,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.245000000000001)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:29.149844,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.004347826086956)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:30.235457,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.004347826086956)","(3.3, 5.4, 3.555)","(5.0, 7.6, 5.85)","(8.0, 16.0, 13.54)","(14.0, 36.0, 26.96153846153846)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:31.377947,"(3.6, 5.5, 3.9022727272727273)","(7.5, 16.0, 9.85)","(5.5, 11.5, 9.004347826086956)","(3.3, 5.4, 4.91)","(5.0, 7.6, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 36.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:32.412301,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:33.407321,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:34.408796,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:35.440412,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:36.519589,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:37.477016,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 31.61111111111111)","(31.0, 130.0, 71.71428571428572)"
08-01-2023 17:53:38.455197,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 28.875)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:39.469881,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 28.875)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:40.483239,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.583333333333332)","(14.0, 34.0, 28.875)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:41.559789,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 11.0)","(14.0, 34.0, 28.875)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:42.603219,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 11.0)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:43.626506,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 11.0)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:44.941424,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 11.0)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:46.068918,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.666666666666666)","(5.0, 7.4, 6.75)","(8.0, 16.0, 11.0)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:47.158512,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:48.209569,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:49.348700,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:50.497064,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:51.704265,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:52.800257,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.64)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 12.272727272727273)","(14.0, 34.0, 30.857142857142858)","(31.0, 130.0, 67.84615384615384)"
08-01-2023 17:53:53.911691,"(3.6, 5.4, 4.9625)","(7.5, 16.0, 9.85)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 28.5)","(31.0, 130.0, 79.5)"
08-01-2023 17:53:54.987732,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 11.555555555555555)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 28.5)","(31.0, 130.0, 79.5)"
08-01-2023 17:53:56.084377,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:53:57.154124,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:53:58.169153,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:53:59.338793,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:00.452825,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:01.495204,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:02.789139,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:03.844119,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.59375)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:04.999954,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:06.078437,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 79.5)"
08-01-2023 17:54:07.154052,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:08.276984,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:09.368667,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:10.449534,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:11.552268,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:12.584778,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:13.638854,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:14.690454,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:15.677328,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:16.705643,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:17.754068,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:18.773227,"(3.6, 5.4, 4.9625)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.810526315789474)","(3.3, 5.3, 4.91)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:20.106736,"(3.6, 5.4, 4.525)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.672727272727272)","(3.3, 5.3, 4.325)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:21.251183,"(3.6, 5.4, 4.525)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.672727272727272)","(3.3, 5.3, 4.325)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
08-01-2023 17:54:22.422551,"(3.6, 5.4, 4.525)","(7.5, 16.5, 12.05)","(5.5, 11.0, 10.672727272727272)","(3.3, 5.3, 4.325)","(5.0, 7.4, 6.75)","(8.0, 16.0, 13.266666666666666)","(14.0, 34.0, 32.67647058823529)","(31.0, 130.0, 57.14285714285714)"
