,Mosht Up,True Crime,Best Side,Isorich,Miss Checkoni,Oakfield Mahogany,Ondo Pasa
07-01-2023 15:50:50.704097,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 19.0)","(8.0, 12.0, 10.542857142857143)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:51.786059,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 17.25)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:53.044381,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 16.5)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:54.120048,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:55.111574,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:56.193422,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:57.165599,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:58.192964,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:50:59.230832,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:00.232973,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:01.277467,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 24.0, 17.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 19.5, 15.75)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:02.325156,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 18.75)","(8.0, 11.5, 10.92)","(12.0, 19.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:03.341350,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 18.75)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:04.416409,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:05.499061,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:06.616763,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:07.696186,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:08.746775,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:09.672082,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:10.669251,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:11.662801,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.968)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:12.611049,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.5)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:13.624449,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.5)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:14.734883,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.5)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:15.906309,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 23.0, 17.0)","(8.0, 11.5, 10.92)","(12.0, 18.5, 16.5)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:17.049835,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 18.0, 16.0)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:18.148720,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9721739130434783)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.5, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:19.167276,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:20.241620,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:21.401873,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:22.464643,"(10.0, 16.5, 14.75)","(1.65, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:23.528079,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:24.696166,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:25.798510,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:26.838220,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:27.960816,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:28.924758,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:29.869933,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:30.881686,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:31.939611,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:32.949163,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:33.913907,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:34.936010,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.166666666666668)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:36.068669,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 15.0)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:37.209594,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 17.0, 16.36842105263158)","(4.2, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:38.228771,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:39.237827,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:40.307467,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:41.368490,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 22.0, 16.666666666666668)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 4.85)","(31.0, 170.0, 79.33333333333334)"
07-01-2023 15:51:42.449053,"(10.0, 16.5, 14.75)","(1.7, 2.0, 1.9703703703703703)","(13.0, 21.0, 16.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 5.1066666666666665)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:43.551176,"(10.0, 16.5, 15.625)","(1.7, 2.0, 1.9851851851851852)","(13.0, 21.0, 16.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 5.126315789473685)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:44.591276,"(10.0, 16.5, 15.625)","(1.7, 2.0, 1.9663157894736842)","(13.0, 21.0, 16.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 5.126315789473685)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:45.704464,"(10.0, 16.5, 15.625)","(1.7, 2.0, 1.9558620689655173)","(13.0, 21.0, 16.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 16.5, 16.36842105263158)","(3.9, 5.2, 5.126315789473685)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:46.726094,"(10.0, 16.5, 15.625)","(1.7, 2.0, 1.9612121212121212)","(13.0, 21.0, 16.333333333333332)","(8.0, 11.5, 10.92)","(12.0, 16.5, 15.894736842105264)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:47.732109,"(10.0, 16.5, 15.625)","(1.7, 2.0, 1.9326315789473683)","(13.0, 20.0, 17.25)","(8.0, 11.5, 10.92)","(12.0, 16.0, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:48.736596,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 17.25)","(8.0, 11.5, 10.92)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:49.691833,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 17.25)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:50.686720,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:51.772485,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:52.789379,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:53.739918,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:54.705534,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:55.762099,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:56.879691,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:57.960131,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:58.964019,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
07-01-2023 15:51:59.971129,"(10.0, 16.5, 15.625)","(1.7, 1.99, 1.94625)","(13.0, 20.0, 16.0)","(8.0, 11.5, 11.085714285714285)","(12.0, 15.5, 15.421052631578947)","(3.9, 5.2, 4.8)","(31.0, 170.0, 84.66666666666666)"
