,Calico County,Viminele,Ashmolean,Irish Sally,Rose Of Raheen,Sand And Ocean,Show And Go,War And Finance,Zestar,Shades Of Louvre,Forebears,Ellows Hall
12-01-2023 14:46:00.665743,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:02.456670,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 17.705882352941178)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:04.303986,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 18.0, 21.0)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:06.049276,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 25.0, 20.34375)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:07.811182,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.378260869565217)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:09.647139,"(21.0, 36.0, 31.5)","(2.1, 2.56, 2.386315789473684)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 132.5)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:11.393307,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.369090909090909)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:13.262185,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.369090909090909)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:15.104782,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.369090909090909)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:16.937027,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3655999999999997)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 170.83333333333334)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:18.651909,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3655999999999997)","(5.0, 6.6, 6.3999999999999995)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.34375)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:20.396603,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3655999999999997)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 24.0, 20.46153846153846)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:22.177443,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.4363636363636365)","(3.0, 3.95, 3.71)","(10.0, 23.0, 20.46153846153846)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:23.919897,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.8, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 20.46153846153846)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:25.731810,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 20.46153846153846)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:27.461954,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 20.46153846153846)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:29.307661,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.90625)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:31.081501,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:32.858153,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:34.527279,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:36.669352,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:38.694656,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3721739130434782)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 22.857142857142858)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:41.008815,"(21.0, 36.0, 31.5)","(2.1, 2.5, 2.3741176470588234)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:43.335808,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.3741176470588234)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:45.201449,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.3741176470588234)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:46.888105,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.3741176470588234)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 173.33333333333334)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:48.704443,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.3741176470588234)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:50.383977,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 169.16666666666666)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:52.119472,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:53.941485,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:55.792270,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:57.639933,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:46:59.523090,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:01.379325,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.372)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 20.8)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:03.063649,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.3885714285714283)","(5.0, 6.6, 6.505263157894737)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:04.740512,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.3885714285714283)","(5.0, 6.8, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:06.288931,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.3885714285714283)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:07.987772,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.3885714285714283)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:09.634359,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.3885714285714283)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:11.183421,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.3885714285714283)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:12.892484,"(21.0, 36.0, 31.5)","(2.1, 2.46, 2.378461538461538)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:14.576554,"(21.0, 36.0, 31.5)","(2.1, 2.48, 2.378461538461538)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:16.218775,"(21.0, 36.0, 35.125)","(2.1, 2.48, 2.376470588235294)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:17.707855,"(21.0, 36.0, 34.6)","(2.1, 2.5, 2.373333333333333)","(5.0, 6.6, 6.514285714285714)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
12-01-2023 14:47:19.200776,"(21.0, 36.0, 34.6)","(2.1, 2.5, 2.373333333333333)","(5.0, 6.6, 6.466666666666667)","(3.0, 3.95, 3.71)","(10.0, 23.0, 19.333333333333332)","(61.0, 190.0, 173.57142857142856)","(14.0, 28.0, 23.77777777777778)","(91.0, 190.0, 156.66666666666669)","(81.0, 190.0, 156.66666666666669)","(101.0, 220.0, 166.66666666666666)","(41.0, 190.0, 177.5)","(101.0, 220.0, 166.66666666666666)"
