,Blue Cheyenne,Townsville,Egg White,Albert,Allegiance,Black Trumpet,Justa Lil Faith,Butterflyrock,Nick Of Time,Trace Sea
07-01-2023 18:56:36.720268,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.0, 8.702702702702704)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:38.071039,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.35)","(15.0, 17.5, 16.857142857142858)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.8, 8.575000000000001)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:39.387784,"(7.0, 8.4, 7.745454545454546)","(7.0, 11.0, 10.2)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.8, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:40.623505,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:41.875133,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:43.295662,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:44.680551,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:46.011124,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:47.380937,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:48.615824,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.333333333333332)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:49.875077,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:51.247297,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:52.630861,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:54.005390,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:55.577368,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:56.943741,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:58.264135,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:56:59.553713,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:00.885634,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:02.117916,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:03.355090,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:04.626808,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:05.901659,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:07.187455,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:08.458993,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:09.710261,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:11.037862,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:12.352174,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.244444444444444)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:13.756808,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.16)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.6, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:15.158448,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.11578947368421)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:16.438578,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.11578947368421)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:17.848973,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.11578947368421)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:19.163463,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 10.11578947368421)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.225)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:20.485398,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.909090909090908)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.225)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:21.842346,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.909090909090908)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:23.160816,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.909090909090908)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:24.470505,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.909090909090908)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:25.747935,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.909090909090908)","(15.0, 17.5, 17.369565217391305)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:27.069216,"(7.0, 8.2, 7.824999999999999)","(7.0, 11.0, 9.879999999999999)","(15.0, 17.5, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:28.328639,"(7.0, 8.2, 7.8)","(7.0, 11.0, 9.973333333333333)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:29.662310,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:30.934232,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:32.315552,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:33.666252,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:35.044328,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:36.404699,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:37.691581,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:39.040942,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:40.277013,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:41.471647,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:42.676659,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.103448275862068)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:43.964622,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.333333333333332)","(4.0, 5.7, 5.233333333333333)","(6.0, 8.4, 8.324324324324325)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:45.155999,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.333333333333332)","(4.0, 5.7, 5.233333333333333)","(6.0, 9.8, 9.578947368421053)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:46.453938,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.189473684210526)","(15.0, 18.0, 17.176470588235293)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.8, 9.333333333333334)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:47.824747,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.8, 9.333333333333334)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:49.142317,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.8, 9.333333333333334)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:50.317386,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.4, 9.048780487804878)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:51.573256,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.4, 9.048780487804878)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:52.781529,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.4, 9.048780487804878)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
07-01-2023 18:57:54.087095,"(7.0, 8.2, 7.96)","(7.0, 11.0, 10.0375)","(15.0, 18.0, 17.658536585365855)","(4.0, 5.7, 5.0636363636363635)","(6.0, 9.4, 9.048780487804878)","(71.0, 220.0, 181.25)","(3.2, 3.75, 3.724285714285714)","(18.0, 30.0, 19.5)","(7.5, 99999, 99990)","(31.0, 210.0, 174.0)"
