,Online Model,Balmy Bob,Loseashoe,Grenade,Champagne Stride,Im Alright Jack,Shes My Little Gem,Lilbitahenrytee,Courtney Katarina
10-01-2023 16:09:54.818602,"(8.5, 15.5, 14.0)","(31.0, 80.0, 62.0)","(6.5, 13.0, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.4128571428571428)","(21.0, 48.0, 36.6)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:56.183533,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.4128571428571428)","(21.0, 48.0, 36.6)","(14.0, 29.0, 19.666666666666668)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:57.580189,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.4128571428571428)","(21.0, 48.0, 36.6)","(14.0, 29.0, 24.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:09:59.021553,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 12.0)","(21.0, 50.0, 34.4)","(1.26, 1.43, 1.3547826086956523)","(21.0, 48.0, 36.6)","(14.0, 29.0, 25.625)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:00.428319,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.5)","(21.0, 50.0, 34.4)","(1.26, 1.4, 1.3623188405797102)","(21.0, 48.0, 36.6)","(14.0, 29.0, 22.75)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:01.882234,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 12.5, 11.5)","(21.0, 50.0, 35.6)","(1.26, 1.4, 1.376153846153846)","(21.0, 48.0, 37.5)","(14.0, 29.0, 27.1)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:03.353760,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 12.5, 11.666666666666666)","(21.0, 50.0, 35.6)","(1.26, 1.39, 1.36)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:04.789211,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.36)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:06.177312,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.36)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:07.742450,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.36)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:09.637086,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.36)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:11.123999,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:12.500462,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 25.4)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:13.848400,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 22.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:15.277431,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 22.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:16.725972,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:18.077404,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:19.434557,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:20.868581,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:22.322343,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:23.813998,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:25.347248,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.5)","(1.26, 1.39, 1.38)","(21.0, 46.0, 37.5)","(14.0, 29.0, 24.833333333333336)","(31.0, 80.0, 61.0)","(31.0, 85.0, 64.5)"
10-01-2023 16:10:26.880844,"(8.5, 15.5, 14.0)","(31.0, 80.0, 49.142857142857146)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 26.75)","(1.26, 1.39, 1.3633333333333333)","(21.0, 46.0, 42.0)","(14.0, 29.0, 24.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 73.6)"
10-01-2023 16:10:28.457416,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 55.0, 39.5)","(14.0, 29.0, 24.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:30.111245,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 29.0, 24.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:31.582372,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 29.0, 24.333333333333332)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:33.072989,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 29.0, 26.0)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:34.516734,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 29.0, 26.0)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:36.086195,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 29.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:37.573226,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:39.085742,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:40.707235,"(8.5, 15.5, 14.666666666666666)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.375)","(1.26, 1.39, 1.3633333333333333)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 75.66666666666667)"
10-01-2023 16:10:42.435980,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 29.0)","(1.26, 1.39, 1.3521951219512196)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 58.5)"
10-01-2023 16:10:44.177997,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.42857142857143)","(1.26, 1.38, 1.3521951219512196)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 57.5)"
10-01-2023 16:10:45.786233,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 29.0)","(1.26, 1.38, 1.3521951219512196)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 57.5)"
10-01-2023 16:10:47.572926,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.42857142857143)","(1.26, 1.38, 1.3519565217391305)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 67.33333333333334)"
10-01-2023 16:10:49.069421,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 29.0)","(1.26, 1.38, 1.3519565217391305)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 67.33333333333334)"
10-01-2023 16:10:50.594360,"(8.5, 15.5, 14.875)","(31.0, 80.0, 47.42857142857143)","(6.5, 13.0, 11.666666666666666)","(21.0, 50.0, 38.42857142857143)","(1.26, 1.38, 1.3519565217391305)","(21.0, 50.0, 39.5)","(14.0, 30.0, 26.5)","(31.0, 80.0, 61.0)","(31.0, 85.0, 68.0)"
