,Sutton Daisy,Velocity Comet,Emerley Bruce,Missile Edition,Girl On Fire,Diplomatic Man
14-12-2022 14:26:26.553603,"(2.3, 3.25, 2.641025641025641)","(2.7, 6.0, 5.336)","(3.1, 8.0, 6.75)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:27.748129,"(2.3, 3.25, 2.641025641025641)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.425)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:28.961123,"(2.3, 3.25, 2.641025641025641)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.425)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:30.132930,"(2.3, 3.25, 2.641025641025641)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.57)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:31.280422,"(2.3, 3.25, 2.638157894736842)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.535)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:32.487746,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.440909090909091)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:33.575553,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.440909090909091)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:34.688413,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:36.029911,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.440909090909091)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:37.215371,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.57)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:38.433536,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.440909090909091)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:39.612161,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.440909090909091)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:40.761154,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:41.958903,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:43.089949,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.6419999999999995)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:44.291332,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:45.404415,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:46.510558,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:47.696664,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:48.852463,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:50.044405,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:51.341941,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:52.495021,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:53.721362,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:54.910460,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:56.190333,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:57.390083,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:58.623778,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:26:59.860937,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:01.091969,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:02.281108,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:03.447752,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:04.750961,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:06.043116,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:07.426311,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:08.525671,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:09.650204,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:10.819964,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:11.943889,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:13.089750,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:14.224532,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:15.269305,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:16.413203,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:17.575440,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:18.641731,"(2.3, 3.25, 2.7075)","(2.7, 6.0, 4.68)","(3.1, 8.0, 6.614)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 17.75)"
14-12-2022 14:27:19.793952,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:20.849198,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:21.914305,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:23.121977,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:24.372558,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:25.534619,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:26.850700,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:27.986568,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:29.216684,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:30.369372,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:31.499228,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:32.591298,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:33.582818,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:34.641438,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:35.802991,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:36.925667,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:38.040641,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:39.150503,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:40.174437,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:41.254600,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:42.402199,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:43.576696,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:44.625148,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:45.659119,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:46.656697,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:47.632080,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:48.685682,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:49.826777,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:50.846858,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:51.814991,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:52.842431,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:53.902826,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:54.972930,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:56.112028,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:57.255064,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:58.345234,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:27:59.303693,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:00.325006,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:01.329519,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:02.350085,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:03.394548,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:04.452475,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:05.364097,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:06.317198,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:07.393661,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:08.475865,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:09.563966,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:10.604090,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:11.604633,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:12.547745,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
14-12-2022 14:28:13.520235,"(2.3, 3.25, 2.6374999999999997)","(2.7, 6.0, 4.68)","(3.1, 8.0, 4.605)","(31.0, 390.0, 209.5)","(26.0, 260.0, 200.0)","(11.0, 25.0, 15.333333333333332)"
