,Criss Cross Lass,Fast Lane Fever,Aston Georgina,Impress Rolls,Crymelon Libby,Pyrenees Blazer,Chasing Boyd,Boots
10-01-2023 14:32:03.326851,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 470.0, 260.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 24.444444444444443)","(3.6, 7.2, 6.305555555555555)"
10-01-2023 14:32:04.381291,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 470.0, 330.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 24.444444444444443)","(3.6, 7.2, 6.305555555555555)"
10-01-2023 14:32:05.515849,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.2)","(71.0, 470.0, 330.0)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 24.444444444444443)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:06.674110,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 470.0, 377.1428571428571)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 24.444444444444443)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:07.739600,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 560.0, 518.5714285714286)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 30.0)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:08.714622,"(3.8, 6.2, 5.35)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 780.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 60.0, 28.333333333333336)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:09.781034,"(3.8, 6.2, 6.050000000000001)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 70.0, 28.333333333333336)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:11.020691,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 70.0, 28.333333333333336)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:12.258091,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 70.0, 28.333333333333336)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:13.454491,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 5.8)"
10-01-2023 14:32:14.639235,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(12.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.28125)"
10-01-2023 14:32:15.733484,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.376470588235295)"
10-01-2023 14:32:16.812240,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.376470588235295)"
10-01-2023 14:32:17.926360,"(3.8, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.376470588235295)"
10-01-2023 14:32:19.018282,"(3.9, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.376470588235295)"
10-01-2023 14:32:20.161423,"(3.9, 6.2, 4.95)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.376470588235295)"
10-01-2023 14:32:21.197949,"(3.9, 6.2, 5.0)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 25.555555555555557)","(3.6, 7.2, 6.352631578947369)"
10-01-2023 14:32:22.234824,"(3.9, 6.2, 5.0)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 70.0, 35.0)","(3.6, 7.2, 6.192)"
10-01-2023 14:32:23.246254,"(3.9, 6.2, 5.0)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 38.0, 22.333333333333332)","(21.0, 65.0, 35.0)","(3.6, 7.2, 4.715)"
10-01-2023 14:32:24.346140,"(3.9, 6.2, 5.0)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 35.0)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:25.593321,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 267.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 35.0)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:26.882299,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 35.0)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:28.183231,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 35.0)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:29.496029,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 35.0)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:30.585958,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 65.0, 23.846153846153847)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:31.822771,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 480.0, 647.1428571428571)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.928947368421053)"
10-01-2023 14:32:33.120062,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.280000000000001)","(71.0, 980.0, 647.1428571428571)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.613333333333333)"
10-01-2023 14:32:34.322697,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 980.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 4.855)"
10-01-2023 14:32:35.453126,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.916666666666666)"
10-01-2023 14:32:36.596113,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.916666666666666)"
10-01-2023 14:32:37.678380,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 4.925000000000001)"
10-01-2023 14:32:38.661443,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.131818181818182)"
10-01-2023 14:32:39.740251,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 23.846153846153847)","(3.6, 7.2, 5.131818181818182)"
10-01-2023 14:32:40.931660,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 26.25)","(3.6, 7.2, 5.131818181818182)"
10-01-2023 14:32:42.175988,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 9.42)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 70.0, 33.333333333333336)","(3.6, 7.2, 5.131818181818182)"
10-01-2023 14:32:43.317957,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 36.0, 21.666666666666668)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.325)"
10-01-2023 14:32:44.471826,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 36.0, 22.27777777777778)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.325)"
10-01-2023 14:32:45.816688,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 22.27777777777778)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.325)"
10-01-2023 14:32:46.861671,"(3.9, 6.2, 5.666666666666667)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 20.863636363636363)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.325)"
10-01-2023 14:32:47.970551,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 20.863636363636363)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.325)"
10-01-2023 14:32:49.208016,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 22.27777777777778)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.226086956521739)"
10-01-2023 14:32:50.515768,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 22.27777777777778)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.9944444444444445)"
10-01-2023 14:32:51.735986,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 317.5)","(10.0, 32.0, 22.27777777777778)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.9944444444444445)"
10-01-2023 14:32:52.921386,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 580.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.1)"
10-01-2023 14:32:54.195564,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.029999999999999)"
10-01-2023 14:32:55.278911,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.029999999999999)"
10-01-2023 14:32:56.295823,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.029999999999999)"
10-01-2023 14:32:57.387209,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.029999999999999)"
10-01-2023 14:32:58.558239,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.0058823529411764)"
10-01-2023 14:32:59.750631,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.0058823529411764)"
10-01-2023 14:33:00.935806,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.0058823529411764)"
10-01-2023 14:33:02.007759,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.0058823529411764)"
10-01-2023 14:33:03.131783,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 267.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.416)"
10-01-2023 14:33:04.373426,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 6.005263157894737)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 272.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.416)"
10-01-2023 14:33:05.663764,"(3.9, 6.4, 5.822222222222223)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 272.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.15)"
10-01-2023 14:33:06.981985,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.0)","(71.0, 480.0, 272.5)","(10.0, 32.0, 20.333333333333332)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.129411764705882)"
10-01-2023 14:33:08.178119,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5458333333333334)","(6.5, 9.8, 8.666666666666668)","(71.0, 480.0, 322.5)","(10.0, 32.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.129411764705882)"
10-01-2023 14:33:09.536486,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 9.044444444444444)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.0125)"
10-01-2023 14:33:11.116958,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 9.044444444444444)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.0125)"
10-01-2023 14:33:12.333161,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.600000000000001)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:13.550229,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.600000000000001)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:14.792349,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:15.964591,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:16.994852,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 580.0, 322.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:18.022263,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:19.192549,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:20.413233,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:21.669079,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.741666666666667)"
10-01-2023 14:33:22.943649,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 6.1937500000000005)"
10-01-2023 14:33:24.176716,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.275)"
10-01-2023 14:33:25.399230,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.275)"
10-01-2023 14:33:26.526606,"(3.9, 6.4, 4.7)","(5.0, 8.4, 5.242857142857143)","(3.6, 4.1, 3.5679999999999996)","(6.5, 9.8, 8.8)","(71.0, 480.0, 272.5)","(10.0, 28.0, 21.5)","(21.0, 60.0, 33.333333333333336)","(3.6, 7.2, 5.275)"
