,What A Surprise,Awesome Isla,Dr May,Line And Length,Dr Jax,Charlottes Hand,Slingshot Layla,Rawhide Hand
07-12-2022 20:37:09.193721,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:10.322813,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:11.472896,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:12.613399,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:13.794545,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:14.958662,"(1.7, 2.3, 1.9749999999999999)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 17.88888888888889)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:16.193071,"(1.7, 2.3, 1.9357142857142857)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 7.094117647058823)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.5, 10.014285714285714)"
07-12-2022 20:37:17.411102,"(1.7, 2.3, 1.9153846153846155)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.142857142857143)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.5, 12.2)"
07-12-2022 20:37:18.866186,"(1.7, 2.3, 1.9153846153846155)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.938461538461539)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:20.250197,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:21.583219,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:22.994303,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:24.256374,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:25.601932,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:26.944302,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:28.295660,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:29.673058,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:30.937844,"(1.7, 2.3, 1.9941176470588236)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:32.269873,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:33.592786,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:34.894581,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:36.158133,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:37.385171,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:38.562399,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:39.732254,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:40.937418,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:42.154386,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:43.421942,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:44.651268,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:45.907680,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:47.114188,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:48.360786,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:49.618437,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:50.852817,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:52.170132,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:53.414871,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:54.671811,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:55.864275,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.449999999999999)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:57.068986,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.142857142857143)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:58.242599,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.745454545454546)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:37:59.450307,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:00.777369,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:02.091704,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:03.360988,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:04.670417,"(1.7, 2.3, 1.9230769230769231)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:05.965858,"(1.7, 2.3, 1.9230769230769231)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:07.316721,"(1.7, 2.3, 1.957142857142857)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:08.627631,"(1.7, 2.3, 1.9384615384615385)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:09.938410,"(1.7, 2.3, 1.9384615384615385)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:11.271186,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:12.628426,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.35)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:13.982289,"(1.7, 2.3, 1.9941176470588236)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 5.08)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:15.336172,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.4222222222222225)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:16.743999,"(1.7, 2.3, 1.875)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.511111111111111)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:18.122529,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.3)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:19.451073,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.938461538461539)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:20.781292,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.969230769230769)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:22.077234,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.644444444444444)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:23.415317,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:24.692088,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:25.961496,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:27.227016,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:28.445616,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:29.669153,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:30.953014,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.066666666666666)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:32.301823,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:33.632161,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:34.960625,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:36.272547,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:37.656119,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:39.063117,"(1.7, 2.3, 1.8666666666666667)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:40.455649,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
07-12-2022 20:38:41.878545,"(1.7, 2.3, 1.9076923076923076)","(15.0, 50.0, 28.75)","(31.0, 220.0, 126.0)","(4.4, 7.8, 6.76)","(20.0, 70.0, 53.59375)","(7.5, 10.0, 8.32)","(9.0, 19.0, 14.2)","(9.0, 13.0, 12.2)"
