,Mitcham Xena,Oliviero,Homebush Axel,Opawa Barb,Nouveau,Laxmans Ganguly,Homebush Benji
10-01-2023 09:16:43.457101,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:44.392104,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:45.368905,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:46.331095,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:47.295511,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:48.240290,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:49.230593,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:50.223603,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:51.239315,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:52.220497,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:53.253811,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:54.210497,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:55.157475,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:56.097858,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:57.088128,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:58.031561,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:59.022721,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:16:59.960984,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:00.915217,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:01.845197,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:02.811219,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:03.732309,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:04.674229,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:05.610388,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:06.520109,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:07.464826,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:08.415093,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:09.359985,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:10.298730,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:11.230737,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:12.179576,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:13.104658,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:14.079590,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:15.038615,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:16.022099,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:16.989737,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:17.969128,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:18.905166,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:19.875005,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:20.803400,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:21.756061,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:22.721910,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:23.706705,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:24.721355,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:25.692269,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:26.704440,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:27.685518,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:28.663055,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:29.588371,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:30.521985,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:31.431984,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:32.399813,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:33.346564,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:34.338019,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:35.316923,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:36.300659,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:37.288952,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:38.239258,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:39.202048,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:40.154521,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:41.137032,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:42.138534,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:43.152490,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:44.195584,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:45.217059,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:46.212574,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:47.150480,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:48.101895,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:49.039728,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
10-01-2023 09:17:49.968623,"(2.6, 8.0, 4.1466666666666665)","(9.0, 75.0, 59.630769230769225)","(9.0, 75.0, 59.630769230769225)","(2.7, 8.6, 3.928)","(6.5, 28.0, 19.75)","(15.0, 200.0, 173.35714285714286)","(8.0, 48.0, 35.3125)"
