,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:21:07.641940,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:08.948088,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:10.054142,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:11.274061,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.0)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:12.505450,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:13.795369,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:15.041950,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.37)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 113.25)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:16.300345,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 48.666666666666664)","(12.0, 25.0, 21.0)","(2.4, 2.46, 2.32)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 145.5)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:17.629370,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.32)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 145.5)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
07-01-2023 11:21:18.889464,"(12.0, 30.0, 22.333333333333332)","(26.0, 70.0, 54.0)","(12.0, 25.0, 21.0)","(2.4, 2.48, 2.32)","(19.0, 220.0, 91.33333333333333)","(16.0, 210.0, 145.5)","(31.0, 220.0, 135.0)","(12.0, 24.0, 19.8)","(3.2, 5.0, 4.9)","(5.5, 7.8, 7.363636363636363)"
