,Aston Floyd,Ensemble,Oxidation,Fabs Max Potato,Besant Bale,Fabs Wasabi,Flying Farrugia
14-12-2022 14:19:13.177529,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:14.258189,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:15.331456,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:16.451034,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 3.8522727272727275)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.6375)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:17.578304,"(8.0, 20.0, 11.36)","(10.0, 24.0, 12.166666666666668)","(3.3, 6.4, 4.004347826086956)","(5.5, 9.0, 7.2)","(8.5, 16.0, 10.933333333333334)","(2.4, 3.0, 2.585714285714286)","(17.0, 46.0, 31.5)"
14-12-2022 14:19:18.769311,"(8.0, 20.0, 13.942857142857143)","(10.0, 24.0, 12.0)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.0)","(8.5, 16.0, 14.05)","(2.4, 3.0, 2.6)","(17.0, 46.0, 31.5)"
14-12-2022 14:19:20.002970,"(8.0, 20.0, 13.942857142857143)","(10.0, 24.0, 15.88888888888889)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.0)","(8.5, 16.0, 13.466666666666667)","(2.4, 3.0, 2.6)","(17.0, 46.0, 31.5)"
14-12-2022 14:19:21.255449,"(8.0, 20.0, 11.68)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.48125)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.6)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:22.484606,"(8.0, 20.0, 11.68)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.7)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.6)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:23.728703,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.7)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.6)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:24.932363,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.6)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:26.122992,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.6)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:27.384183,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.48125)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 3.0, 2.71)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:28.667908,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.60625)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.98, 2.5885714285714285)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:29.910570,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.60625)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.5885714285714285)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:31.179948,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 3.8522727272727275)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7041176470588235)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:32.327145,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 3.8522727272727275)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7041176470588235)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:33.445929,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 4.467241379310345)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:34.548146,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 4.467241379310345)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:35.671531,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:36.812613,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:37.917624,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 3.8954545454545455)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:39.065149,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 3.8954545454545455)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:40.225864,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.4, 4.5125)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:41.455570,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.727777777777778)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:42.684000,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.575)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:43.903934,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.575)","(5.5, 9.0, 7.4)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:45.208742,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.228571428571429)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:46.387340,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.228571428571429)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:47.590631,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.7555555555555555)","(5.5, 9.0, 7.228571428571429)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 33.57142857142857)"
14-12-2022 14:19:48.834194,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.60625)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 46.0, 31.285714285714285)"
14-12-2022 14:19:49.988660,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.333333333333334)","(3.3, 6.2, 4.60625)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.7478048780487803)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:51.164423,"(8.0, 20.0, 15.84)","(10.0, 24.0, 15.25)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.96, 2.835)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:52.231398,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.2, 4.54375)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.835)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:53.398830,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.2, 4.7555555555555555)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.835)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:54.677632,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.2, 4.60625)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.835)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:55.973758,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.2, 4.025)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:57.219532,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:58.512222,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 3.8522727272727275)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:19:59.786552,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:01.041826,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:02.268928,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.3)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:03.448588,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.3)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:04.599315,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:05.737995,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:06.828899,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 31.285714285714285)"
14-12-2022 14:20:07.931073,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 42.0, 32.42857142857143)"
14-12-2022 14:20:09.094600,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:10.278340,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:11.438770,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:12.538845,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:13.681676,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 44.0, 27.333333333333336)"
14-12-2022 14:20:14.693844,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 27.333333333333336)"
14-12-2022 14:20:15.694679,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:16.807299,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.75)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:17.906450,"(8.0, 20.0, 15.84)","(10.0, 24.0, 15.88888888888889)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:19.114142,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.3)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:20.274340,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.3)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:21.452710,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.324074074074074)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:22.720828,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:23.910437,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:25.097378,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:26.306551,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.756470588235294)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:27.407265,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.709230769230769)","(17.0, 48.0, 24.75)"
14-12-2022 14:20:28.471046,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.709230769230769)","(17.0, 48.0, 29.88888888888889)"
14-12-2022 14:20:29.526895,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.94, 2.58)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:30.591532,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.9, 2.58)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:31.724107,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.9, 2.58)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:32.806512,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.9, 2.58)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:33.906074,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.9, 2.5678260869565217)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:35.005337,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 6.885714285714286)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5678260869565217)","(17.0, 46.0, 29.88888888888889)"
14-12-2022 14:20:36.071749,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 3.9386363636363635)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5678260869565217)","(17.0, 46.0, 32.42857142857143)"
14-12-2022 14:20:37.108109,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.086956521739131)","(5.5, 9.0, 7.2)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5678260869565217)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:38.137802,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5678260869565217)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:39.108866,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5992592592592594)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:40.103781,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5992592592592594)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:41.149600,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.025)","(5.5, 9.0, 7.0)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5992592592592594)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:42.268545,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.3)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.6405714285714286)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:43.529121,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.6405714285714286)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:44.810506,"(8.0, 20.0, 15.84)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.648235294117647)","(17.0, 44.0, 32.42857142857143)"
14-12-2022 14:20:46.075612,"(8.0, 20.0, 17.226666666666667)","(10.0, 24.0, 12.0)","(3.3, 6.4, 4.111363636363636)","(5.5, 9.0, 7.114285714285714)","(8.5, 16.0, 11.066666666666666)","(2.4, 2.86, 2.5661224489795917)","(17.0, 44.0, 32.42857142857143)"
