,Night Watch,Insist The Win,Galleons Future,Dem Bones Dem Bones,Sage Trouble,Cool Phelan,Unique Marshall,Miss Jessica,Shandon Bells,Sunnivue Phileah
14-12-2022 13:10:19.405797,"(2.45, 2.96, 2.9375)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.0, 7.270588235294118)","(20.0, 55.0, 38.09090909090909)","(4.0, 4.9, 4.78)","(31.0, 100.0, 80.0)","(31.0, 100.0, 85.0)","(11.0, 14.0, 13.727272727272727)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:20.804081,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.125)","(26.0, 50.0, 44.0)","(6.5, 8.0, 7.457142857142857)","(20.0, 55.0, 35.81818181818182)","(4.0, 4.9, 4.78)","(31.0, 100.0, 80.0)","(31.0, 100.0, 73.0)","(11.0, 14.0, 14.0)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:22.263722,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.125)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(20.0, 50.0, 41.14285714285714)","(4.0, 4.9, 4.78)","(31.0, 100.0, 80.0)","(31.0, 95.0, 77.0)","(11.0, 14.5, 13.5)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:23.660899,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.125)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.305882352941176)","(20.0, 48.0, 34.90909090909091)","(4.0, 4.9, 4.78)","(31.0, 100.0, 80.0)","(31.0, 90.0, 77.0)","(11.0, 14.0, 13.5)","(8.5, 12.0, 11.454545454545455)"
14-12-2022 13:10:25.020791,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.125)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 48.0, 36.22222222222222)","(4.0, 4.9, 4.825)","(31.0, 100.0, 80.0)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.0, 14.25)","(8.5, 12.0, 11.571428571428571)"
14-12-2022 13:10:26.372935,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.125)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 46.0, 32.46153846153846)","(4.0, 4.9, 4.878378378378379)","(31.0, 100.0, 80.0)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.5, 13.5)","(8.5, 12.0, 11.571428571428571)"
14-12-2022 13:10:27.635722,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 46.0, 32.46153846153846)","(4.0, 4.9, 4.878378378378379)","(31.0, 100.0, 80.0)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.0, 13.5)","(8.5, 12.0, 11.571428571428571)"
14-12-2022 13:10:28.998145,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 46.0, 34.0)","(4.0, 4.9, 4.878378378378379)","(31.0, 100.0, 80.0)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.0, 14.2)","(8.5, 12.0, 11.666666666666666)"
14-12-2022 13:10:30.438894,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 44.0, 33.09090909090909)","(4.0, 4.9, 4.948717948717949)","(31.0, 100.0, 87.33333333333334)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.5, 14.2)","(8.5, 12.0, 11.76)"
14-12-2022 13:10:31.966396,"(2.45, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.434782608695652)","(20.0, 44.0, 33.09090909090909)","(4.0, 5.0, 4.965714285714286)","(31.0, 110.0, 61.33333333333333)","(31.0, 90.0, 84.22222222222223)","(11.0, 14.5, 13.5)","(8.5, 12.0, 11.76)"
14-12-2022 13:10:33.419988,"(2.4, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 33.09090909090909)","(4.0, 5.0, 4.969230769230769)","(31.0, 100.0, 50.285714285714285)","(31.0, 90.0, 84.22222222222223)","(10.0, 14.0, 13.5)","(8.0, 12.0, 11.714285714285714)"
14-12-2022 13:10:34.799132,"(2.4, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 33.09090909090909)","(4.0, 5.0, 4.963636363636364)","(31.0, 100.0, 50.285714285714285)","(31.0, 90.0, 84.22222222222223)","(10.0, 14.0, 13.08695652173913)","(8.0, 12.0, 11.714285714285714)"
14-12-2022 13:10:36.195260,"(2.4, 2.96, 2.9223529411764706)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 33.09090909090909)","(4.0, 5.0, 5.232258064516129)","(31.0, 100.0, 53.6)","(31.0, 90.0, 84.22222222222223)","(10.0, 14.0, 13.208333333333334)","(8.0, 12.0, 11.714285714285714)"
14-12-2022 13:10:37.596260,"(2.4, 2.86, 2.7955555555555556)","(11.0, 16.0, 14.5)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 29.0)","(4.0, 5.3, 5.166666666666667)","(31.0, 100.0, 59.66666666666667)","(31.0, 90.0, 73.33333333333334)","(10.0, 14.0, 13.080645161290322)","(8.0, 12.0, 11.714285714285714)"
14-12-2022 13:10:39.018185,"(2.4, 2.84, 2.7955555555555556)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 29.0)","(4.0, 5.3, 5.257142857142857)","(31.0, 95.0, 66.0)","(31.0, 90.0, 41.142857142857146)","(10.0, 14.0, 12.767857142857142)","(8.0, 12.0, 11.475)"
14-12-2022 13:10:40.381439,"(2.45, 2.84, 2.7629357798165137)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 29.0)","(4.0, 5.3, 5.257142857142857)","(31.0, 90.0, 66.0)","(31.0, 42.0, 80.0)","(10.0, 14.0, 12.8125)","(8.0, 12.0, 11.25)"
14-12-2022 13:10:41.793499,"(2.45, 2.84, 2.778461538461538)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 27.333333333333332)","(4.0, 5.3, 5.27391304347826)","(31.0, 90.0, 66.0)","(31.0, 90.0, 80.0)","(10.0, 14.0, 12.8125)","(8.0, 12.0, 11.382352941176471)"
14-12-2022 13:10:43.074528,"(2.45, 2.82, 2.778461538461538)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.4)","(21.0, 44.0, 36.0)","(4.0, 5.3, 5.27391304347826)","(31.0, 90.0, 66.0)","(31.0, 90.0, 73.33333333333334)","(10.0, 14.0, 12.8125)","(8.0, 12.0, 11.382352941176471)"
14-12-2022 13:10:44.419675,"(2.45, 2.8, 2.7426415094339625)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 36.0)","(6.5, 7.8, 7.384615384615385)","(21.0, 42.0, 36.0)","(4.0, 5.3, 5.273333333333333)","(31.0, 90.0, 50.0)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.767857142857142)","(8.0, 12.0, 11.0)"
14-12-2022 13:10:45.632126,"(2.45, 2.84, 2.8037931034482755)","(11.0, 16.0, 14.285714285714286)","(26.0, 48.0, 42.666666666666664)","(6.5, 7.8, 7.384615384615385)","(21.0, 42.0, 36.0)","(4.0, 5.3, 5.273333333333333)","(31.0, 90.0, 50.0)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.767857142857142)","(8.0, 11.5, 10.833333333333334)"
14-12-2022 13:10:46.854096,"(2.45, 2.84, 2.8037931034482755)","(11.0, 16.0, 14.285714285714286)","(26.0, 50.0, 53.0)","(6.5, 7.8, 7.4)","(21.0, 42.0, 37.5)","(4.0, 5.3, 5.274468085106383)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.767857142857142)","(8.0, 11.5, 10.833333333333334)"
14-12-2022 13:10:48.131129,"(2.45, 2.82, 2.802195121951219)","(11.0, 16.0, 14.285714285714286)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.4)","(21.0, 42.0, 37.5)","(4.0, 5.3, 5.273333333333333)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.767857142857142)","(8.0, 11.5, 10.833333333333334)"
14-12-2022 13:10:49.434447,"(2.45, 2.82, 2.802195121951219)","(11.0, 16.0, 14.285714285714286)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.4)","(21.0, 42.0, 37.5)","(4.0, 5.3, 5.273333333333333)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.767857142857142)","(8.0, 11.5, 10.833333333333334)"
14-12-2022 13:10:50.869038,"(2.45, 2.82, 2.802195121951219)","(11.0, 16.0, 14.166666666666666)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.4)","(21.0, 42.0, 37.5)","(4.0, 5.3, 5.247058823529412)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.734375)","(8.0, 11.5, 10.8)"
14-12-2022 13:10:52.269299,"(2.45, 2.82, 2.802195121951219)","(11.0, 15.0, 14.25)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.407692307692308)","(21.0, 42.0, 37.5)","(4.0, 5.6, 5.507692307692308)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.826086956521738)","(8.0, 11.5, 10.8)"
14-12-2022 13:10:53.628833,"(2.45, 2.82, 2.802195121951219)","(11.0, 15.0, 13.714285714285714)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.407692307692308)","(21.0, 42.0, 37.5)","(4.0, 5.6, 5.460465116279069)","(31.0, 90.0, 55.714285714285715)","(31.0, 90.0, 78.0)","(10.0, 14.0, 12.826086956521738)","(8.0, 11.5, 10.74)"
14-12-2022 13:10:55.065177,"(2.45, 2.82, 2.802337662337662)","(11.0, 18.0, 13.714285714285714)","(26.0, 60.0, 53.0)","(6.5, 7.8, 7.407692307692308)","(21.0, 42.0, 30.0)","(4.0, 5.6, 5.347368421052631)","(31.0, 90.0, 58.0)","(31.0, 90.0, 56.875)","(10.0, 14.0, 13.01923076923077)","(8.0, 11.5, 10.785714285714286)"
14-12-2022 13:10:56.587718,"(2.45, 2.82, 2.802337662337662)","(11.0, 18.0, 15.545454545454545)","(26.0, 60.0, 54.90909090909091)","(6.5, 7.8, 7.407692307692308)","(21.0, 40.0, 30.0)","(4.0, 5.6, 5.347368421052631)","(31.0, 90.0, 70.66666666666667)","(31.0, 85.0, 75.0)","(10.0, 14.0, 13.01923076923077)","(8.0, 11.5, 10.785714285714286)"
14-12-2022 13:10:58.046715,"(2.45, 2.82, 2.801388888888889)","(11.0, 18.0, 15.545454545454545)","(26.0, 60.0, 54.90909090909091)","(6.5, 7.8, 7.407692307692308)","(21.0, 40.0, 29.333333333333332)","(4.0, 5.6, 5.347368421052631)","(31.0, 85.0, 78.85714285714286)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 12.788461538461538)","(8.0, 11.5, 10.785714285714286)"
14-12-2022 13:10:59.475705,"(2.45, 2.82, 2.801639344262295)","(11.0, 18.0, 15.0)","(26.0, 60.0, 54.90909090909091)","(6.5, 7.8, 7.407692307692308)","(21.0, 40.0, 30.625)","(4.0, 5.6, 5.518918918918919)","(31.0, 85.0, 78.85714285714286)","(31.0, 80.0, 75.55555555555556)","(10.0, 14.0, 12.788461538461538)","(8.0, 11.5, 10.785714285714286)"
14-12-2022 13:11:00.861242,"(2.45, 2.82, 2.801639344262295)","(11.0, 17.5, 14.7)","(26.0, 60.0, 54.90909090909091)","(6.5, 7.8, 7.363636363636363)","(21.0, 40.0, 30.625)","(4.0, 5.6, 5.518918918918919)","(31.0, 85.0, 78.85714285714286)","(31.0, 80.0, 75.55555555555556)","(10.0, 14.0, 12.788461538461538)","(8.0, 11.5, 10.617647058823529)"
14-12-2022 13:11:02.247788,"(2.45, 2.82, 2.801639344262295)","(11.0, 17.5, 15.75)","(26.0, 60.0, 52.0)","(6.5, 7.8, 7.386206896551724)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.541176470588235)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 12.840909090909092)","(8.0, 11.5, 11.0)"
14-12-2022 13:11:03.585848,"(2.45, 2.82, 2.801639344262295)","(11.0, 17.5, 15.75)","(26.0, 60.0, 49.25)","(6.5, 7.8, 7.445454545454545)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 12.840909090909092)","(8.0, 12.0, 11.0)"
14-12-2022 13:11:05.167901,"(2.45, 2.82, 2.801639344262295)","(11.0, 17.5, 15.125)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.445454545454545)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 12.840909090909092)","(8.0, 11.5, 10.7)"
14-12-2022 13:11:06.722534,"(2.45, 2.82, 2.801639344262295)","(11.0, 18.5, 15.125)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.445454545454545)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 12.840909090909092)","(8.0, 11.5, 11.058823529411764)"
14-12-2022 13:11:08.230325,"(2.45, 2.82, 2.7411267605633802)","(11.0, 18.5, 15.125)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.588235294117647)"
14-12-2022 13:11:09.885014,"(2.45, 2.82, 2.7411267605633802)","(11.0, 18.5, 15.125)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 12.0, 10.588235294117647)"
14-12-2022 13:11:11.554928,"(2.45, 2.82, 2.7411267605633802)","(11.0, 18.5, 14.875)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.9)"
14-12-2022 13:11:13.011406,"(2.45, 2.82, 2.7411267605633802)","(11.0, 17.5, 14.875)","(26.0, 55.0, 50.4)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 32.5)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.722222222222221)"
14-12-2022 13:11:14.455520,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.5, 15.4)","(26.0, 55.0, 47.333333333333336)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 29.333333333333332)","(4.0, 5.6, 5.333333333333333)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.722222222222221)"
14-12-2022 13:11:15.935177,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.5, 16.333333333333332)","(26.0, 55.0, 47.333333333333336)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 29.333333333333332)","(4.0, 5.6, 5.3)","(31.0, 85.0, 74.25)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.9375)"
14-12-2022 13:11:17.466692,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.0)","(26.0, 55.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 29.333333333333332)","(4.0, 5.5, 5.3)","(31.0, 85.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.9375)"
14-12-2022 13:11:18.972360,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.0)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 26.285714285714285)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.9375)"
14-12-2022 13:11:20.376408,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.0)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 26.285714285714285)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.5, 10.714285714285714)"
14-12-2022 13:11:21.808541,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.0)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(21.0, 40.0, 26.285714285714285)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(10.0, 14.0, 13.4375)","(8.0, 11.0, 10.714285714285714)"
14-12-2022 13:11:23.203740,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.454545454545453)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(20.0, 40.0, 28.666666666666668)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.653846153846153)","(8.5, 11.0, 11.125)"
14-12-2022 13:11:24.636467,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.454545454545453)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(20.0, 38.0, 28.666666666666668)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.653846153846153)","(8.5, 11.5, 11.125)"
14-12-2022 13:11:26.093425,"(2.45, 2.82, 2.7695495495495495)","(11.0, 17.0, 16.454545454545453)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.341176470588235)","(20.0, 38.0, 28.666666666666668)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.653846153846153)","(8.5, 11.5, 11.125)"
14-12-2022 13:11:27.546405,"(2.45, 2.82, 2.7733333333333334)","(11.0, 17.0, 16.454545454545453)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.242857142857143)","(20.0, 38.0, 28.666666666666668)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.653846153846153)","(8.5, 11.5, 10.818181818181818)"
14-12-2022 13:11:28.928372,"(2.45, 2.82, 2.7733333333333334)","(11.0, 17.0, 16.454545454545453)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.224)","(20.0, 38.0, 26.8)","(4.0, 5.5, 5.3)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.653846153846153)","(8.5, 11.0, 10.818181818181818)"
14-12-2022 13:11:30.279359,"(2.45, 2.82, 2.7951724137931033)","(11.0, 17.0, 16.166666666666668)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.228571428571429)","(20.0, 38.0, 26.8)","(4.0, 5.5, 5.488888888888889)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.282608695652174)","(8.5, 11.0, 10.818181818181818)"
14-12-2022 13:11:31.554455,"(2.45, 2.82, 2.7654545454545456)","(11.0, 17.0, 16.166666666666668)","(26.0, 50.0, 41.0)","(6.5, 7.8, 7.224)","(20.0, 38.0, 28.0)","(4.0, 5.6, 5.428571428571429)","(31.0, 80.0, 64.8)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.5, 13.5)","(8.5, 11.0, 11.038461538461538)"
14-12-2022 13:11:32.881236,"(2.45, 2.82, 2.7594736842105263)","(11.0, 17.0, 16.166666666666668)","(26.0, 50.0, 44.85714285714286)","(6.5, 7.8, 7.224)","(20.0, 36.0, 31.6)","(4.0, 5.6, 5.5)","(31.0, 80.0, 69.71428571428572)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.5)","(8.5, 11.5, 11.038461538461538)"
14-12-2022 13:11:34.241106,"(2.45, 2.82, 2.7594736842105263)","(11.0, 17.0, 16.166666666666668)","(26.0, 50.0, 44.85714285714286)","(6.5, 7.8, 7.224)","(20.0, 36.0, 32.4)","(4.0, 5.6, 5.5612903225806445)","(31.0, 80.0, 69.71428571428572)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.5)","(8.5, 11.5, 11.014285714285714)"
14-12-2022 13:11:35.620380,"(2.45, 2.82, 2.7594736842105263)","(11.0, 17.0, 16.166666666666668)","(26.0, 50.0, 44.85714285714286)","(6.5, 7.8, 7.228571428571429)","(20.0, 36.0, 31.6)","(4.0, 5.6, 5.5)","(31.0, 80.0, 63.0)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.0, 13.25)","(8.5, 11.5, 10.666666666666666)"
14-12-2022 13:11:37.101338,"(2.45, 2.82, 2.7654545454545456)","(11.0, 17.0, 16.142857142857142)","(26.0, 50.0, 44.85714285714286)","(6.5, 7.8, 7.228571428571429)","(20.0, 36.0, 31.6)","(4.0, 5.7, 5.319047619047619)","(31.0, 80.0, 63.0)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.5, 13.25)","(8.5, 11.0, 10.666666666666666)"
14-12-2022 13:11:38.539336,"(2.45, 2.82, 2.7654545454545456)","(11.0, 17.0, 15.857142857142858)","(26.0, 50.0, 44.85714285714286)","(6.5, 7.8, 7.228571428571429)","(20.0, 36.0, 31.6)","(4.0, 5.7, 5.319047619047619)","(31.0, 80.0, 63.0)","(31.0, 80.0, 73.33333333333334)","(11.0, 14.5, 13.25)","(8.5, 11.0, 10.666666666666666)"
14-12-2022 13:11:39.929823,"(2.45, 2.82, 9998.5)","(11.0, 17.0, 9998.5)","(26.0, 50.0, 9998.5)","(6.5, 7.8, 9998.5)","(20.0, 36.0, 9998.5)","(4.0, 5.7, 9998.5)","(31.0, 80.0, 9998.5)","(31.0, 80.0, 9998.5)","(11.0, 14.5, 9998.5)","(8.5, 99999, 9998.5)"
