,Rickys Revenge,Cairo Boogie,Suleman,Chesapeake Charlie,Kid Bourbon,Champagne Jam,Citizens Fire,Dominant Factor,Thatza Alpha,Light Work
15-12-2022 13:55:13.240627,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:14.635995,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:55:16.066273,"(21.0, 20.0, 18.8)","(7.0, 14.5, 13.857142857142858)","(2.7, 2.9, 2.872987012987013)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.230327868852459)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:55:17.424639,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8669841269841267)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.25, 3.140677966101695)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:55:18.727045,"(21.0, 20.0, 18.5)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8669841269841267)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.3, 3.140677966101695)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 46.0, 44.0)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:55:20.086786,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7933333333333334)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 120.0, 102.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:21.403430,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7933333333333334)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 120.0, 102.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:23.301888,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7933333333333334)","(21.0, 27.0, 20.666666666666668)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 120.0, 102.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:25.043791,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7600000000000002)","(21.0, 27.0, 22.5)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 120.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:26.532396,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7600000000000002)","(21.0, 27.0, 22.5)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:28.008684,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.7600000000000002)","(21.0, 27.0, 22.5)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:29.582369,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8566666666666665)","(21.0, 27.0, 25.2)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:31.102898,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8566666666666665)","(21.0, 27.0, 25.2)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:55:32.941840,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8566666666666665)","(21.0, 27.0, 25.2)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:34.790972,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.9, 2.8675862068965516)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:36.259711,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8675862068965516)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:38.026770,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8675862068965516)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.0)"
15-12-2022 13:55:40.130155,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8675862068965516)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:41.741912,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:55:43.289184,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 36.0, 28.666666666666668)"
15-12-2022 13:55:44.995357,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:46.562755,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:55:48.203007,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.0)"
15-12-2022 13:55:50.066852,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:51.722009,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:53.298858,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:55:54.849326,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:55:56.383264,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 36.0, 28.666666666666668)"
15-12-2022 13:55:57.844799,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8495238095238093)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 34.0, 28.0)"
15-12-2022 13:55:59.327360,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:00.788849,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:02.320060,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.7990361445783134)","(21.0, 27.0, 23.6)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 94.4)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:03.810573,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.88, 2.8486206896551725)","(21.0, 27.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:56:05.299681,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:06.772179,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:08.203897,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 28.666666666666668)"
15-12-2022 13:56:09.622470,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:56:11.007989,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.0)"
15-12-2022 13:56:12.390159,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.8486206896551725)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:13.846834,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.832063492063492)","(21.0, 36.0, 25.8)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:56:15.241068,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.845084745762712)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:16.654115,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:18.068121,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:19.521398,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 29.333333333333332)"
15-12-2022 13:56:20.939366,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.0)"
15-12-2022 13:56:22.338363,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:23.753511,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:25.169584,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 30.0)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.666666666666668)"
15-12-2022 13:56:26.509323,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:56:27.902164,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:56:29.351691,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:56:30.743102,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.0)"
15-12-2022 13:56:32.432657,"(21.0, 20.0, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:34.040503,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:35.642067,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
15-12-2022 13:56:37.060655,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 29.333333333333332)"
15-12-2022 13:56:38.563258,"(21.0, 19.5, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 36.0, 28.666666666666668)"
15-12-2022 13:56:40.075145,"(21.0, 20.0, 18.125)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.666666666666668)"
15-12-2022 13:56:41.929109,"(21.0, 20.0, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 34.0, 28.0)"
15-12-2022 13:56:44.438418,"(21.0, 19.5, 18.875)","(7.0, 14.5, 13.621951219512194)","(2.7, 2.86, 2.79125)","(21.0, 36.0, 32.142857142857146)","(1.85, 3.3, 3.15)","(41.0, 65.0, 55.33333333333333)","(41.0, 65.0, 56.0)","(41.0, 65.0, 60.25)","(26.0, 110.0, 98.85714285714286)","(21.0, 32.0, 28.0)"
