,Aston Hebe,Miss Graphite,Faux Allie,Spring Bonnie,Emerley Sharon,Isla Gracie,Edgy Reggie,Didelis
14-12-2022 12:39:15.897956,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 8.8, 8.0)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:16.938781,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.6, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:18.011869,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:19.065400,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:20.200967,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:21.214285,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:22.444977,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:23.474491,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:24.567534,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:25.581599,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.85)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:26.723587,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.984615384615385)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:27.814011,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.984615384615385)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:29.046409,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 10.299999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:30.337926,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 14.5, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:31.604068,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:33.042678,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:34.292466,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:35.776269,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:37.334723,"(2.8, 3.85, 2.905333333333333)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:38.668633,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:39.836411,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:41.037777,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:42.238045,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:43.413616,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:44.603372,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:45.703719,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:46.830900,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:48.172111,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 215.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:49.473218,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:50.644076,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:51.819258,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:52.999253,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:54.190173,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:55.637751,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:56.987601,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:58.274447,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:39:59.567718,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:00.694729,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:01.795654,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:02.953833,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:04.219669,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:05.388681,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:06.690420,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:07.944165,"(2.8, 3.85, 3.2226086956521742)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:09.117892,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:10.310681,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:11.511596,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:12.653667,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:13.865817,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.719999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:15.153747,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:16.489726,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:17.795167,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:19.349131,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 216.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:20.871143,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:22.107571,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:23.294241,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.719999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:24.471218,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:25.688396,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:26.967539,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:28.166385,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:29.439119,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:30.684605,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 217.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:31.981051,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.64)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:33.286306,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:34.578015,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:35.833387,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.549999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:37.044394,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.719999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:38.331542,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 242.5)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.719999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:39.591800,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:40.800558,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:42.042776,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.649999999999999)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
14-12-2022 12:40:43.498567,"(2.8, 3.85, 3.3845161290322583)","(16.0, 34.0, 25.25)","(41.0, 390.0, 230.0)","(6.5, 10.5, 9.154545454545454)","(6.5, 13.0, 9.799999999999999)","(5.5, 9.2, 8.45)","(8.0, 19.0, 9.933333333333334)","(3.7, 5.1, 4.455555555555556)"
