,Sheza Rose Nz,Nor Westa,Wunderland,Point Oh Five,He Said She Said,Sport Cadet,Rolamax,Miss Serena,Thundamental,Im Boo Nz
10-01-2023 18:34:17.407685,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 35.625)","(17.0, 48.0, 38.0)","(1.95, 3.0, 2.8506666666666667)","(31.0, 95.0, 76.66666666666666)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.955555555555556)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:18.588783,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 42.6)","(17.0, 48.0, 38.0)","(1.95, 3.0, 2.8506666666666667)","(31.0, 95.0, 76.66666666666666)","(8.5, 13.5, 11.0)","(5.0, 6.4, 5.955555555555556)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:19.821194,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 42.6)","(17.0, 48.0, 30.142857142857142)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 59.66666666666667)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.177777777777778)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:21.014838,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 33.57142857142857)","(17.0, 48.0, 30.857142857142858)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 59.66666666666667)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.177777777777778)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:22.222464,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 40.0)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 59.66666666666667)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.177777777777778)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:23.524532,"(6.0, 99999, 99990)","(21.0, 26.0, 21.153846153846153)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 59.66666666666667)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.050000000000001)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:24.770844,"(6.0, 99999, 99990)","(21.0, 25.0, 20.615384615384613)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 59.66666666666667)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.050000000000001)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:25.910954,"(6.0, 99999, 99990)","(21.0, 24.0, 22.11111111111111)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 81.75)","(8.5, 13.5, 11.0)","(5.0, 6.4, 6.050000000000001)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:27.080300,"(6.0, 99999, 99990)","(21.0, 24.0, 20.458333333333336)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9085714285714284)","(31.0, 95.0, 74.6)","(8.5, 13.5, 10.538461538461538)","(5.0, 6.4, 6.050000000000001)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:28.302279,"(6.0, 99999, 99990)","(21.0, 24.0, 20.458333333333336)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 13.0, 10.75)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:29.576887,"(6.0, 99999, 99990)","(21.0, 24.0, 20.458333333333336)","(21.0, 55.0, 40.0)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 13.0, 10.75)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:30.853541,"(6.0, 99999, 99990)","(21.0, 24.0, 20.458333333333336)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 13.0, 10.75)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:32.098076,"(6.0, 99999, 99990)","(21.0, 24.0, 20.458333333333336)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 13.0, 10.733333333333333)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:33.326347,"(6.0, 99999, 99990)","(21.0, 24.0, 19.75)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 13.0, 12.016666666666666)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:34.550015,"(6.0, 99999, 99990)","(21.0, 24.0, 19.75)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.912156862745098)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.533333333333333)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:35.703184,"(6.0, 99999, 99990)","(21.0, 24.0, 19.75)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.342857142857143)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:36.882596,"(6.0, 99999, 99990)","(21.0, 24.0, 20.8125)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.342857142857143)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:38.091683,"(6.0, 99999, 99990)","(21.0, 24.0, 20.8125)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.342857142857143)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:39.305361,"(6.0, 99999, 99990)","(21.0, 42.0, 31.166666666666664)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.342857142857143)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:40.545468,"(6.0, 99999, 99990)","(21.0, 20.0, 19.5)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:41.789139,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 46.42857142857143)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:43.004728,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.0)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 63.125)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:44.157471,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.0)","(17.0, 46.0, 35.0)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:45.361252,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:46.565177,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:47.793075,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:48.975746,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.081818181818182)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:50.190760,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 11.830769230769231)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:51.475023,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.5)","(17.0, 46.0, 40.5)","(1.95, 3.0, 2.9185454545454546)","(31.0, 95.0, 74.6)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:52.704529,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.5)","(17.0, 46.0, 35.5)","(1.9, 3.0, 2.9185454545454546)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.31764705882353)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:53.886198,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 34.285714285714285)","(17.0, 46.0, 30.25)","(1.9, 3.0, 2.9185454545454546)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 10.88)","(5.0, 6.4, 6.2250000000000005)","(31.0, 65.0, 37.5)","(11.0, 99999, 99990)"
10-01-2023 18:34:55.064337,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.5)","(17.0, 46.0, 30.25)","(1.9, 3.0, 2.9185454545454546)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.825)","(5.0, 6.4, 6.31764705882353)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:56.260892,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.5)","(17.0, 46.0, 30.25)","(1.9, 3.0, 2.9185454545454546)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.666666666666666)","(5.0, 6.4, 6.283333333333333)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:57.549053,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 40.5)","(17.0, 46.0, 35.5)","(1.9, 3.0, 2.8015384615384615)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.666666666666666)","(5.0, 6.4, 6.283333333333333)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:34:58.798219,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.75)","(17.0, 46.0, 40.75)","(1.9, 2.84, 2.816)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.666666666666666)","(5.0, 6.4, 6.011111111111111)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:00.019025,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.75)","(17.0, 46.0, 40.75)","(1.9, 2.84, 2.816)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.3)","(5.0, 6.4, 6.011111111111111)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:01.219933,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.75)","(17.0, 46.0, 40.75)","(1.9, 2.84, 2.226265060240964)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 11.3)","(5.0, 6.4, 6.011111111111111)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:02.449202,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.75)","(17.0, 46.0, 40.75)","(1.9, 2.82, 2.393846153846154)","(31.0, 95.0, 62.33333333333333)","(8.5, 12.5, 12.833333333333334)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:03.666739,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 47.75)","(17.0, 46.0, 40.75)","(1.9, 2.8, 2.44)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 13.65)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:04.892640,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 55.0, 44.0)","(17.0, 46.0, 40.75)","(1.9, 2.8, 2.4727272727272727)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 12.09090909090909)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 43.0)","(11.0, 99999, 99990)"
10-01-2023 18:35:06.098330,"(6.0, 99999, 99990)","(21.0, 20.0, 19.555555555555557)","(21.0, 50.0, 44.0)","(17.0, 46.0, 40.75)","(1.9, 2.8, 2.523076923076923)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 12.09090909090909)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 48.5)","(11.0, 99999, 99990)"
10-01-2023 18:35:07.296939,"(6.0, 99999, 99990)","(20.0, 20.0, 19.555555555555557)","(21.0, 50.0, 44.0)","(17.0, 46.0, 40.75)","(1.9, 2.8, 2.523076923076923)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 11.375)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 48.5)","(11.0, 99999, 99990)"
10-01-2023 18:35:08.508693,"(6.0, 99999, 99990)","(20.0, 20.0, 19.555555555555557)","(21.0, 50.0, 44.0)","(17.0, 46.0, 32.666666666666664)","(1.9, 2.8, 2.2884615384615383)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 11.375)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 48.5)","(11.0, 99999, 99990)"
10-01-2023 18:35:09.743060,"(6.0, 99999, 99990)","(20.0, 20.0, 19.555555555555557)","(21.0, 50.0, 44.666666666666664)","(17.0, 46.0, 32.666666666666664)","(1.9, 3.0, 2.7985185185185184)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 11.375)","(5.0, 6.4, 6.011111111111111)","(31.0, 65.0, 48.5)","(11.0, 99999, 99990)"
10-01-2023 18:35:10.951884,"(6.0, 99999, 99990)","(20.0, 20.0, 19.555555555555557)","(21.0, 50.0, 44.666666666666664)","(17.0, 46.0, 32.666666666666664)","(1.9, 2.98, 2.8485714285714288)","(31.0, 95.0, 62.33333333333333)","(8.5, 14.0, 11.375)","(5.0, 6.4, 6.166666666666667)","(31.0, 65.0, 48.5)","(11.0, 99999, 99990)"
