,Max Power,Incineration,Elite Alex,Nehalem,Cashing Cheques,Blackpool Ryan,Go Seek Kotoni,Tom Keeping
12-01-2023 18:37:56.163306,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:57.508626,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:37:58.921829,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:00.283424,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:01.736434,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:03.290285,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:04.736252,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:06.278271,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:07.720051,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:09.128411,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:10.405053,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:11.699723,"(16.0, 42.0, 25.4375)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 26.208333333333332)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:13.135092,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 12.444444444444445)","(14.0, 32.0, 21.5)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:14.467234,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:15.896657,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:17.277397,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:18.597887,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:19.853664,"(16.0, 42.0, 27.27777777777778)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:21.133164,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:22.529466,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:23.819533,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:25.040270,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:26.327689,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:27.598006,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:28.863115,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:30.027773,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:31.208485,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:32.494444,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:33.754458,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:34.839975,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:36.019292,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:37.111709,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:38.263298,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:39.280529,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:40.459113,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:41.585473,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.8)"
12-01-2023 18:38:42.663424,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:43.712674,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:44.755071,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:45.828474,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:46.872476,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:47.945168,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:48.957759,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:50.048149,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:51.197207,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:52.386322,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:53.562717,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:54.679479,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:55.775251,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:56.922423,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:58.055166,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:38:59.187634,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:00.247459,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:01.332998,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:02.405151,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:03.469845,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:04.490658,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:05.448548,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:06.512620,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:07.610313,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:08.755987,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 52.333333333333336)"
12-01-2023 18:39:09.872942,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:10.971306,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:12.114148,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:13.310943,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:14.484029,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:15.747843,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:16.818143,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:17.952545,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:19.121307,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 51.0)"
12-01-2023 18:39:20.258690,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.7)"
12-01-2023 18:39:21.299025,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.7)"
12-01-2023 18:39:22.358046,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.7)"
12-01-2023 18:39:23.486058,"(16.0, 40.0, 26.38888888888889)","(3.8, 6.2, 5.457142857142857)","(2.25, 3.25, 2.617272727272727)","(4.6, 7.6, 6.8)","(14.0, 36.0, 17.25)","(9.0, 17.0, 10.333333333333334)","(14.0, 32.0, 15.375)","(13.0, 60.0, 50.7)"
