,Julius Franco,Maharajah Nz,Assassinator,Sir Lucas,Joes A Character,Motu Premier Nz,Stroke Of Luck,Hesashark,Culture King
07-01-2023 19:11:13.008784,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:14.384894,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:15.930330,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:17.370489,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:18.827601,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:20.480089,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:22.059330,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:23.402252,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:24.656933,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:25.951391,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1614285714285715)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:27.223126,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:28.475666,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:29.745047,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:31.080401,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:32.483319,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:33.812733,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:35.237050,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:36.675269,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:38.033089,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:39.345705,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:40.683456,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:41.993431,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:43.259703,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:44.513194,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:45.679187,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:46.875696,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:48.183883,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:49.419794,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:50.690239,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:51.939426,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:53.147988,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:54.305011,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:55.466330,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:56.675578,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:57.843095,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:11:58.993246,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:00.253024,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:01.532686,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:02.749892,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:04.086487,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:05.393767,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:06.706129,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:08.018723,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:09.237920,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 2.1836363636363636)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:10.500061,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.22, 1.9977777777777779)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:11.781004,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.14, 1.9977777777777779)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:13.077282,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.14, 1.9977777777777779)","(26.0, 65.0, 56.8)","(51.0, 140.0, 129.375)"
07-01-2023 19:12:14.372106,"(101.0, 230.0, 212.0)","(5.0, 99999, 99990)","(101.0, 210.0, 198.0)","(5.0, 8.8, 6.8)","(6.0, 9.8, 8.781818181818183)","(26.0, 99999, 99990)","(1.6, 2.14, 1.9977777777777779)","(26.0, 65.0, 44.5)","(51.0, 140.0, 129.375)"
