,Wild Keyra,Miss Terri,Go Hard Son,Icy Hot,Dragon Smoke,Wheres Papi,Vecna,Summers Lost
04-01-2023 13:40:15.203957,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 8.700000000000001)","(11.0, 44.0, 40.375)"
04-01-2023 13:40:16.512891,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.8, 8.307692307692307)","(11.0, 44.0, 40.375)"
04-01-2023 13:40:17.779141,"(17.0, 55.0, 31.25)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.375)"
04-01-2023 13:40:18.969618,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 25.0)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:20.137059,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:21.263529,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:22.422207,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:23.599823,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:24.800303,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:26.063214,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:27.278628,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:28.454270,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:29.718337,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:30.964366,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:32.236222,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:33.579727,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:34.902928,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:36.219383,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:37.562178,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:38.976631,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 40.77777777777778)"
04-01-2023 13:40:40.137271,"(17.0, 55.0, 39.166666666666664)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.4)"
04-01-2023 13:40:41.228780,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:42.373892,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:43.631291,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:44.909445,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:46.037243,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:47.209918,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 8.307692307692307)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:48.392945,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.6, 9.0)","(11.0, 44.0, 38.5)"
04-01-2023 13:40:49.617866,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:50.839743,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:51.993982,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:53.199974,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:54.408338,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:55.631531,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:56.721891,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:57.750598,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:40:58.863382,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 137.14285714285714)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:41:00.031224,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 390.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:41:01.187417,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 44.0, 40.5625)"
04-01-2023 13:41:02.255297,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 44.0, 27.4375)"
04-01-2023 13:41:03.559392,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 27.4375)"
04-01-2023 13:41:04.693365,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.0)"
04-01-2023 13:41:05.941771,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.6)"
04-01-2023 13:41:07.036975,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 27.5)"
04-01-2023 13:41:08.123427,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:09.290637,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:10.325626,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:11.382189,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:12.471941,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:13.511345,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.0)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:14.553904,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.4, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:15.551001,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:16.630157,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:17.688999,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:18.706961,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:19.863810,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 26.7)"
04-01-2023 13:41:20.986488,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 29.0, 35.14285714285714)"
04-01-2023 13:41:22.137867,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 38.0, 35.14285714285714)"
04-01-2023 13:41:23.332708,"(17.0, 55.0, 33.888888888888886)","(13.0, 40.0, 26.666666666666664)","(2.7, 4.5, 3.9166666666666665)","(1.95, 2.44, 2.045384615384615)","(71.0, 550.0, 468.33333333333337)","(41.0, 370.0, 131.42857142857144)","(5.5, 9.6, 9.18)","(11.0, 38.0, 35.14285714285714)"
