,Deciduous,Denman Star,Los Padres,Roussillon,Chilled,Determined Mink,Miss Belgium
07-12-2022 13:20:32.041965,"(2.35, 2.58, 2.562464985994398)","(14.0, 17.0, 16.59090909090909)","(5.0, 6.4, 6.372490706319703)","(6.0, 6.4, 6.241079460269865)","(5.0, 6.0, 5.943360433604337)","(31.0, 40.0, 39.214285714285715)","(21.0, 30.0, 29.021929824561404)"
07-12-2022 13:20:33.062603,"(2.35, 2.58, 2.5526039387308535)","(14.0, 17.0, 16.8125)","(5.0, 6.4, 6.381818181818182)","(6.0, 6.4, 6.242153846153847)","(5.0, 6.0, 5.932038834951457)","(31.0, 40.0, 39.214285714285715)","(21.0, 30.0, 28.10041841004184)"
07-12-2022 13:20:34.083064,"(2.35, 2.58, 2.5526039387308535)","(14.0, 17.0, 16.8125)","(5.0, 6.4, 6.381818181818182)","(6.0, 6.4, 6.233892617449665)","(5.0, 6.0, 5.956066945606695)","(31.0, 40.0, 39.214285714285715)","(21.0, 30.0, 28.2265625)"
07-12-2022 13:20:35.290799,"(2.3, 2.54, 2.5366318926974665)","(14.0, 17.0, 16.83695652173913)","(5.5, 6.4, 6.363309352517986)","(6.0, 6.4, 6.222572178477691)","(5.0, 6.0, 5.957209302325581)","(31.0, 40.0, 39.214285714285715)","(21.0, 30.0, 28.223076923076924)"
07-12-2022 13:20:36.407914,"(2.3, 2.54, 2.5364326069410814)","(14.0, 17.0, 16.87837837837838)","(5.5, 6.4, 6.3660000000000005)","(6.0, 6.4, 6.224643320363165)","(5.0, 6.0, 5.9591111111111115)","(31.0, 40.0, 39.29032258064516)","(21.0, 30.0, 28.25)"
07-12-2022 13:20:37.440302,"(2.3, 2.54, 2.536199324324324)","(14.0, 17.0, 16.87837837837838)","(5.5, 6.4, 6.366336633663367)","(6.0, 6.4, 6.131584258324924)","(5.0, 6.0, 5.9591111111111115)","(31.0, 40.0, 39.29032258064516)","(21.0, 30.0, 28.29520295202952)"
07-12-2022 13:20:38.363036,"(2.3, 2.54, 2.5375941230486685)","(14.0, 17.0, 16.862068965517242)","(5.5, 6.4, 6.366336633663367)","(5.5, 6.4, 6.200898203592814)","(5.0, 6.0, 5.9682051282051285)","(31.0, 40.0, 38.108108108108105)","(21.0, 30.0, 28.25)"
07-12-2022 13:20:39.422689,"(2.3, 2.54, 2.578282208588957)","(14.0, 17.0, 16.846153846153847)","(5.5, 6.4, 6.3660000000000005)","(5.5, 6.4, 6.20058651026393)","(5.0, 6.0, 5.9682051282051285)","(31.0, 40.0, 38.108108108108105)","(21.0, 30.0, 28.25)"
07-12-2022 13:20:40.501710,"(2.3, 2.58, 2.578577319587629)","(14.0, 17.0, 16.846153846153847)","(5.5, 6.4, 6.3660000000000005)","(5.5, 6.4, 6.20058651026393)","(5.0, 6.0, 5.9682051282051285)","(31.0, 40.0, 38.108108108108105)","(21.0, 30.0, 28.25)"
07-12-2022 13:20:41.581842,"(2.3, 2.58, 2.5714814814814817)","(14.0, 17.0, 16.835051546391753)","(5.5, 6.6, 6.484244372990354)","(5.5, 6.2, 6.198319327731093)","(5.0, 6.0, 5.9682051282051285)","(31.0, 40.0, 38.108108108108105)","(21.0, 30.0, 28.25)"
07-12-2022 13:20:42.629804,"(2.3, 2.56, 2.540295566502463)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.480877742946708)","(5.5, 6.4, 6.232880098887516)","(5.0, 6.0, 5.9646723646723645)","(31.0, 40.0, 38.108108108108105)","(21.0, 30.0, 29.41304347826087)"
07-12-2022 13:20:43.689583,"(2.3, 2.56, 2.5446376811594202)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.482649842271293)","(5.5, 6.4, 6.232718327183272)","(5.0, 6.0, 5.95431654676259)","(31.0, 40.0, 38.11059907834101)","(21.0, 30.0, 29.41304347826087)"
07-12-2022 13:20:44.851345,"(2.3, 2.56, 2.520867678958785)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.534020618556701)","(5.5, 6.4, 6.232512315270936)","(5.0, 6.0, 5.963953488372093)","(31.0, 40.0, 38.11059907834101)","(21.0, 30.0, 29.41304347826087)"
07-12-2022 13:20:45.986952,"(2.3, 2.56, 2.54055900621118)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.511842105263158)","(5.5, 6.4, 6.232352941176471)","(5.0, 6.0, 5.96508875739645)","(31.0, 40.0, 38.11059907834101)","(21.0, 30.0, 29.904761904761905)"
07-12-2022 13:20:47.005752,"(2.3, 2.56, 2.5265789473684213)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.4992125984251965)","(5.5, 6.4, 6.232512315270936)","(5.0, 6.0, 5.965868263473054)","(31.0, 38.0, 37.18681318681319)","(21.0, 32.0, 29.47107438016529)"
07-12-2022 13:20:48.070287,"(2.3, 2.56, 2.5265789473684213)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.496923076923077)","(5.5, 6.4, 6.232352941176471)","(5.0, 6.0, 5.964596273291925)","(31.0, 38.0, 37.18681318681319)","(21.0, 32.0, 29.45967741935484)"
07-12-2022 13:20:49.026701,"(2.3, 2.56, 2.541323529411765)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.496923076923077)","(5.5, 6.4, 6.232352941176471)","(5.0, 6.0, 5.964596273291925)","(31.0, 38.0, 37.18681318681319)","(21.0, 32.0, 29.45967741935484)"
07-12-2022 13:20:50.011795,"(2.3, 2.54, 2.5224318936877075)","(14.0, 17.0, 16.833333333333332)","(5.5, 6.6, 6.517894736842106)","(5.5, 6.4, 6.23680981595092)","(5.0, 6.0, 5.978034682080925)","(31.0, 38.0, 37.18681318681319)","(21.0, 32.0, 30.278688524590162)"
07-12-2022 13:20:50.968109,"(2.3, 2.54, 2.5363157894736843)","(14.0, 17.0, 16.835526315789473)","(5.5, 6.6, 6.5125)","(5.5, 6.4, 6.23680981595092)","(5.0, 6.0, 5.978034682080925)","(31.0, 38.0, 37.18681318681319)","(21.0, 32.0, 30.278688524590162)"
07-12-2022 13:20:51.918663,"(2.3, 2.52, 2.519947437582129)","(14.0, 17.0, 16.835526315789473)","(5.5, 6.6, 6.564102564102564)","(5.5, 6.4, 6.23680981595092)","(5.0, 6.0, 5.976061776061776)","(31.0, 38.0, 37.26)","(21.0, 32.0, 30.278688524590162)"
07-12-2022 13:20:52.966666,"(2.3, 2.52, 2.519947437582129)","(14.0, 17.0, 16.835526315789473)","(5.5, 6.6, 6.567441860465116)","(5.5, 6.4, 6.23680981595092)","(5.0, 6.0, 5.976023391812865)","(31.0, 38.0, 37.26)","(21.0, 32.0, 30.278688524590162)"
07-12-2022 13:20:53.982569,"(2.3, 2.52, 2.522821229050279)","(14.0, 17.0, 16.835526315789473)","(5.5, 6.6, 6.5737313432835816)","(5.5, 6.4, 6.1334669338677354)","(5.0, 6.0, 5.967125645438898)","(31.0, 38.0, 37.26)","(21.0, 32.0, 30.278688524590162)"
07-12-2022 13:20:55.089329,"(2.3, 2.54, 2.522821229050279)","(14.0, 17.0, 16.835526315789473)","(5.5, 6.6, 6.681538461538461)","(5.5, 6.4, 6.13972602739726)","(5.0, 6.0, 5.968113522537562)","(31.0, 38.0, 37.28155339805825)","(21.0, 32.0, 30.384615384615383)"
07-12-2022 13:20:56.110476,"(2.3, 2.54, 2.5233189033189034)","(14.0, 15.5, 15.053133514986376)","(5.5, 6.8, 6.721739130434782)","(5.5, 6.4, 6.141747572815534)","(5.0, 6.0, 5.943988269794722)","(31.0, 38.0, 37.28846153846154)","(21.0, 32.0, 30.40909090909091)"
07-12-2022 13:20:57.156283,"(2.3, 2.54, 2.5239667128987517)","(14.0, 15.5, 15.030085959885387)","(5.5, 6.8, 6.731521739130435)","(5.5, 6.4, 6.174883720930232)","(5.0, 6.0, 5.966244725738397)","(31.0, 38.0, 37.301886792452834)","(21.0, 32.0, 30.432835820895523)"
07-12-2022 13:20:58.212781,"(2.3, 2.54, 2.535710144927536)","(14.0, 15.5, 15.00453172205438)","(5.5, 6.8, 6.719211822660098)","(5.5, 6.4, 6.179247434435576)","(5.0, 6.0, 5.989617486338798)","(31.0, 38.0, 37.28155339805825)","(21.0, 32.0, 31.161290322580644)"
07-12-2022 13:20:59.305250,"(2.3, 2.54, 2.51375)","(14.0, 15.5, 14.624343257443082)","(5.5, 8.4, 7.772903225806452)","(5.5, 6.4, 6.281632653061225)","(5.0, 6.0, 5.97906976744186)","(31.0, 38.0, 36.57692307692308)","(21.0, 32.0, 29.936507936507937)"
07-12-2022 13:21:00.401638,"(2.3, 2.54, 2.5278260869565217)","(14.0, 15.5, 14.714285714285715)","(5.5, 8.4, 9.033333333333333)","(5.5, 6.4, 6.571428571428571)","(5.0, 6.0, 7.694444444444445)","(31.0, 38.0, 36.5)","(21.0, 32.0, 26.625)"
07-12-2022 13:21:01.503673,"(2.3, 2.58, 2.5278260869565217)","(13.0, 28.0, 20.25)","(5.5, 9.6, 7.983018867924528)","(5.5, 6.8, 5.95820895522388)","(5.0, 9.6, 8.683116883116885)","(31.0, 65.0, 43.5)","(21.0, 48.0, 23.75)"
07-12-2022 13:21:02.453407,"(2.3, 2.52, 2.4682758620689653)","(13.0, 23.0, 22.807692307692307)","(5.5, 8.0, 7.983018867924528)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.683116883116885)","(31.0, 60.0, 43.5)","(21.0, 44.0, 23.75)"
07-12-2022 13:21:03.497581,"(2.3, 2.48, 2.3808988764044945)","(13.0, 15.5, 13.1375)","(5.5, 9.6, 9.033333333333333)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.759276018099548)","(31.0, 60.0, 35.25)","(21.0, 30.0, 17.160493827160494)"
07-12-2022 13:21:04.535690,"(2.3, 2.48, 2.3808988764044945)","(13.0, 15.5, 13.1375)","(5.5, 9.6, 9.033333333333333)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.775342465753425)","(31.0, 60.0, 33.6)","(21.0, 30.0, 19.62962962962963)"
07-12-2022 13:21:05.654669,"(2.3, 2.46, 2.371111111111111)","(13.0, 8.0, 7.8543859649122805)","(5.5, 9.6, 7.5)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.775342465753425)","(31.0, 60.0, 33.6)","(21.0, 30.0, 19.62962962962963)"
07-12-2022 13:21:06.766540,"(2.3, 2.46, 2.371111111111111)","(13.0, 8.0, 7.8543859649122805)","(5.5, 9.6, 7.5)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.775342465753425)","(31.0, 60.0, 33.6)","(21.0, 30.0, 19.62962962962963)"
07-12-2022 13:21:07.882545,"(2.3, 2.46, 2.383116883116883)","(13.0, 8.0, 7.879487179487179)","(5.5, 9.6, 7.5)","(5.5, 6.0, 5.95820895522388)","(5.0, 8.8, 8.728000000000002)","(31.0, 60.0, 33.6)","(21.0, 29.0, 24.25)"
07-12-2022 13:21:08.929298,"(2.3, 2.46, 2.4252)","(13.0, 6.0, 5.88)","(5.5, 9.6, 9.022222222222222)","(5.5, 6.2, 5.910505836575876)","(5.0, 9.6, 8.966666666666667)","(31.0, 65.0, 45.0)","(21.0, 30.0, 24.14814814814815)"
07-12-2022 13:21:09.855967,"(2.3, 2.46, 2.364)","(13.0, 7.8, 7.35)","(5.5, 9.6, 9.425)","(5.5, 6.2, 5.610684931506849)","(5.0, 9.0, 7.3999999999999995)","(31.0, 65.0, 50.6)","(21.0, 28.0, 24.0)"
07-12-2022 13:21:10.777857,"(2.3, 2.46, 2.4391304347826086)","(13.0, 8.2, 8.066666666666666)","(5.5, 9.6, 9.425)","(5.5, 6.2, 5.608991825613079)","(5.0, 9.0, 8.777777777777779)","(31.0, 65.0, 50.6)","(21.0, 28.0, 24.0)"
