,Clearly Regal,Dont Forget Dad,Wonfontein,Razzama,Killzy,Nashian,Prince Of Troy,Clay Pan Boogie,Harry And The Duke
09-01-2023 14:25:18.186857,"(20.0, 28.0, 25.428571428571427)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 19.28125)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 21.375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:19.632203,"(20.0, 28.0, 25.857142857142858)","(10.0, 22.0, 17.666666666666668)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 21.375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:21.091103,"(20.0, 28.0, 25.857142857142858)","(10.0, 22.0, 18.4)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 21.375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:22.481688,"(20.0, 28.0, 25.5)","(10.0, 22.0, 18.4)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 21.375)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:23.887654,"(20.0, 28.0, 25.5)","(10.0, 22.0, 18.4)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.063720930232558)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 21.2)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 22.0)","(101.0, 220.0, 178.33333333333331)"
09-01-2023 14:25:25.228418,"(20.0, 28.0, 25.5)","(10.0, 22.0, 18.4)","(14.0, 21.0, 18.25)","(1.85, 2.14, 2.106153846153846)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 22.1)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:26.589624,"(20.0, 28.0, 25.5)","(10.0, 22.0, 13.428571428571429)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.6816326530612247)","(11.0, 23.0, 22.1)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:28.000683,"(20.0, 28.0, 25.5)","(10.0, 22.0, 13.5)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:29.294258,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:30.596657,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.106153846153846)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
09-01-2023 14:25:31.888309,"(20.0, 28.0, 25.5)","(10.0, 21.0, 13.0)","(14.0, 21.0, 18.25)","(1.85, 2.12, 2.1192307692307693)","(3.4, 4.1, 3.705769230769231)","(11.0, 23.0, 21.615384615384617)","(51.0, 220.0, 147.14285714285714)","(9.0, 24.0, 23.25)","(101.0, 220.0, 157.5)"
