,Another Chino,Cartanera,Dustys Got Talent,Kerman Rock,Blue Card,Shes Our Witness,Allegiance,Truevinsky,Comealilbitcloser,Idle Star,Masaru,Belafonte Boy,Paigeys Turn
07-12-2022 18:38:10.639427,"(7.5, 7.8, 7.703783783783783)","(2.1, 2.42, 2.409484536082474)","(31.0, 42.0, 41.679245283018865)","(26.0, 32.0, 30.5)","(21.0, 28.0, 27.78688524590164)","(12.0, 16.0, 15.764705882352942)","(26.0, 34.0, 33.8235294117647)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.146724890829694)","(41.0, 65.0, 61.666666666666664)","(31.0, 60.0, 59.642857142857146)","(71.0, 110.0, 108.66071428571428)","(17.0, 22.0, 21.405405405405407)"
07-12-2022 18:38:12.190979,"(7.5, 7.8, 7.674226804123711)","(2.1, 2.44, 2.4266666666666667)","(31.0, 42.0, 41.679245283018865)","(26.0, 32.0, 30.565217391304348)","(21.0, 28.0, 27.727272727272727)","(12.0, 16.0, 15.764705882352942)","(26.0, 34.0, 33.8125)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.123529411764706)","(41.0, 65.0, 57.5)","(31.0, 60.0, 59.642857142857146)","(71.0, 110.0, 108.42105263157895)","(17.0, 22.0, 21.45)"
07-12-2022 18:38:13.562786,"(7.5, 7.8, 7.7176470588235295)","(2.1, 2.42, 2.4167469879518073)","(31.0, 42.0, 41.679245283018865)","(26.0, 32.0, 30.565217391304348)","(21.0, 28.0, 27.727272727272727)","(12.0, 15.5, 15.448717948717949)","(26.0, 34.0, 33.8125)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.100303951367781)","(41.0, 65.0, 57.5)","(31.0, 65.0, 60.78947368421053)","(71.0, 110.0, 108.42105263157895)","(17.0, 22.0, 21.45)"
07-12-2022 18:38:14.904500,"(7.5, 7.8, 7.7176470588235295)","(2.1, 2.44, 2.4268512110726643)","(31.0, 42.0, 41.663366336633665)","(26.0, 32.0, 30.565217391304348)","(21.0, 28.0, 27.727272727272727)","(12.0, 16.0, 15.416666666666666)","(26.0, 34.0, 33.77777777777778)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.0984025559105435)","(41.0, 65.0, 57.5)","(31.0, 65.0, 61.458333333333336)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:16.210695,"(7.5, 7.8, 7.674594594594595)","(2.1, 2.44, 2.426175115207373)","(31.0, 42.0, 41.663366336633665)","(26.0, 32.0, 30.565217391304348)","(21.0, 28.0, 27.727272727272727)","(12.0, 16.0, 15.55813953488372)","(26.0, 34.0, 33.77777777777778)","(31.0, 60.0, 59.4)","(6.0, 6.2, 6.0984025559105435)","(41.0, 65.0, 60.38461538461539)","(31.0, 65.0, 62.7027027027027)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:17.557806,"(7.5, 7.8, 7.674594594594595)","(2.1, 2.44, 2.426175115207373)","(31.0, 42.0, 41.663366336633665)","(26.0, 32.0, 31.2)","(21.0, 28.0, 27.76)","(12.0, 16.0, 15.591836734693878)","(26.0, 34.0, 33.77777777777778)","(31.0, 60.0, 58.90625)","(6.0, 6.2, 6.096753246753247)","(41.0, 65.0, 61.12903225806451)","(31.0, 65.0, 62.7027027027027)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:18.895041,"(7.5, 7.6, 7.596969696969697)","(2.1, 2.44, 2.426842105263158)","(31.0, 42.0, 41.6822429906542)","(26.0, 32.0, 31.2)","(21.0, 28.0, 27.76)","(12.0, 16.0, 15.591836734693878)","(26.0, 34.0, 33.77777777777778)","(31.0, 60.0, 58.813559322033896)","(6.0, 6.2, 6.092198581560284)","(41.0, 65.0, 61.12903225806451)","(31.0, 65.0, 62.7027027027027)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:20.286828,"(7.5, 7.6, 7.59731543624161)","(2.1, 2.42, 2.4125373134328356)","(31.0, 42.0, 41.74242424242424)","(26.0, 32.0, 31.17241379310345)","(21.0, 28.0, 27.890625)","(12.0, 16.0, 15.813559322033898)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.813559322033896)","(6.0, 6.2, 6.092198581560284)","(41.0, 65.0, 61.12903225806451)","(31.0, 65.0, 62.7027027027027)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:21.768465,"(7.0, 7.6, 7.627777777777777)","(2.1, 2.42, 2.4042105263157896)","(31.0, 42.0, 41.74242424242424)","(26.0, 34.0, 31.0)","(21.0, 28.0, 27.890625)","(12.0, 16.0, 15.725)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.813559322033896)","(5.5, 6.2, 6.068965517241379)","(41.0, 65.0, 61.12903225806451)","(41.0, 65.0, 62.976190476190474)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
07-12-2022 18:38:23.086168,"(7.0, 7.8, 7.661176470588235)","(2.1, 2.42, 2.4004651162790696)","(31.0, 42.0, 41.76056338028169)","(26.0, 32.0, 31.375)","(21.0, 28.0, 27.890625)","(12.0, 16.0, 15.725)","(26.0, 34.0, 33.89090909090909)","(31.0, 60.0, 58.813559322033896)","(5.5, 6.2, 6.061302681992337)","(41.0, 65.0, 61.12903225806451)","(41.0, 65.0, 62.976190476190474)","(71.0, 110.0, 108.33333333333333)","(17.0, 22.0, 21.37142857142857)"
