,Manor Road,Norman,Springstreet Blues,Stable Talk,Lady Samurai,Sligo Queen,Aldane,Charge Extra,Marsh Lillie,Mullamaart,Spanish King,Tropic Sands,Turnaway
12-01-2023 13:25:13.987303,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 21.0, 18.75)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.2, 2.9833333333333334)","(20.0, 95.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.8, 4.325)"
12-01-2023 13:25:15.410283,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9833333333333334)","(20.0, 95.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:16.917230,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9833333333333334)","(20.0, 95.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:18.397370,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.7555555555555555)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9833333333333334)","(20.0, 95.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:19.989052,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9833333333333334)","(20.0, 95.0, 33.333333333333336)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 37.66666666666667)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:21.553553,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 80.0, 34.33333333333333)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:23.071439,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.8)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 25.666666666666664)","(18.0, 70.0, 40.75)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:24.640911,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 29.75)","(18.0, 65.0, 31.0)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:26.191137,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 29.75)","(18.0, 60.0, 35.75)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:27.757122,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 29.75)","(18.0, 55.0, 35.75)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:29.363189,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 29.75)","(18.0, 55.0, 35.75)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:30.986548,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.6, 4.7, 4.325)"
12-01-2023 13:25:32.418312,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.325)"
12-01-2023 13:25:33.822199,"(31.0, 170.0, 116.15384615384616)","(5.0, 6.8, 6.371428571428571)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.35)"
12-01-2023 13:25:35.239428,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.35)"
12-01-2023 13:25:36.937725,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.35)"
12-01-2023 13:25:38.390283,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.35)"
12-01-2023 13:25:39.985214,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.35)"
12-01-2023 13:25:41.511434,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:43.031115,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 39.5)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 35.66666666666667)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:44.437050,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 6.175000000000001)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 95.0, 44.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 75.0, 34.0)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:45.792524,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.0, 6.175000000000001)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 90.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 70.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:47.260574,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:48.662122,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 7.3)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:50.090687,"(31.0, 170.0, 116.15384615384616)","(5.0, 8.0, 6.85)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:51.623746,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 6.85)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:52.940394,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 6.85)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:54.609528,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 6.85)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 147.5)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:56.038086,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 6.85)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:57.614877,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.466666666666667)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:25:59.041083,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.466666666666667)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:26:00.482116,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.466666666666667)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:26:01.928717,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.466666666666667)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:26:03.892596,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.466666666666667)","(13.0, 20.0, 18.5)","(26.0, 95.0, 35.833333333333336)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 37.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 29.166666666666664)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 24.166666666666664)","(17.0, 42.0, 28.0)","(18.0, 55.0, 35.75)","(3.7, 4.7, 4.107692307692307)"
12-01-2023 13:26:05.468658,"(31.0, 170.0, 116.15384615384616)","(5.0, 7.8, 7.609523809523809)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 39.8)","(3.7, 4.7, 4.403846153846154)"
12-01-2023 13:26:07.001656,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.8, 7.618181818181818)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 39.8)","(3.7, 4.7, 4.403846153846154)"
12-01-2023 13:26:08.441621,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.8, 7.618181818181818)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 39.8)","(3.7, 4.7, 4.403846153846154)"
12-01-2023 13:26:09.787544,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.8, 7.618181818181818)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 39.8)","(3.7, 4.7, 4.473684210526315)"
12-01-2023 13:26:11.298957,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.8, 7.281481481481482)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 39.8)","(3.7, 4.6, 4.473684210526315)"
12-01-2023 13:26:12.815895,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.0, 6.664)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 55.0, 36.8)","(3.7, 4.6, 4.473684210526315)"
12-01-2023 13:26:14.296889,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.0, 6.664)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 50.0, 36.8)","(3.7, 4.6, 4.473684210526315)"
12-01-2023 13:26:15.686142,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.0, 6.664)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 50.0, 35.6)","(3.7, 4.6, 4.473684210526315)"
12-01-2023 13:26:17.026038,"(31.0, 170.0, 72.85714285714286)","(5.0, 7.0, 6.664)","(13.0, 20.0, 19.142857142857142)","(26.0, 95.0, 45.0)","(2.7, 3.15, 2.9555555555555553)","(20.0, 85.0, 53.0)","(101.0, 200.0, 173.33333333333334)","(17.0, 90.0, 49.44444444444444)","(71.0, 200.0, 106.66666666666666)","(16.0, 65.0, 36.42857142857143)","(17.0, 42.0, 32.2)","(18.0, 48.0, 35.6)","(3.7, 4.6, 4.473684210526315)"
