,Rhythmic Ruler,Emjay,Steinbeck,East Of India,Potential Grizzly,Math Man Marco,Pour Me A Double
15-12-2022 12:01:36.807603,"(8.0, 30.0, 19.375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.74, 2.705263157894737)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.0)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:38.010460,"(8.0, 30.0, 19.375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.730526315789474)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.0)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:39.081013,"(8.0, 30.0, 19.375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:40.039267,"(8.0, 30.0, 19.375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:41.050757,"(8.0, 30.0, 19.375)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:42.130244,"(8.0, 29.0, 22.6)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:43.295736,"(8.0, 29.0, 22.8)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:44.445146,"(8.0, 29.0, 22.8)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:45.540023,"(8.0, 29.0, 21.25)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:46.602856,"(8.0, 29.0, 21.25)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:47.644775,"(8.0, 29.0, 24.285714285714285)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:48.685104,"(8.0, 29.0, 21.0)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:49.651879,"(8.0, 29.0, 21.0)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:50.647288,"(8.0, 29.0, 21.0)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:51.637279,"(8.0, 29.0, 21.0)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:52.647870,"(8.0, 29.0, 21.0)","(6.5, 10.5, 10.228571428571428)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:53.752069,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:54.786146,"(8.0, 28.0, 23.166666666666664)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:55.778687,"(8.0, 28.0, 23.166666666666664)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 11.466666666666667)"
15-12-2022 12:01:56.751911,"(8.0, 28.0, 23.166666666666664)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:01:57.749905,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:01:58.780439,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:01:59.875036,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:02:00.972218,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.833333333333332)","(4.4, 4.9, 4.366666666666666)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:02:02.130137,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 24.0, 20.875)","(4.4, 4.9, 3.6333333333333333)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:02:03.187597,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.4)","(2.25, 2.8, 2.7333333333333334)","(8.0, 24.0, 19.833333333333336)","(10.0, 23.0, 20.875)","(4.4, 4.9, 3.6333333333333333)","(7.5, 12.5, 10.777777777777779)"
15-12-2022 12:02:04.170364,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.18)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:05.109998,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.694117647058824)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:06.127368,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 19.8)","(4.4, 4.9, 4.694117647058824)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:07.198366,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 19.8)","(4.4, 4.9, 4.220000000000001)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:08.317535,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 19.8)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:09.476846,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:10.610213,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:11.796571,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:12.893430,"(8.0, 28.0, 20.75)","(6.5, 10.0, 9.52)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:14.052925,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:15.103899,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:16.111074,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:17.043279,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.6937500000000005)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:18.013237,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:19.090322,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:20.227349,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:21.362184,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:22.518371,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:23.627776,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:24.695559,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.366666666666667)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:25.784758,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.3)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:26.851687,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.8, 2.74)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.3)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:27.951621,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.4)","(2.25, 2.78, 2.7514285714285713)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 3.7666666666666666)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:29.005627,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.55)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 3.7666666666666666)","(7.5, 12.5, 10.95)"
15-12-2022 12:02:30.004234,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.55)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 3.7666666666666666)","(7.5, 12.5, 10.844444444444445)"
15-12-2022 12:02:31.002465,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.55)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 3.7666666666666666)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:32.025624,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 3.7666666666666666)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:33.077382,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.6125)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:34.104787,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.6125)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:35.213500,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.316666666666666)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:36.295736,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 16.0)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.625)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:37.400074,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 14.4)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.55)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:38.555268,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 24.0, 14.4)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.181818181818182)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:39.748011,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 5.0, 4.181818181818182)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:40.922828,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 5.0, 4.181818181818182)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:42.103123,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 5.0, 4.5)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:43.260617,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.9, 4.5)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:44.409043,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.211764705882353)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:45.457706,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.211764705882353)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:46.440705,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.8, 4.211764705882353)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:47.520005,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.7, 4.25)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:48.609359,"(8.0, 28.0, 20.75)","(6.5, 9.8, 9.466666666666667)","(2.25, 2.78, 2.6866666666666665)","(8.0, 23.0, 15.666666666666666)","(10.0, 23.0, 17.666666666666668)","(4.4, 4.7, 4.25)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:49.759591,"(10.0, 28.0, 20.75)","(7.0, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(8.5, 23.0, 15.666666666666666)","(12.0, 23.0, 17.666666666666668)","(4.2, 4.7, 4.25)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:50.857643,"(10.0, 28.0, 20.75)","(7.0, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(8.5, 23.0, 15.666666666666666)","(12.0, 23.0, 17.666666666666668)","(4.2, 4.7, 4.25)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:51.962914,"(10.0, 28.0, 20.75)","(7.0, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(8.5, 23.0, 15.666666666666666)","(12.0, 23.0, 17.666666666666668)","(4.2, 4.7, 4.105)","(7.5, 12.0, 10.844444444444445)"
15-12-2022 12:02:52.982806,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.7, 4.105)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:54.086040,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.7, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:55.239830,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:56.385167,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:57.509843,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:58.712125,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:02:59.834105,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:03:01.024150,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.6866666666666665)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:03:02.167512,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.466666666666667)","(2.3, 2.78, 2.66)","(9.0, 23.0, 20.7)","(13.0, 23.0, 18.75)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.844444444444445)"
15-12-2022 12:03:03.330050,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.48)","(2.3, 2.78, 2.7486956521739128)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.8)"
15-12-2022 12:03:04.531056,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.48)","(2.3, 2.78, 2.7628571428571425)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.8)"
15-12-2022 12:03:05.784034,"(11.0, 28.0, 20.75)","(7.5, 9.8, 9.48)","(2.3, 2.78, 2.7628571428571425)","(9.0, 23.0, 15.666666666666666)","(13.0, 23.0, 17.666666666666668)","(4.0, 4.6, 4.171428571428572)","(8.0, 12.0, 10.8)"
