,Spotlight,Aldebaran Gwen,This Quaker,My High Peak,Little Tedey,Bellmac Bambi,Regency,Majestic Achiever Nz
07-12-2022 17:44:38.705181,"(3.9, 5.9, 5.640740740740741)","(16.0, 30.0, 27.25)","(41.0, 130.0, 106.66666666666667)","(5.0, 6.0, 5.550000000000001)","(26.0, 46.0, 33.64705882352941)","(41.0, 50.0, 44.905660377358494)","(1.65, 1.9, 1.9004545454545454)","(41.0, 99999, 99990)"
07-12-2022 17:44:39.830390,"(3.9, 5.9, 5.6066666666666665)","(16.0, 29.0, 26.2)","(41.0, 120.0, 106.66666666666667)","(5.0, 5.9, 5.550000000000001)","(26.0, 46.0, 33.64705882352941)","(41.0, 50.0, 44.905660377358494)","(1.65, 1.91, 1.9004545454545454)","(41.0, 99999, 99990)"
07-12-2022 17:44:40.976968,"(3.9, 5.9, 5.68)","(16.0, 29.0, 26.2)","(41.0, 120.0, 102.85714285714286)","(5.0, 5.9, 5.352173913043478)","(26.0, 46.0, 32.875)","(41.0, 50.0, 44.905660377358494)","(1.65, 1.9, 1.8845833333333333)","(41.0, 99999, 99990)"
07-12-2022 17:44:42.122716,"(3.9, 5.9, 5.68)","(16.0, 29.0, 26.2)","(41.0, 120.0, 102.85714285714286)","(5.0, 5.9, 5.352173913043478)","(26.0, 46.0, 32.875)","(41.0, 50.0, 44.905660377358494)","(1.65, 1.9, 1.8845833333333333)","(41.0, 99999, 99990)"
07-12-2022 17:44:43.416494,"(3.9, 5.9, 5.68)","(16.0, 27.0, 26.625)","(41.0, 120.0, 102.85714285714286)","(5.0, 5.9, 5.433333333333334)","(26.0, 46.0, 34.0)","(41.0, 50.0, 44.80769230769231)","(1.65, 1.9, 1.88)","(31.0, 99999, 99990)"
07-12-2022 17:44:44.633652,"(3.9, 5.6, 5.566666666666666)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(5.0, 5.9, 5.76)","(26.0, 46.0, 38.46153846153846)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.9, 1.8827272727272728)","(31.0, 99999, 99990)"
07-12-2022 17:44:45.847159,"(3.9, 5.6, 5.622727272727273)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.8, 5.709090909090909)","(26.0, 46.0, 40.666666666666664)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.89, 1.8811475409836065)","(31.0, 99999, 99990)"
07-12-2022 17:44:46.942675,"(3.9, 5.8, 5.622727272727273)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(4.8, 5.8, 5.709090909090909)","(26.0, 44.0, 40.666666666666664)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.89, 1.9047916666666667)","(31.0, 99999, 99990)"
07-12-2022 17:44:48.183428,"(3.9, 5.8, 5.658823529411765)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(4.8, 6.0, 5.678378378378378)","(26.0, 44.0, 40.25)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.91, 1.9078260869565216)","(31.0, 99999, 99990)"
07-12-2022 17:44:49.322377,"(3.9, 5.8, 5.658823529411765)","(16.0, 27.0, 26.333333333333332)","(41.0, 120.0, 106.66666666666667)","(4.8, 6.0, 5.611111111111111)","(26.0, 42.0, 34.57142857142857)","(41.0, 50.0, 44.79245283018868)","(1.65, 1.91, 1.9074193548387095)","(31.0, 99999, 99990)"
