,Fast Foils,Four Outlaws,Badonkidonk,Fifth Husband,Bossy Britches,West Cliff,Red Hot Chillypins,Denominator,Haleakala
04-01-2023 14:34:20.385218,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.4, 2.351111111111111)","(12.0, 23.0, 20.46153846153846)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 115.71428571428572)"
04-01-2023 14:34:21.778310,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.8428571428571425)","(2.15, 2.4, 2.351111111111111)","(12.0, 23.0, 21.4375)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.59)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:23.223716,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.875)","(2.15, 2.4, 2.351111111111111)","(12.0, 22.0, 21.4375)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.68)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:24.624500,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.875)","(2.15, 2.4, 2.351111111111111)","(12.0, 22.0, 21.4375)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.0, 9.799999999999999)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:26.025735,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.875)","(2.15, 2.4, 2.351111111111111)","(12.0, 22.0, 21.4375)","(6.0, 9.2, 8.866666666666665)","(7.5, 11.0, 9.98)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:27.329085,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.875)","(2.15, 2.4, 2.351111111111111)","(12.0, 22.0, 18.25)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.757142857142856)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:28.627098,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.9923913043478256)","(2.15, 2.4, 2.351111111111111)","(12.0, 22.0, 20.5)","(6.0, 9.2, 8.866666666666665)","(7.5, 10.5, 9.757142857142856)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 130.0)"
04-01-2023 14:34:29.953049,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.9923913043478256)","(2.15, 2.4, 2.3711475409836065)","(12.0, 22.0, 21.0625)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.5, 9.964705882352941)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:31.327234,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.7615384615384615)","(2.15, 2.38, 2.3711475409836065)","(12.0, 22.0, 19.666666666666668)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.5, 9.866666666666667)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
04-01-2023 14:34:32.615514,"(31.0, 50.0, 47.333333333333336)","(2.9, 4.1, 3.7615384615384615)","(2.15, 2.38, 2.3711475409836065)","(12.0, 22.0, 19.666666666666668)","(6.0, 9.2, 8.977777777777778)","(7.5, 10.0, 9.866666666666667)","(21.0, 42.0, 35.333333333333336)","(101.0, 260.0, 193.33333333333334)","(101.0, 180.0, 109.16666666666667)"
