,Willina Girl,Mrs Halo,Pay Roll,Cosmic Belle,Style Sensation,Tralee Revenge
11-01-2023 09:26:21.468878,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:22.784990,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:23.861838,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:24.955131,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:26.074854,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:27.145180,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:28.232837,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:29.267356,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:30.333055,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:31.371080,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:32.456742,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:33.467944,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:34.558728,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:35.614041,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:36.687932,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:37.769455,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:38.764605,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:39.796850,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:40.953983,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:42.025316,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:43.123435,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:44.328578,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:45.469234,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:46.629808,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:47.776624,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:48.749411,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:49.876269,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:50.863257,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:51.918549,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:52.995366,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:53.972226,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:54.983484,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:56.032547,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:57.015924,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:58.070060,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:26:59.110527,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:00.123036,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:01.099335,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:02.195229,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:03.201244,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:04.199057,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:05.196311,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:06.177292,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:07.151937,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:08.333288,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:09.440296,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:10.528987,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:11.522858,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:12.607078,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:13.629454,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:14.598906,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:15.502567,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:16.400948,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:17.313089,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:18.270116,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:19.227875,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:20.171041,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:21.081934,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:21.957851,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:22.881845,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:23.884098,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:24.859810,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:25.870387,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:26.805958,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:27.742878,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:28.700670,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:29.664854,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:30.560421,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:31.425887,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
11-01-2023 09:27:32.348388,"(19.0, 240.0, 231.5)","(18.0, 230.0, 222.42857142857142)","(13.0, 160.0, 156.23076923076923)","(4.8, 19.5, 18.135915492957746)","(1.95, 3.05, 3.0056)","(2.7, 8.0, 5.023606557377049)"
