,Cellar Champ,Spitfire,Testing The Cugat,Andros,Magnolia Lass,Miss Athena,More Like That,White Glove Test,Exit To Eden
10-01-2023 13:05:31.399644,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 13.153846153846153)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:32.605204,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 13.153846153846153)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 13.09375)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:33.794359,"(21.0, 29.0, 25.470588235294116)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.6875)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 14.5, 12.65625)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:35.074299,"(21.0, 28.0, 25.4)","(1.65, 1.8, 1.7823166023166024)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.466666666666667)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.375)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:36.309367,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.78, 1.7665671641791045)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.466666666666667)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:37.535092,"(21.0, 28.0, 25.4)","(1.65, 1.78, 1.7668613138686131)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.466666666666667)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 101.42857142857143)"
10-01-2023 13:05:38.830546,"(21.0, 28.0, 25.4)","(1.65, 1.78, 1.7668613138686131)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:40.034091,"(21.0, 28.0, 25.4)","(1.65, 1.78, 1.7718181818181817)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:41.242596,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 13.071428571428571)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:42.413682,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 13.5, 12.875)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:43.600167,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 12.875)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:44.784127,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:45.926587,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 158.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 157.5)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 134.54545454545453)"
10-01-2023 13:05:47.063832,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 113.75)"
10-01-2023 13:05:48.219106,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.25)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 113.75)"
10-01-2023 13:05:49.377852,"(21.0, 28.0, 25.4)","(1.65, 1.76, 1.7500446428571428)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.25)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 113.75)"
10-01-2023 13:05:50.533415,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.78, 1.7254545454545454)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 105.71428571428571)"
10-01-2023 13:05:51.721766,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.78, 1.7345454545454546)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 105.71428571428571)"
10-01-2023 13:05:52.885817,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.78, 1.7345454545454546)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:54.032448,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.78, 1.7345454545454546)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 13.7)","(71.0, 220.0, 181.25)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:55.196151,"(21.0, 28.0, 25.333333333333332)","(1.65, 1.73, 1.7223684210526315)","(8.5, 12.0, 11.444444444444445)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 178.33333333333331)","(9.0, 13.5, 12.088235294117647)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:56.403766,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.727027027027027)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.5636363636363635)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:57.655290,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7342056074766354)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:05:59.021438,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.466666666666667)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:00.233997,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.466666666666667)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:01.468197,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 177.14285714285714)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:02.688495,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 162.0)","(4.8, 8.0, 7.333333333333333)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:03.869703,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 162.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:05.148927,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 162.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 140.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.0)"
10-01-2023 13:06:06.303532,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 220.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 220.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 200.0, 110.83333333333333)"
10-01-2023 13:06:07.508156,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 190.0, 137.5)"
10-01-2023 13:06:08.707265,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:09.932341,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:11.126537,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:12.245574,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.542857142857143)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:13.381370,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.290566037735849)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:14.618192,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.29795918367347)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:15.799501,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7342056074766354)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.29795918367347)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:16.969753,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.29795918367347)","(101.0, 210.0, 136.66666666666666)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:18.249365,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.29795918367347)","(101.0, 210.0, 155.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:19.419731,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 210.0, 155.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:20.593706,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 210.0, 155.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:21.840697,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 156.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 210.0, 155.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 137.5)"
10-01-2023 13:06:23.095078,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.545454545454545)","(7.0, 14.5, 12.5)","(71.0, 210.0, 150.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 210.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 180.0, 132.5)"
10-01-2023 13:06:24.303038,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 170.0, 116.42857142857143)"
10-01-2023 13:06:25.526863,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.350943396226415)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 170.0, 116.42857142857143)"
10-01-2023 13:06:26.784679,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.513207547169811)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 170.0, 116.42857142857143)"
10-01-2023 13:06:27.996005,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.513207547169811)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 170.0, 116.42857142857143)"
10-01-2023 13:06:29.257068,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.496428571428572)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 170.0, 127.5)"
10-01-2023 13:06:30.489099,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.510204081632653)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 113.57142857142857)"
10-01-2023 13:06:31.654450,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.5)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.510204081632653)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 113.57142857142857)"
10-01-2023 13:06:32.914548,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 13.166666666666666)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 127.5)"
10-01-2023 13:06:34.203130,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 13.576923076923077)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 127.5)"
10-01-2023 13:06:35.500223,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 13.166666666666666)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 150.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 127.5)"
10-01-2023 13:06:36.746118,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.214285714285714)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 133.33333333333334)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 127.5)"
10-01-2023 13:06:37.954613,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.214285714285714)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 133.33333333333334)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 120.0)"
10-01-2023 13:06:39.171452,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.214285714285714)","(71.0, 200.0, 150.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 133.33333333333334)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 120.0)"
10-01-2023 13:06:40.493617,"(21.0, 28.0, 25.5625)","(1.65, 1.78, 1.7426666666666666)","(8.5, 12.0, 11.857142857142858)","(7.0, 14.5, 12.214285714285714)","(71.0, 200.0, 144.0)","(4.8, 8.0, 7.454545454545455)","(101.0, 200.0, 130.0)","(9.0, 13.5, 12.115384615384615)","(101.0, 160.0, 120.0)"
