,Verbalizer,Call Me Mo,Bonython,On The Tiles,Ma Mas Rose,Mt Peter Miss,Gaius Julius,Sizzling Sun
08-12-2022 15:51:15.291373,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:16.650900,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 62.5)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:18.007981,"(10.0, 17.0, 16.5)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 75.0, 48.44444444444444)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:19.305800,"(10.0, 17.0, 15.5)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.753846153846154)","(15.0, 29.0, 23.0)","(21.0, 50.0, 48.44444444444444)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:20.600688,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:22.076832,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:23.476203,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:24.924033,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.885)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:26.289144,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.9148571428571426)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:27.683724,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.9148571428571426)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.822222222222222)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:29.305957,"(10.0, 17.0, 15.0)","(2.6, 2.94, 2.9104)","(2.6, 2.88, 2.835)","(5.5, 8.6, 7.8)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:30.891808,"(10.0, 17.0, 15.0)","(2.6, 2.92, 2.76099173553719)","(2.6, 2.88, 2.835)","(5.5, 8.4, 7.8)","(15.0, 29.0, 23.0)","(21.0, 75.0, 51.857142857142854)","(10.0, 19.0, 16.363636363636363)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:32.325842,"(10.0, 17.0, 15.0)","(2.6, 2.88, 2.76099173553719)","(2.6, 2.88, 2.855)","(5.5, 8.4, 7.8)","(15.0, 29.0, 23.0)","(21.0, 75.0, 48.42857142857143)","(10.0, 19.0, 16.59259259259259)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:33.724530,"(10.0, 17.0, 15.0)","(2.6, 2.88, 2.786796116504854)","(2.6, 2.88, 2.852289156626506)","(5.5, 8.4, 8.25)","(15.0, 29.0, 25.88888888888889)","(21.0, 75.0, 56.4)","(10.0, 19.0, 17.23170731707317)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:35.152662,"(10.0, 17.0, 16.625)","(2.6, 2.88, 2.786796116504854)","(2.6, 2.86, 2.852289156626506)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.129032258064516)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:36.513841,"(10.0, 17.0, 15.75)","(2.6, 2.86, 2.8344086021505377)","(2.6, 2.88, 2.86)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.142857142857142)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:37.812422,"(10.0, 17.0, 15.75)","(2.6, 2.86, 2.7526315789473688)","(2.6, 2.88, 2.86)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.142857142857142)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:39.142785,"(10.0, 17.0, 15.75)","(2.6, 2.86, 2.7526315789473688)","(2.6, 2.88, 2.855)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.142857142857142)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:40.490907,"(10.0, 17.0, 15.75)","(2.6, 2.86, 2.7526315789473688)","(2.6, 2.88, 2.86)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.142857142857142)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:41.927885,"(10.0, 17.0, 16.285714285714285)","(2.6, 2.86, 2.7526315789473688)","(2.6, 2.88, 2.86)","(5.5, 8.4, 7.8)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.142857142857142)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:43.374110,"(10.0, 17.0, 16.285714285714285)","(2.6, 2.86, 2.835384615384615)","(2.6, 2.88, 2.876153846153846)","(5.5, 8.4, 8.145454545454545)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:44.752437,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.814782608695652)","(2.6, 2.88, 2.855)","(5.5, 8.8, 8.594285714285714)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:46.159516,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.811627906976744)","(2.6, 2.88, 2.86)","(5.5, 8.8, 8.575000000000001)","(15.0, 29.0, 27.666666666666668)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:47.574214,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.811627906976744)","(2.6, 2.88, 2.876153846153846)","(5.5, 8.8, 7.9)","(15.0, 29.0, 26.11111111111111)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:49.074539,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.811627906976744)","(2.6, 2.88, 2.855)","(5.5, 8.8, 7.9)","(15.0, 30.0, 26.11111111111111)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:50.539190,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.8263157894736843)","(2.6, 2.88, 2.855)","(5.5, 8.8, 7.9)","(15.0, 30.0, 26.11111111111111)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:52.112253,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.82)","(2.6, 2.88, 2.6656544502617803)","(5.5, 8.8, 7.942857142857143)","(15.0, 30.0, 26.11111111111111)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:53.685853,"(10.0, 17.0, 16.0)","(2.6, 2.86, 2.836)","(2.6, 2.78, 2.656390243902439)","(5.5, 8.8, 7.9)","(15.0, 30.0, 29.0625)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:55.043820,"(10.0, 17.0, 16.5)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6603636363636363)","(5.5, 8.8, 8.575000000000001)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:56.241844,"(10.0, 17.0, 16.8)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6603636363636363)","(5.5, 8.8, 8.575000000000001)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:57.476874,"(10.0, 17.0, 16.75)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6603636363636363)","(5.5, 8.8, 8.05)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:58.684447,"(10.0, 17.0, 16.0)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6603636363636363)","(5.5, 8.8, 8.05)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:51:59.918367,"(10.0, 17.0, 16.5)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6603636363636363)","(5.5, 8.8, 8.05)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:52:01.060920,"(10.0, 17.0, 16.5)","(2.6, 2.92, 2.836)","(2.6, 2.78, 2.6641726618705035)","(5.5, 8.8, 8.338461538461539)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:52:02.252996,"(10.0, 17.0, 16.8)","(2.6, 2.92, 2.864)","(2.6, 2.72, 2.653812949640288)","(5.5, 8.8, 8.338461538461539)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:52:03.536485,"(10.0, 17.0, 16.25)","(2.6, 2.92, 2.864)","(2.6, 2.72, 2.6542222222222223)","(5.5, 8.8, 8.642105263157895)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:52:04.882578,"(10.0, 17.0, 16.25)","(2.6, 2.92, 2.7333333333333334)","(2.6, 2.72, 2.71)","(5.5, 8.8, 8.6125)","(15.0, 30.0, 28.125)","(21.0, 75.0, 61.714285714285715)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 205.0)"
08-12-2022 15:52:06.201367,"(10.0, 17.0, 16.25)","(2.6, 2.92, 2.8485714285714288)","(2.6, 2.86, 2.743333333333333)","(5.5, 8.8, 8.05)","(15.0, 30.0, 27.083333333333332)","(21.0, 75.0, 64.125)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 263.33333333333337)"
08-12-2022 15:52:07.386085,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.8485714285714288)","(2.6, 2.86, 2.743333333333333)","(5.5, 8.8, 8.05)","(15.0, 30.0, 27.941176470588236)","(21.0, 75.0, 57.0)","(10.0, 19.0, 17.607142857142858)","(101.0, 290.0, 190.0)"
08-12-2022 15:52:08.642861,"(10.0, 17.0, 16.6)","(2.6, 2.9, 2.782105263157895)","(2.6, 2.84, 2.7466666666666666)","(5.5, 8.8, 8.414285714285715)","(15.0, 30.0, 28.352941176470587)","(21.0, 75.0, 57.0)","(10.0, 19.0, 17.55)","(101.0, 290.0, 190.0)"
08-12-2022 15:52:09.841849,"(10.0, 17.0, 16.6)","(2.6, 2.9, 2.782105263157895)","(2.6, 2.84, 2.745)","(5.5, 8.8, 8.414285714285715)","(15.0, 30.0, 29.076923076923077)","(21.0, 75.0, 46.714285714285715)","(10.0, 19.0, 17.7)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:11.051643,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.7673684210526317)","(2.6, 2.82, 2.7266666666666666)","(5.5, 8.8, 8.414285714285715)","(15.0, 30.0, 27.0)","(21.0, 75.0, 54.0)","(10.0, 18.5, 17.625)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:12.276444,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.7673684210526317)","(2.6, 2.82, 2.7266666666666666)","(5.5, 8.8, 8.414285714285715)","(15.0, 30.0, 27.666666666666668)","(21.0, 75.0, 67.45454545454545)","(10.0, 18.5, 17.52542372881356)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:13.558144,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.8485714285714288)","(2.6, 2.82, 2.7844444444444445)","(5.5, 8.8, 8.414285714285715)","(15.0, 29.0, 27.666666666666668)","(21.0, 70.0, 67.45454545454545)","(10.0, 19.0, 17.52542372881356)","(101.0, 290.0, 265.38461538461536)"
08-12-2022 15:52:14.827957,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.8485714285714288)","(2.6, 2.82, 2.72)","(5.5, 8.8, 8.414285714285715)","(15.0, 29.0, 27.666666666666668)","(21.0, 70.0, 67.45454545454545)","(10.0, 19.0, 17.52542372881356)","(101.0, 290.0, 190.0)"
08-12-2022 15:52:16.008174,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.8485714285714288)","(2.6, 2.82, 2.72)","(5.5, 8.8, 8.414285714285715)","(15.0, 29.0, 27.666666666666668)","(21.0, 70.0, 67.63636363636364)","(10.0, 19.0, 17.52542372881356)","(101.0, 290.0, 190.0)"
08-12-2022 15:52:17.106125,"(10.0, 17.0, 16.25)","(2.6, 2.9, 2.8485714285714288)","(2.6, 2.82, 2.7422222222222223)","(5.5, 8.8, 8.576470588235294)","(15.0, 29.0, 27.625)","(21.0, 70.0, 61.5)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 190.0)"
08-12-2022 15:52:18.259911,"(10.0, 23.0, 22.375)","(2.6, 2.98, 2.751707317073171)","(2.6, 2.82, 2.7474999999999996)","(5.5, 9.0, 8.576470588235294)","(15.0, 32.0, 27.625)","(21.0, 75.0, 71.14285714285714)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 265.0)"
08-12-2022 15:52:19.440448,"(10.0, 23.0, 20.65625)","(2.6, 2.98, 2.81)","(2.6, 2.76, 2.748571428571428)","(5.5, 9.0, 8.576470588235294)","(15.0, 32.0, 27.625)","(21.0, 75.0, 72.3)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 270.0)"
08-12-2022 15:52:20.619798,"(10.0, 23.0, 20.65625)","(2.6, 2.96, 2.81)","(2.6, 2.76, 2.748571428571428)","(5.5, 9.0, 8.576470588235294)","(15.0, 32.0, 27.625)","(21.0, 75.0, 71.875)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 196.66666666666666)"
08-12-2022 15:52:21.733344,"(10.0, 23.0, 20.65625)","(2.6, 2.96, 2.8000000000000003)","(2.6, 2.76, 2.6999999999999997)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 70.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 196.66666666666666)"
08-12-2022 15:52:22.816625,"(10.0, 23.0, 20.65625)","(2.6, 2.96, 2.774736842105263)","(2.6, 2.76, 2.6959999999999997)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 196.66666666666666)"
08-12-2022 15:52:23.993618,"(10.0, 23.0, 20.65625)","(2.6, 2.96, 2.797037037037037)","(2.6, 2.76, 2.7066666666666666)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 268.46153846153845)"
08-12-2022 15:52:25.208450,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.832)","(2.6, 2.76, 2.7066666666666666)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 203.33333333333334)"
08-12-2022 15:52:26.360493,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7486486486486483)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 203.33333333333334)"
08-12-2022 15:52:27.525683,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7486486486486483)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 203.33333333333334)"
08-12-2022 15:52:28.685541,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7540845070422533)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 203.33333333333334)"
08-12-2022 15:52:29.829352,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7540845070422533)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 272.66666666666663)"
08-12-2022 15:52:30.902729,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7497560975609754)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 278.1818181818182)"
08-12-2022 15:52:32.019231,"(10.0, 23.0, 20.65625)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7218181818181817)","(5.5, 9.0, 8.6)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 268.33333333333337)"
08-12-2022 15:52:33.249568,"(10.0, 23.0, 20.32142857142857)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.662)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 268.33333333333337)"
08-12-2022 15:52:34.425007,"(10.0, 23.0, 19.25)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.662)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.59090909090909)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:35.516221,"(10.0, 23.0, 19.25)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.662)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 18.5, 17.59090909090909)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:36.855901,"(10.0, 23.0, 19.25)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.662)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 18.5, 17.59090909090909)","(101.0, 290.0, 183.33333333333334)"
08-12-2022 15:52:37.989874,"(10.0, 21.0, 19.428571428571427)","(2.6, 2.94, 2.8628571428571425)","(2.6, 2.76, 2.7282352941176473)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 18.5, 17.532608695652176)","(101.0, 290.0, 250.0)"
08-12-2022 15:52:39.241900,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.7291891891891895)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 250.0)"
08-12-2022 15:52:40.405826,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.7291891891891895)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 215.0)"
08-12-2022 15:52:41.572048,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.7291891891891895)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 247.14285714285714)"
08-12-2022 15:52:42.752385,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.682857142857143)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 247.14285714285714)"
08-12-2022 15:52:44.046423,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.682857142857143)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 240.0)"
08-12-2022 15:52:45.280380,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.730588235294118)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 240.0)"
08-12-2022 15:52:46.507476,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.730588235294118)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 240.0)"
08-12-2022 15:52:47.748530,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.7350000000000003)","(5.5, 9.0, 8.485714285714286)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 240.0)"
08-12-2022 15:52:48.908678,"(10.0, 21.0, 17.791666666666668)","(2.6, 2.9, 2.786046511627907)","(2.6, 2.74, 2.7350000000000003)","(5.5, 9.0, 8.257142857142856)","(15.0, 32.0, 27.625)","(21.0, 75.0, 65.0)","(10.0, 19.0, 17.532608695652176)","(101.0, 290.0, 240.0)"
