,Smash Devil,Zipping Chassis,Know Account,Opawa Duchess,Silky Adobe,Go Ivy,Goldstar Austin,Know Grizzles
06-01-2023 09:08:06.842282,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:07.864287,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:08.881537,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:09.945069,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:11.028157,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:12.095142,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:13.145358,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:14.175323,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:15.177022,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:16.196326,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:17.208194,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:18.295449,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:19.405662,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:20.552557,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:21.669460,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:22.732391,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:23.820987,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:24.899035,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:25.971430,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:27.027657,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:28.106947,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:29.191941,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:30.247681,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:31.360021,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:32.427927,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:33.452871,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:34.479829,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:35.516996,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:36.615576,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:37.661081,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:38.744025,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:39.799566,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:40.878467,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:41.957523,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:43.074454,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:44.160049,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:45.238366,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:46.279747,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:47.336407,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:48.379638,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:49.430330,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:50.525172,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:51.563471,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:52.622411,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:53.621305,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:54.601427,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:55.576508,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:56.566188,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:57.569248,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:58.584743,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:08:59.609256,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:00.667521,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:01.709499,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:02.759575,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:03.817353,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:04.841931,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:05.883220,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:06.901215,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:07.966126,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:08.969257,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:09.992787,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:11.013951,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:12.034078,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:13.077226,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:14.137378,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:15.265946,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:16.280756,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:17.343959,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:18.367984,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:19.434330,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
06-01-2023 09:09:20.524998,"(18.0, 210.0, 102.5)","(2.0, 3.65, 2.821186440677966)","(10.0, 44.0, 30.692307692307693)","(6.0, 21.0, 17.98076923076923)","(8.5, 34.0, 26.5)","(9.0, 38.0, 28.133333333333333)","(6.5, 25.0, 20.56818181818182)","(9.0, 44.0, 32.13333333333333)"
