,Essential Three,Furiosa,Swinging George,Feelin Flirty,Rolled In Gold,Beau Hart,Barroom Blitz,Imajiva
08-12-2022 12:32:42.962852,"(31.0, 70.0, 60.66666666666667)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.142857142857142)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 366.3636363636364)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 25.583333333333336)"
08-12-2022 12:32:44.082092,"(31.0, 70.0, 65.66666666666666)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.142857142857142)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 345.0)","(6.0, 9.2, 7.824999999999999)","(18.0, 27.0, 25.583333333333336)"
08-12-2022 12:32:45.162898,"(31.0, 70.0, 67.63636363636364)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.142857142857142)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 345.0)","(6.0, 9.2, 8.2)","(18.0, 27.0, 25.583333333333336)"
08-12-2022 12:32:46.268532,"(31.0, 70.0, 67.63636363636364)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 345.0)","(6.0, 9.0, 8.2)","(18.0, 27.0, 24.0)"
08-12-2022 12:32:47.327392,"(31.0, 70.0, 65.66666666666666)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 17.125)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 345.0)","(6.0, 9.0, 8.2)","(18.0, 27.0, 24.0)"
08-12-2022 12:32:48.383970,"(31.0, 70.0, 60.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 363.0)","(6.0, 9.0, 8.2)","(18.0, 27.0, 24.0)"
08-12-2022 12:32:49.445982,"(31.0, 70.0, 60.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 336.0)","(6.0, 9.0, 8.2)","(18.0, 27.0, 25.583333333333336)"
08-12-2022 12:32:50.518146,"(31.0, 70.0, 65.33333333333334)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.066666666666667)","(10.0, 19.0, 16.4)","(1.5, 1.85, 1.7858333333333334)","(101.0, 390.0, 322.5)","(6.0, 9.0, 8.2)","(18.0, 27.0, 25.583333333333336)"
08-12-2022 12:32:51.578342,"(31.0, 70.0, 65.33333333333334)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.85, 1.7722222222222221)","(101.0, 390.0, 327.5)","(6.0, 9.0, 8.2)","(18.0, 27.0, 21.0)"
08-12-2022 12:32:52.621401,"(31.0, 70.0, 60.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.85, 1.7722222222222221)","(101.0, 390.0, 327.5)","(6.0, 9.4, 8.2)","(18.0, 27.0, 21.0)"
08-12-2022 12:32:53.668498,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.85, 1.7722222222222221)","(101.0, 390.0, 327.5)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.8)"
08-12-2022 12:32:54.641549,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.85, 1.7722222222222221)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.8)"
08-12-2022 12:32:55.608935,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 17.923076923076923)","(1.5, 1.85, 1.7722222222222221)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 23.8)"
08-12-2022 12:32:56.591247,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 17.923076923076923)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 21.0)"
08-12-2022 12:32:57.629650,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 27.0, 20.666666666666668)"
08-12-2022 12:32:58.695456,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.1)","(18.0, 27.0, 25.53846153846154)"
08-12-2022 12:32:59.773542,"(31.0, 70.0, 58.8)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 27.0, 26.17391304347826)"
08-12-2022 12:33:00.956863,"(31.0, 70.0, 58.8)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 27.0, 26.17391304347826)"
08-12-2022 12:33:02.069253,"(31.0, 70.0, 58.8)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 27.0, 23.75)"
08-12-2022 12:33:03.167638,"(31.0, 70.0, 58.8)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 29.0, 24.166666666666668)"
08-12-2022 12:33:04.214245,"(31.0, 70.0, 58.8)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.32)","(18.0, 27.0, 22.25)"
08-12-2022 12:33:05.279806,"(31.0, 70.0, 50.0)","(8.5, 14.5, 12.4)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:06.289537,"(31.0, 70.0, 58.8)","(8.5, 14.0, 12.333333333333334)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:07.372536,"(31.0, 70.0, 58.8)","(8.5, 14.0, 12.333333333333334)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:08.353687,"(31.0, 70.0, 58.8)","(8.5, 14.0, 12.333333333333334)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:09.370110,"(31.0, 70.0, 58.8)","(8.5, 14.0, 12.333333333333334)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:10.344653,"(31.0, 70.0, 58.8)","(8.5, 14.0, 12.333333333333334)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:11.331889,"(31.0, 70.0, 65.66666666666666)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.84, 1.78)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:12.324476,"(31.0, 70.0, 65.66666666666666)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:13.379716,"(31.0, 70.0, 65.66666666666666)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:14.404764,"(31.0, 70.0, 48.666666666666664)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:15.455670,"(31.0, 70.0, 48.666666666666664)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:16.485664,"(31.0, 70.0, 60.0)","(8.5, 13.5, 12.7)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:17.515153,"(31.0, 70.0, 60.0)","(8.5, 13.0, 12.25)","(6.0, 8.4, 7.4)","(10.0, 19.0, 17.923076923076923)","(1.5, 1.87, 1.7766666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.2, 8.32)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:18.532755,"(31.0, 70.0, 60.0)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 17.923076923076923)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:19.513084,"(31.0, 70.0, 48.666666666666664)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 17.923076923076923)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 336.0)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:20.542553,"(31.0, 70.0, 65.07692307692308)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 346.6666666666667)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:21.562055,"(31.0, 70.0, 60.0)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 346.6666666666667)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:22.653728,"(31.0, 70.0, 60.0)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 14.333333333333334)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 346.6666666666667)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:23.691810,"(31.0, 70.0, 60.0)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.4)","(10.0, 19.0, 16.833333333333332)","(1.5, 1.86, 1.7866666666666666)","(101.0, 390.0, 346.6666666666667)","(6.0, 9.4, 8.2)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:24.738823,"(31.0, 70.0, 60.0)","(8.5, 13.0, 11.666666666666666)","(6.0, 8.4, 7.733333333333333)","(10.0, 18.5, 16.5)","(1.5, 1.86, 1.8233333333333335)","(101.0, 390.0, 346.6666666666667)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:25.805671,"(31.0, 70.0, 65.33333333333334)","(8.5, 13.0, 11.666666666666666)","(6.5, 8.4, 7.733333333333333)","(10.0, 18.5, 14.166666666666666)","(1.5, 1.86, 1.8408695652173914)","(101.0, 390.0, 346.6666666666667)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:27.335369,"(31.0, 65.0, 61.16666666666667)","(8.5, 13.0, 11.666666666666666)","(6.5, 8.4, 8.0)","(10.0, 18.0, 16.166666666666668)","(1.5, 1.86, 1.8408695652173914)","(101.0, 390.0, 346.6666666666667)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:28.424909,"(31.0, 65.0, 61.16666666666667)","(8.5, 13.0, 11.666666666666666)","(6.5, 8.4, 8.0)","(10.0, 18.0, 16.166666666666668)","(1.5, 1.86, 1.8408695652173914)","(101.0, 390.0, 346.6666666666667)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:29.587945,"(31.0, 65.0, 48.333333333333336)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 7.9)","(10.0, 18.0, 16.166666666666668)","(1.5, 1.86, 1.8285714285714287)","(101.0, 390.0, 336.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:30.817291,"(31.0, 65.0, 57.333333333333336)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 7.9)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.8285714285714287)","(101.0, 390.0, 360.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:32.175909,"(31.0, 65.0, 51.2)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 8.0)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.8285714285714287)","(101.0, 390.0, 340.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:33.413779,"(31.0, 60.0, 54.0)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 8.0)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.7933333333333334)","(101.0, 390.0, 340.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:34.690949,"(31.0, 55.0, 50.0)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 8.0)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.7933333333333334)","(101.0, 390.0, 340.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:36.029507,"(31.0, 55.0, 50.0)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 8.0)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.7933333333333334)","(101.0, 390.0, 338.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:37.445536,"(31.0, 55.0, 52.83333333333333)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 7.8)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.7933333333333334)","(101.0, 390.0, 338.0)","(6.0, 8.2, 7.3999999999999995)","(18.0, 26.0, 22.25)"
08-12-2022 12:33:38.658070,"(31.0, 55.0, 52.83333333333333)","(8.5, 13.5, 11.833333333333334)","(6.5, 8.4, 7.8)","(10.0, 18.0, 14.0)","(1.5, 1.86, 1.7933333333333334)","(101.0, 390.0, 338.0)","(6.0, 8.2, 8.8)","(18.0, 26.0, 24.166666666666668)"
08-12-2022 12:33:39.886139,"(31.0, 60.0, 58.36363636363636)","(8.5, 14.0, 11.375)","(6.5, 9.6, 9.2)","(10.0, 18.0, 16.8)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 10.0, 8.4)","(18.0, 27.0, 25.785714285714285)"
08-12-2022 12:33:41.058692,"(31.0, 70.0, 63.5)","(8.5, 13.0, 11.666666666666666)","(6.5, 9.6, 9.2)","(10.0, 18.0, 16.8)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 27.0, 25.4)"
08-12-2022 12:33:42.291877,"(31.0, 70.0, 66.75)","(8.5, 12.5, 11.5)","(6.5, 9.4, 8.600000000000001)","(10.0, 18.0, 17.083333333333332)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 27.0, 25.4)"
08-12-2022 12:33:43.488759,"(31.0, 65.0, 61.83333333333333)","(8.5, 12.5, 11.5)","(6.5, 9.4, 8.600000000000001)","(10.0, 18.0, 17.083333333333332)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 27.0, 36.0)"
08-12-2022 12:33:44.474780,"(31.0, 65.0, 61.83333333333333)","(8.5, 12.5, 11.5)","(6.5, 9.4, 8.8)","(10.0, 18.0, 17.083333333333332)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 46.0, 35.0)"
08-12-2022 12:33:45.550921,"(31.0, 65.0, 56.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.879999999999999)","(10.0, 18.0, 16.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 44.0, 35.0)"
08-12-2022 12:33:46.857634,"(31.0, 65.0, 60.75)","(8.5, 14.0, 11.375)","(6.5, 9.2, 8.879999999999999)","(10.0, 18.0, 16.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 44.0, 35.0)"
08-12-2022 12:33:47.974240,"(31.0, 65.0, 58.2)","(8.5, 13.5, 11.227272727272727)","(6.5, 9.2, 8.879999999999999)","(10.0, 18.0, 15.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 44.0, 38.85714285714286)"
08-12-2022 12:33:49.493917,"(31.0, 65.0, 57.5)","(8.5, 13.0, 11.5)","(6.5, 9.2, 8.879999999999999)","(10.0, 18.0, 15.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 44.0, 35.0)"
08-12-2022 12:33:50.907418,"(31.0, 65.0, 57.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.85)","(10.0, 18.0, 15.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 44.0, 33.5)"
08-12-2022 12:33:52.065269,"(31.0, 65.0, 57.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.15)","(10.0, 18.0, 15.75)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 38.0, 33.5)"
08-12-2022 12:33:53.308231,"(31.0, 65.0, 57.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.36923076923077)","(10.0, 18.0, 17.25)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 38.0, 33.5)"
08-12-2022 12:33:54.627818,"(31.0, 65.0, 57.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.428571428571429)","(10.0, 18.0, 17.25)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 38.0, 29.6)"
08-12-2022 12:33:55.659566,"(31.0, 65.0, 57.5)","(8.5, 12.5, 11.5)","(6.5, 9.2, 8.428571428571429)","(10.0, 18.0, 17.25)","(1.5, 1.86, 1.8166666666666667)","(101.0, 390.0, 338.0)","(6.0, 9.8, 8.4)","(18.0, 36.0, 29.6)"
