,Lektra Dish,Zambora Nut,Thai Time,My Maximus,Rock Me Mama,Impactus,Call Me Thor
10-01-2023 16:20:56.811313,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:20:59.554984,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.8358333333333334)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:01.097163,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:03.035850,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:04.402977,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:05.665727,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:06.864136,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:08.100031,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:09.343201,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:10.602694,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:11.736952,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:12.896637,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:14.161754,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:15.404723,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:16.566281,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:17.752353,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:19.034626,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:20.335632,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:21.351476,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:22.445787,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:23.620459,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:24.892668,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:26.134381,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:27.239767,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:28.396701,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:29.590429,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.5)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:30.783550,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:31.970541,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:33.108971,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:34.300706,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:35.472186,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:36.595310,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:37.651486,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:38.738615,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:39.893097,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:41.104111,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 13.9375)","(14.0, 42.0, 34.875)","(8.5, 17.5, 11.433333333333334)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:42.264339,"(12.0, 34.0, 26.666666666666664)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 65.0)","(8.5, 17.5, 14.923076923076923)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:43.275265,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 47.5)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:44.314587,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 47.5)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:45.467555,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 47.5)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:46.618446,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 47.5)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:47.706378,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 40.54545454545455)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:48.694081,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 40.54545454545455)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:49.769583,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 40.54545454545455)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.8)"
10-01-2023 16:21:50.928041,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 40.54545454545455)","(8.5, 17.0, 12.6)","(14.0, 42.0, 26.444444444444443)","(8.5, 17.5, 14.9)","(3.2, 5.5, 4.288)"
10-01-2023 16:21:52.147242,"(12.0, 34.0, 25.61904761904762)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:53.260897,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:54.486052,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:55.689902,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:56.998502,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:58.332431,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:21:59.586970,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:00.818583,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:02.041065,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:03.251946,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:04.397389,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:05.411931,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:06.558880,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:07.804202,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:08.993617,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.7576923076923077)"
10-01-2023 16:22:10.112811,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 4.9, 3.933333333333333)"
10-01-2023 16:22:11.199359,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 41.27272727272727)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 24.8125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:12.373847,"(12.0, 34.0, 18.363636363636363)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 42.0)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:13.517064,"(12.0, 34.0, 18.727272727272727)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 42.0)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:14.652390,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 42.0)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:15.717001,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:16.852062,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:18.040557,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:19.068814,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:20.111840,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:21.177105,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:22.344045,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.840952380952381)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:23.615311,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:24.935334,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:26.052527,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:27.097386,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:28.392867,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 45.33333333333333)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:29.650068,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.933333333333333)"
10-01-2023 16:22:30.922161,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.3, 3.9)"
10-01-2023 16:22:31.880113,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.825294117647059)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.2, 3.9)"
10-01-2023 16:22:33.013066,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.8716666666666668)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.2, 3.9)"
10-01-2023 16:22:34.226076,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.8258333333333334)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.2, 3.8181818181818183)"
10-01-2023 16:22:35.368355,"(12.0, 34.0, 22.799999999999997)","(1.8, 2.66, 1.7961764705882353)","(21.0, 90.0, 43.61538461538461)","(8.5, 17.0, 13.314285714285713)","(14.0, 42.0, 25.125)","(8.5, 17.5, 14.533333333333333)","(3.2, 5.2, 3.4222222222222225)"
