,Cruising Cloe,Major Sentence,Pandorica,Zipping Diesel,Wichita Bale,Air Race Ace,Jaggers Lady,Irongate
04-01-2023 14:52:51.308353,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:52.387887,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:53.605976,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:54.747441,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:55.799108,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:57.113148,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:58.437153,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:52:59.712161,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:00.948481,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:02.396061,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:03.571844,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:04.845305,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:06.132856,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:07.312104,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:08.491050,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:09.674271,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:10.887790,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:12.091136,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:13.233035,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:14.394853,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:15.586141,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:16.760720,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:17.898154,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:19.107612,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:20.473634,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:21.693572,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:22.942369,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:24.401406,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 19.6)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:25.876863,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:27.054014,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:28.238792,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:29.462360,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:30.648614,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:31.729904,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:32.854379,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:33.962146,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:35.080834,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:36.162543,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:37.284419,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:38.436765,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:39.573277,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:40.740141,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:41.913952,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:43.020790,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:44.125232,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:45.258921,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:46.329660,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:47.382117,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:48.508059,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:49.627935,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:50.703578,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:51.772988,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:52.833440,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:53.918038,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:55.013999,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:56.141987,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:57.302024,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:58.404381,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:53:59.544764,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:00.699347,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:01.854930,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:02.954175,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:04.074901,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:05.266915,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
04-01-2023 14:54:06.374316,"(3.2, 5.3, 3.989655172413793)","(31.0, 100.0, 48.2)","(8.0, 17.5, 11.454545454545455)","(4.4, 6.6, 5.16)","(11.0, 22.0, 21.294117647058826)","(8.0, 15.0, 12.375)","(2.8, 4.2, 2.9225000000000003)","(20.0, 85.0, 63.0)"
