,Black Power,Galloping Albi,Forcefully,Shanks Pony,Bel Air Storm,Burn Rate,Reloaded
05-01-2023 16:30:19.942438,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:21.017914,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:22.136450,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:23.160383,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:24.121185,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:25.171234,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:26.276378,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:27.312833,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:28.342437,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:29.394104,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:30.367720,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:31.424368,"(17.0, 120.0, 62.5)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:32.589178,"(17.0, 120.0, 55.625)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:33.650239,"(17.0, 120.0, 55.625)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:34.636507,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:35.606096,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:36.660310,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:37.771797,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:38.852915,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:39.935458,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:40.974087,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:42.020575,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:43.099648,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:44.187096,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:45.297615,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:46.290522,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:47.279787,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:48.345595,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:49.469525,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:50.548433,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:51.609934,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:52.839213,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:54.143430,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:55.338443,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:56.613238,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:57.873342,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:30:59.064021,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.35, 2.165744680851064)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:00.171815,"(17.0, 120.0, 55.9375)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:01.182095,"(17.0, 120.0, 56.25)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 10.76153846153846)","(17.0, 46.0, 29.333333333333336)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:02.269146,"(17.0, 120.0, 56.25)","(21.0, 100.0, 51.25)","(7.0, 14.0, 10.072727272727272)","(8.0, 15.5, 12.375)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:03.349626,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 10.181818181818182)","(8.0, 15.0, 12.375)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:04.377616,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 10.181818181818182)","(8.0, 15.0, 12.375)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:05.383266,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 10.181818181818182)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:06.518517,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.68)","(8.0, 15.0, 11.914285714285715)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:07.678229,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:08.869242,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:10.008855,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:11.004626,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:12.016930,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:13.027398,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:14.054820,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:15.094667,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:16.218256,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:17.396023,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:18.533221,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:19.668461,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:20.997335,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:22.106825,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:23.295163,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:24.450401,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:25.567996,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:26.703104,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:27.686328,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:28.622408,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:29.671007,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:30.676168,"(17.0, 120.0, 61.714285714285715)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:31.723350,"(17.0, 120.0, 46.18181818181818)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:32.724402,"(17.0, 120.0, 46.18181818181818)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:33.799516,"(17.0, 120.0, 46.18181818181818)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:34.894550,"(17.0, 120.0, 46.18181818181818)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:35.955298,"(17.0, 120.0, 46.18181818181818)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:36.885088,"(17.0, 120.0, 62.0)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:37.929493,"(17.0, 120.0, 62.0)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:38.961580,"(17.0, 120.0, 62.0)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:40.004361,"(17.0, 120.0, 62.0)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 33.5)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:41.039396,"(17.0, 120.0, 62.0)","(21.0, 100.0, 55.42857142857143)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 27.875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:42.088339,"(17.0, 120.0, 62.0)","(21.0, 100.0, 44.72727272727273)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:43.068166,"(17.0, 120.0, 62.0)","(21.0, 100.0, 45.45454545454545)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:44.173671,"(17.0, 120.0, 62.0)","(21.0, 100.0, 45.45454545454545)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:45.212034,"(17.0, 120.0, 62.0)","(21.0, 100.0, 45.45454545454545)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:46.248869,"(17.0, 120.0, 62.0)","(21.0, 100.0, 45.45454545454545)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
05-01-2023 16:31:47.181269,"(17.0, 120.0, 62.0)","(21.0, 100.0, 45.45454545454545)","(7.0, 14.0, 9.8)","(8.0, 15.0, 12.0)","(17.0, 46.0, 28.1875)","(2.15, 3.25, 2.2633333333333336)","(2.45, 3.6, 2.4908108108108107)"
