,Inner Light,Three Putt Par,Tobias,Georges Luck,Jens Sapphire,Sketchy In By,Angry Firestorm,Zsa Zsa Express
11-01-2023 11:07:17.597500,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:18.695614,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:19.787219,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:20.937740,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:22.017348,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:23.112180,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:24.253333,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:25.311855,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:26.380490,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:27.498735,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:28.609370,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:29.718955,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:30.788241,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:31.942087,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:33.105280,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:34.266695,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:35.395524,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:36.518347,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:37.622864,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:38.723062,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:39.798210,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:40.877831,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:41.945754,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:43.068685,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:44.201101,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:45.330665,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:46.475358,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:47.626853,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:48.818894,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:49.995632,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:51.215067,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:52.392512,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:53.597410,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:54.793573,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:56.356865,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:57.567531,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:07:58.776896,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:08:00.159541,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:08:01.318249,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:08:02.491183,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
11-01-2023 11:08:03.632262,"(1.4, 1.9, 1.664705882352941)","(20.0, 65.0, 57.241379310344826)","(7.5, 16.0, 10.666666666666666)","(19.0, 55.0, 49.193548387096776)","(31.0, 220.0, 127.0)","(7.0, 13.5, 13.335443037974683)","(15.0, 42.0, 38.44736842105263)","(9.0, 23.0, 19.36842105263158)"
