,Joe Gem,Black Eyed Peas,After Hours,Lucretia Ann,Dr Jaylen,Aston Director,Madalia Patch,Billy Bob Jordan
11-01-2023 19:51:08.492650,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:09.684022,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:10.945091,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:12.394980,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:13.777805,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:15.152422,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:16.512515,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:17.767163,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:19.067535,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:20.415456,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:21.742306,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:23.133780,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:24.411766,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:25.641488,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:26.796699,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:28.004600,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:29.204383,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:30.423168,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:31.600403,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:32.796281,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:33.940440,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:35.098700,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:36.246830,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:37.471194,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:38.735388,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:39.906159,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:41.007503,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:42.125302,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:43.375029,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:44.639598,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:45.934407,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:47.126899,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:48.244322,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:49.379543,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:50.520656,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:51.841159,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:53.104084,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:54.383708,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:55.620837,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:56.848071,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:58.032748,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:51:59.238572,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:00.443299,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:01.647968,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:02.911126,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:04.121992,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:05.292829,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:06.461996,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:07.575113,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:08.641701,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:09.862817,"(1.5, 2.08, 1.7)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:11.099151,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:12.296004,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:13.486261,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:14.668027,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:15.852320,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:17.064141,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:18.303059,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:19.561488,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:20.763747,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
11-01-2023 19:52:21.920125,"(1.5, 2.0, 1.69375)","(31.0, 130.0, 57.14285714285714)","(8.0, 16.5, 11.28)","(19.0, 75.0, 40.625)","(9.0, 17.5, 11.559999999999999)","(19.0, 55.0, 32.8125)","(7.0, 14.0, 9.015384615384615)","(8.0, 16.5, 11.666666666666666)"
