,Werina Express,Herculean Zeal,Slick Town,Dont Tell Helen,Darryls Girl,Book Of Love,Rochill Amy,Bernie Boom
11-01-2023 14:42:54.442984,"(2.9, 8.6, 2.9757575757575756)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.7884615384615388)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:55.636101,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 3.0025000000000004)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:56.800995,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 3.0025000000000004)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:57.980947,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 3.0025000000000004)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:42:59.161183,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:00.310569,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:01.537954,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:02.686942,"(2.9, 8.6, 3.462222222222222)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:03.912317,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:05.098828,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:06.215030,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:07.424825,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:08.535176,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:09.603910,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:10.954307,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:12.103654,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:13.189984,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:14.183606,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:15.268479,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:16.448737,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:17.487913,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:18.665329,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:19.786784,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:20.856065,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:22.045946,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:23.156153,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:24.327111,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:25.526038,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:26.699193,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:27.810647,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:28.935319,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:30.038615,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:31.110758,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:32.296139,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:33.425710,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:34.521842,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:35.786903,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:36.957208,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 171.7)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:38.126730,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:39.426909,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:40.603516,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:41.779286,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:42.853847,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:44.014339,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:45.256047,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 130.5)"
11-01-2023 14:43:46.475670,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:43:47.684018,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:43:48.915877,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:43:50.146744,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
11-01-2023 14:43:51.443383,"(2.9, 8.4, 4.84909090909091)","(21.0, 210.0, 188.72222222222223)","(2.8, 3.85, 2.9008000000000003)","(5.0, 9.0, 5.64)","(4.2, 7.0, 4.857142857142857)","(21.0, 250.0, 203.9)","(31.0, 350.0, 242.66666666666666)","(15.0, 160.0, 78.05555555555556)"
