,Secret Jack,Bee Gees Bandit,Star Writer,Arthur Lowe Nz,Crookwell Jake,Mr Kiwi Nz
09-01-2023 13:34:58.323801,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:34:59.450712,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:35:00.560276,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:35:01.475307,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.8980000000000001)","(7.5, 99999, 99990)"
09-01-2023 13:35:02.581548,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:03.789794,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:04.995252,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:06.097308,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:07.051340,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:08.127760,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:09.308918,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:10.437492,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:11.577454,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:12.691001,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:13.744953,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:14.750307,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:15.731862,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:16.852748,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:18.111564,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:19.247394,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:20.161204,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:21.186514,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:22.363875,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:23.369167,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:24.478095,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:25.615006,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:26.654775,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:27.640414,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:28.731793,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:29.970704,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:31.179699,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:32.254649,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:33.228846,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:34.352590,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:35.406484,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:36.504414,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:37.687237,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:38.755624,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:39.810322,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:40.805366,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:41.866780,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:43.132135,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:44.430465,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:45.644126,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:46.614959,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:47.612851,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:48.772844,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:49.860334,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:50.889719,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:51.961657,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:52.973134,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:53.986419,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:55.042409,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:56.306882,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:57.520311,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:58.664988,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:35:59.642594,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:00.584302,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:01.737385,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:02.899931,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:03.885357,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:04.787248,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:05.919866,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:06.967480,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:07.958940,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:09.081601,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:10.162495,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:11.220867,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:12.193824,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:13.168441,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:14.295986,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:15.399202,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:16.419261,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:17.467564,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:18.637386,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:19.656224,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:20.511887,"(7.0, 11.5, 9.666666666666666)","(10.0, 17.0, 11.266666666666667)","(19.0, 40.0, 23.666666666666664)","(4.8, 99999, 99990)","(1.55, 1.98, 1.88)","(7.5, 99999, 99990)"
09-01-2023 13:36:21.512927,"(7.0, 11.0, 10.0)","(10.0, 16.5, 12.45)","(19.0, 38.0, 26.75)","(4.8, 99999, 99990)","(1.55, 1.99, 1.84)","(7.5, 99999, 99990)"
