,Know Grizzles,Opawa Anita,Goldstar Carlito,Centurion,Humbling,Opawa Chrissy
12-01-2023 15:17:33.974725,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:34.941303,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:35.952190,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:36.928863,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:37.930471,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:38.968940,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:39.960395,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:40.926192,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:41.953135,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:42.933113,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:43.917121,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:44.828263,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.833333333333334)"
12-01-2023 15:17:45.727985,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.4, 7.699999999999999)"
12-01-2023 15:17:46.687740,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:47.646127,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:48.586291,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:49.462516,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:50.414902,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:51.472461,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:52.396492,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:53.323652,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:54.367732,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:55.417860,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:56.306200,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:57.237026,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:58.273559,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:17:59.240622,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:00.155782,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
12-01-2023 15:18:01.087689,"(6.0, 17.0, 15.879999999999999)","(6.5, 11.0, 10.314285714285713)","(2.7, 4.3, 3.5813333333333333)","(4.6, 7.4, 5.788888888888889)","(5.5, 13.0, 9.96)","(5.0, 9.2, 7.699999999999999)"
