,Hooded Monkey,In The Orange,Magic Eyeliner,Bang On Blue,Elanga,Gunai Rumours,Kintsugi,Bok Choy
12-01-2023 08:01:17.685668,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.58, 2.506666666666667)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.7105263157894735)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:18.689287,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.58, 2.506666666666667)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.7105263157894735)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:19.744306,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.58, 2.506666666666667)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.7105263157894735)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:20.815824,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.58, 2.506666666666667)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.7105263157894735)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:21.876628,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:22.937737,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:24.306509,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:25.400994,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:26.613064,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.5, 18.0, 13.272727272727273)","(2.2, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.2, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:27.707524,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:28.773374,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:29.782646,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:30.857474,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:31.831151,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:32.839888,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:33.855704,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:34.852863,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:35.926171,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.106153846153846)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:37.026470,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.106153846153846)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:38.141103,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.106153846153846)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:39.162188,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:40.286821,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:41.350837,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:42.359869,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:43.388088,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:44.486640,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:45.501733,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:46.583164,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:47.753070,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:48.907424,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:50.051058,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.56, 2.5)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:51.185668,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.54, 2.4733333333333336)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 4.675)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:52.311020,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 13.272727272727273)","(2.25, 2.54, 2.4733333333333336)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:53.459407,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 16.074074074074076)","(2.25, 2.54, 2.4733333333333336)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:54.716765,"(20.0, 60.0, 36.388888888888886)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.54, 2.4733333333333336)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:55.849449,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.54, 2.4733333333333336)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:57.065395,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.54, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:58.121339,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:01:59.148659,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:00.195377,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.5, 8.071428571428571)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:01.163168,"(20.0, 60.0, 40.90909090909091)","(7.0, 22.0, 8.5)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:02.169205,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:03.350334,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:04.509100,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:05.583960,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:06.629289,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:07.765849,"(20.0, 60.0, 40.90909090909091)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:08.872713,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:09.953037,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:11.104306,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:12.156832,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.4657142857142857)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:13.298400,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.52, 2.44)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:14.437763,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.5, 2.44)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:15.533832,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.5, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:16.666427,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:17.789671,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:18.875147,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.184210526315789)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:19.948232,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 7.0, 6.036842105263158)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:21.032702,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 6.036842105263158)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:22.114094,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 6.036842105263158)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:23.180392,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 6.036842105263158)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:24.215016,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 6.036842105263158)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:25.346964,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:26.405384,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:27.521179,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:28.637115,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:29.708530,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:30.818683,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:31.846798,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:32.900885,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.48, 2.4314285714285715)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:33.909039,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.46, 2.4066666666666667)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:34.958551,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.46, 2.4066666666666667)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
12-01-2023 08:02:35.972738,"(20.0, 60.0, 34.0625)","(7.0, 14.0, 8.0)","(8.0, 23.0, 13.133333333333333)","(8.0, 18.0, 11.625)","(2.25, 2.46, 2.4066666666666667)","(21.0, 70.0, 41.66666666666667)","(4.0, 6.8, 5.12)","(7.0, 14.0, 7.7)"
