,Pocket Rox,Komachi,Dance Of Thunder,Hot Seat,Numpty,Bronski,Nerrivik,Rogers Day,Strawberry Moon,Fiji,More Than Discreet,Sheeza Tilly,Masina
06-01-2023 15:15:07.923465,"(14.0, 22.0, 19.894736842105264)","(3.9, 4.9, 4.866666666666666)","(5.5, 7.4, 7.044444444444444)","(61.0, 180.0, 130.0)","(7.0, 8.0, 8.306976744186047)","(41.0, 210.0, 110.0)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.909090909090908)","(31.0, 65.0, 47.2)","(18.0, 38.0, 31.25)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:09.510591,"(14.0, 22.0, 19.894736842105264)","(3.9, 5.0, 4.866666666666666)","(5.5, 7.4, 7.044444444444444)","(61.0, 180.0, 130.0)","(7.0, 8.4, 8.28235294117647)","(41.0, 210.0, 152.85714285714286)","(26.0, 55.0, 39.166666666666664)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.909090909090908)","(31.0, 60.0, 47.2)","(18.0, 38.0, 25.25)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:10.979180,"(14.0, 22.0, 19.5)","(3.9, 5.0, 4.866666666666666)","(5.5, 7.4, 7.044444444444444)","(61.0, 180.0, 130.0)","(7.0, 8.4, 8.28235294117647)","(41.0, 190.0, 114.54545454545453)","(26.0, 55.0, 37.9)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.909090909090908)","(31.0, 60.0, 47.2)","(18.0, 38.0, 25.25)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:12.498480,"(14.0, 22.0, 19.5)","(3.9, 5.0, 4.866666666666666)","(5.5, 7.4, 7.044444444444444)","(61.0, 180.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 180.0, 112.72727272727272)","(26.0, 55.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.944444444444445)","(31.0, 60.0, 47.2)","(18.0, 38.0, 33.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:13.989205,"(14.0, 22.0, 19.5)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.044444444444444)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 50.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.944444444444445)","(31.0, 60.0, 47.2)","(18.0, 36.0, 33.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:15.504352,"(14.0, 22.0, 19.5)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.044444444444444)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 50.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 13.944444444444445)","(31.0, 60.0, 47.2)","(18.0, 36.0, 34.75)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:16.951450,"(14.0, 22.0, 19.5)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.044444444444444)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 50.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.416279069767442)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 29.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:18.487091,"(14.0, 22.0, 18.818181818181817)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.044444444444444)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 50.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.5, 4.383333333333334)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 31.666666666666664)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:19.911050,"(14.0, 22.0, 18.818181818181817)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.4, 4.355)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 31.666666666666664)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:21.336269,"(14.0, 22.0, 18.818181818181817)","(3.9, 5.0, 4.92)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 152.5)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.4, 4.355)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 31.666666666666664)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:22.855510,"(14.0, 22.0, 18.818181818181817)","(3.9, 5.0, 4.86)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 130.0)","(7.0, 8.4, 8.28235294117647)","(41.0, 170.0, 112.72727272727272)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.4, 4.355)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 31.666666666666664)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:24.333662,"(14.0, 22.0, 22.0)","(3.9, 4.9, 4.75)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 156.66666666666669)","(7.0, 8.4, 8.307692307692308)","(41.0, 170.0, 112.72727272727272)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.4, 4.004069767441861)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 30.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:25.872947,"(14.0, 29.0, 22.7)","(3.9, 4.9, 4.75)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 156.66666666666669)","(7.0, 8.4, 8.355555555555556)","(41.0, 170.0, 112.72727272727272)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.1, 4.010294117647058)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 30.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:27.388961,"(14.0, 29.0, 23.25)","(3.9, 4.9, 4.75)","(5.5, 7.4, 7.258823529411765)","(61.0, 170.0, 135.0)","(7.0, 8.4, 8.355555555555556)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 14.8)","(3.6, 4.1, 3.9923529411764704)","(10.0, 15.5, 14.1)","(31.0, 60.0, 47.2)","(18.0, 36.0, 28.666666666666668)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:28.873962,"(14.0, 28.0, 23.25)","(3.9, 4.9, 4.75)","(5.5, 7.4, 7.258823529411765)","(61.0, 180.0, 135.0)","(7.0, 8.4, 8.355555555555556)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.1, 3.9923529411764704)","(10.0, 15.5, 14.1)","(31.0, 60.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:30.352177,"(14.0, 28.0, 23.25)","(3.9, 4.9, 4.75)","(5.5, 7.4, 7.258823529411765)","(61.0, 180.0, 135.0)","(7.0, 8.4, 8.355555555555556)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.25)","(3.6, 4.1, 4.13)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:31.858007,"(14.0, 28.0, 23.25)","(3.9, 4.9, 4.753846153846154)","(5.5, 7.4, 7.327272727272728)","(61.0, 180.0, 135.0)","(7.0, 8.4, 7.457142857142857)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.25)","(3.6, 4.4, 4.13)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:33.321526,"(14.0, 28.0, 24.833333333333332)","(3.9, 5.0, 4.8)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.4)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.25)","(3.6, 4.4, 4.2)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:34.808252,"(14.0, 28.0, 24.833333333333332)","(3.9, 5.0, 4.846153846153846)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.56)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.25)","(3.6, 4.4, 4.2)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:36.291720,"(14.0, 28.0, 23.25)","(3.9, 5.0, 4.8)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.56)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.2)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:37.825241,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.32)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.2)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:39.299262,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.32)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.2)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:40.752912,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.32)","(41.0, 170.0, 117.5)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:42.192789,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 145.3846153846154)","(7.0, 7.8, 7.32)","(41.0, 170.0, 104.375)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 55.0, 49.5)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:43.719506,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 170.0, 104.375)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 55.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:45.183851,"(14.0, 28.0, 24.4)","(3.9, 5.0, 4.753846153846154)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 170.0, 104.375)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:46.716165,"(14.0, 28.0, 23.8)","(3.9, 5.0, 4.7176470588235295)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 170.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:48.175020,"(14.0, 27.0, 23.8)","(3.9, 5.0, 4.7176470588235295)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:49.639181,"(14.0, 27.0, 23.8)","(3.9, 5.0, 4.7176470588235295)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:51.203008,"(14.0, 27.0, 23.8)","(3.9, 5.0, 4.7176470588235295)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.32)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 16.0)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:52.726957,"(14.0, 27.0, 23.8)","(3.9, 5.0, 4.7176470588235295)","(5.5, 7.4, 7.333333333333334)","(61.0, 180.0, 139.0909090909091)","(7.0, 7.8, 7.3)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:54.175464,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.7153846153846155)","(5.5, 7.8, 7.32)","(61.0, 180.0, 135.0)","(7.0, 7.8, 7.3)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:55.611980,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.7153846153846155)","(5.5, 7.8, 7.32)","(61.0, 180.0, 135.0)","(7.0, 7.8, 7.3)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:57.019674,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.7153846153846155)","(5.5, 7.8, 7.32)","(61.0, 180.0, 135.0)","(7.0, 7.8, 7.3)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:58.453525,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.7153846153846155)","(5.5, 7.8, 7.4)","(61.0, 180.0, 135.0)","(7.0, 7.8, 7.3)","(41.0, 160.0, 122.0)","(26.0, 48.0, 38.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.16)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:15:59.955238,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.7153846153846155)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.363636363636363)","(41.0, 160.0, 122.0)","(26.0, 48.0, 39.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.4, 4.12)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:01.477571,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.688235294117647)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.363636363636363)","(41.0, 160.0, 122.0)","(26.0, 48.0, 39.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.3, 4.12)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:03.015159,"(14.0, 27.0, 23.8)","(3.9, 4.9, 4.688235294117647)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.363636363636363)","(41.0, 160.0, 122.0)","(26.0, 48.0, 39.0)","(11.0, 18.0, 15.666666666666666)","(3.6, 4.3, 4.12)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 31.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:04.568740,"(14.0, 27.0, 24.666666666666668)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 115.0)","(26.0, 48.0, 39.0)","(11.0, 18.0, 14.772727272727273)","(3.6, 4.3, 4.12)","(10.0, 15.5, 14.1)","(31.0, 60.0, 52.0)","(18.0, 38.0, 36.13333333333333)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:06.097056,"(14.0, 27.0, 22.272727272727273)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 115.0)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.3, 4.300000000000001)","(10.0, 15.5, 14.1)","(31.0, 60.0, 45.57142857142857)","(18.0, 38.0, 30.842105263157894)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:07.564177,"(14.0, 25.0, 22.272727272727273)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 106.875)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.1)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 30.842105263157894)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:09.076320,"(14.0, 25.0, 22.333333333333332)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 121.36363636363637)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.1)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 30.842105263157894)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:10.635887,"(14.0, 25.0, 22.5)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 121.36363636363637)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.5)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 30.842105263157894)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:12.167553,"(14.0, 25.0, 22.5)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.5)","(41.0, 160.0, 121.36363636363637)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.5)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 30.842105263157894)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:13.611964,"(14.0, 25.0, 22.333333333333332)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(7.0, 7.8, 7.49090909090909)","(41.0, 160.0, 121.36363636363637)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.5)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 28.0)","(101.0, 230.0, 195.0)"
06-01-2023 15:16:15.193761,"(14.0, 25.0, 22.333333333333332)","(3.9, 4.9, 4.72)","(5.0, 7.6, 7.377777777777777)","(71.0, 180.0, 135.0)","(6.5, 7.6, 7.49090909090909)","(41.0, 160.0, 131.66666666666669)","(26.0, 48.0, 39.0)","(11.0, 15.5, 14.772727272727273)","(3.6, 4.4, 4.300000000000001)","(10.0, 15.5, 14.5)","(31.0, 55.0, 45.57142857142857)","(18.0, 34.0, 30.4)","(101.0, 230.0, 195.0)"
