,Fentons Rise,Not Afraid,Perfect Stranger,Bells Galore,Pumper
11-01-2023 13:10:29.675074,"(1.8, 2.5, 2.178)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:30.499157,"(1.8, 2.5, 2.178)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:31.330801,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:32.180359,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:33.051381,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:33.836315,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:34.604998,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:35.400374,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:36.216133,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:37.068220,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:37.883896,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 24.375)","(18.0, 38.0, 22.605263157894736)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:38.673314,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 17.571428571428573)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:39.457522,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 17.571428571428573)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:40.249724,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 17.571428571428573)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:41.064117,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 17.571428571428573)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3)"
11-01-2023 13:10:41.878675,"(1.8, 2.5, 2.2125)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 17.571428571428573)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.766666666666667)"
11-01-2023 13:10:42.690747,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:10:43.466319,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:10:44.248510,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:10:45.098726,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:10:45.956101,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:10:46.755692,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:47.571608,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:48.358904,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:49.178051,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:49.996989,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:50.824966,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:51.597724,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:52.373029,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:53.188689,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:54.015854,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:54.796682,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:55.572504,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:56.374589,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:57.235707,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:58.063922,"(1.8, 2.5, 2.1714285714285713)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:58.865877,"(1.8, 2.52, 2.016)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.975)"
11-01-2023 13:10:59.652104,"(1.8, 2.52, 2.016)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:00.462934,"(1.8, 2.52, 2.016)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.866666666666666)"
11-01-2023 13:11:01.481105,"(1.8, 2.52, 2.016)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.112)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:11:02.304935,"(1.8, 2.52, 2.016)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.7466666666666666)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:11:03.100465,"(1.8, 2.5, 2.14)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.7466666666666666)","(4.8, 7.6, 6.3999999999999995)"
11-01-2023 13:11:03.925771,"(1.8, 2.5, 2.14)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8999999999999995)"
11-01-2023 13:11:04.745307,"(1.8, 2.5, 2.14)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.457142857142856)"
11-01-2023 13:11:05.806330,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.828571428571428)"
11-01-2023 13:11:06.584474,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.3)"
11-01-2023 13:11:07.345494,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:08.213377,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:09.111223,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:09.892956,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:10.683700,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:11.510944,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:12.350867,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:13.162465,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:14.014288,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:14.799460,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:15.584120,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:16.421390,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:17.299476,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.8)"
11-01-2023 13:11:18.112304,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 6.885714285714285)"
11-01-2023 13:11:18.920632,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:19.700200,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:20.540495,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:21.452347,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:22.477277,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:23.455389,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 38.0, 19.666666666666668)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:24.245697,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 36.0, 21.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.094736842105263)"
11-01-2023 13:11:25.114666,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:25.991287,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:26.965319,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:27.772674,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:28.603371,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.0)"
11-01-2023 13:11:29.599193,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 7.6, 7.449999999999999)"
11-01-2023 13:11:30.506183,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:31.360663,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:32.161118,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:32.930821,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:33.752500,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:34.643208,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:35.479320,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:36.242544,"(1.8, 2.5, 2.14)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.449999999999999)"
11-01-2023 13:11:37.034478,"(1.8, 2.5, 2.14)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.3)"
11-01-2023 13:11:37.935257,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 6.7142857142857135)"
11-01-2023 13:11:38.755981,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 6.828571428571428)"
11-01-2023 13:11:39.536734,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 6.942857142857142)"
11-01-2023 13:11:40.360986,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.3999999999999995)"
11-01-2023 13:11:41.264707,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.5955555555555554)","(4.8, 8.2, 7.3999999999999995)"
11-01-2023 13:11:42.460030,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.3066666666666666)","(4.8, 8.2, 7.08)"
11-01-2023 13:11:43.325155,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.3066666666666666)","(4.8, 8.2, 7.08)"
11-01-2023 13:11:44.149868,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.3066666666666666)","(4.8, 8.2, 7.08)"
11-01-2023 13:11:44.979455,"(1.8, 2.48, 2.3066666666666666)","(18.0, 48.0, 19.384615384615383)","(18.0, 34.0, 22.0)","(2.7, 4.2, 3.3066666666666666)","(4.8, 8.2, 7.08)"
