,Ansons Bay,Blue Title,Coconut Cutie,Star Of The Arts,Shezamaterialgirl,Mullum Doc,Outer Change,Royal Winkle,Feelin Flirty
12-01-2023 13:07:47.656163,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:48.888319,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:50.049324,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:51.287836,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:52.508766,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:53.815853,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:55.260066,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:57.000332,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:07:58.606066,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:00.167885,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:01.867037,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:03.629799,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:05.059085,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:06.474014,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:07.771475,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:09.043110,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:10.345314,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:11.639336,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:13.058763,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:14.206832,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.8)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:15.374298,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:16.961510,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:18.339019,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:19.695571,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:21.137231,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:22.413059,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:23.766443,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:24.979746,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:26.355723,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:27.643235,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:29.119287,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 8.275)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 5.942857142857143)","(51.0, 210.0, 82.5)","(1.55, 2.14, 1.9933333333333334)","(26.0, 55.0, 39.5)"
12-01-2023 13:08:30.400788,"(7.0, 12.5, 8.471428571428572)","(21.0, 55.0, 48.916666666666664)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.5, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.6, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.14, 2.0733333333333333)","(26.0, 55.0, 41.33333333333333)"
12-01-2023 13:08:31.814515,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:33.166124,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:34.431905,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:35.752892,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:36.989842,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:38.246232,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:39.386088,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:40.613855,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:41.892201,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 9.733333333333334)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 6.050000000000001)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:43.254724,"(7.0, 12.0, 9.9)","(21.0, 50.0, 47.13636363636364)","(81.0, 210.0, 116.66666666666666)","(7.0, 11.0, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.4, 5.657142857142857)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0733333333333333)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:44.405746,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.163636363636364)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:45.646399,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:46.825216,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 42.63636363636363)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:48.064717,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 42.63636363636363)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:49.300567,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:50.559015,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0614285714285714)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:51.771868,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0892307692307694)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:52.928813,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0892307692307694)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:54.070475,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0892307692307694)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:55.465120,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0892307692307694)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:56.684789,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:58.212569,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:08:59.619336,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:00.947636,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:02.179374,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:03.415687,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:04.619517,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:05.894447,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
12-01-2023 13:09:07.032648,"(7.0, 11.5, 9.033333333333333)","(21.0, 48.0, 43.083333333333336)","(81.0, 210.0, 116.66666666666666)","(7.0, 10.5, 8.85)","(101.0, 190.0, 157.14285714285714)","(4.0, 6.2, 5.0)","(51.0, 210.0, 82.5)","(1.55, 2.12, 2.0642857142857145)","(26.0, 50.0, 41.33333333333333)"
