,Soda Nemo,Ha Hanna,Inter Raven,Olive Bale,Cindys Pride,Run Topper,Hot Fudge,Prince Of Egypt
15-12-2022 13:52:16.873680,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:17.921138,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:18.952932,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:20.021194,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:21.101490,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:22.155774,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:23.256229,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:24.377575,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:25.569443,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:26.754969,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:27.919867,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:29.019196,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:30.065336,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:31.131142,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:32.201353,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:33.345864,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:34.465630,"(5.0, 13.5, 11.39142857142857)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 10.399999999999999)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:35.522063,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 11.73448275862069)"
15-12-2022 13:52:36.541191,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:37.672875,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:38.781332,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:39.943355,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:41.046011,"(5.0, 13.5, 9.0)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:42.141270,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.85)"
15-12-2022 13:52:43.244257,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.5, 8.6)"
15-12-2022 13:52:44.427054,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:45.563337,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:46.715180,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:47.950509,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:49.097346,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:50.206786,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:51.257444,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:52.292323,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 13.59375)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 143.57142857142858)","(11.0, 24.0, 13.615384615384617)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:53.356154,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:54.440904,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 9.45)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:55.530507,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 10.55)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:56.572812,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 10.55)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:57.617558,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 9.350000000000001)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:58.660750,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 9.350000000000001)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:52:59.818001,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 9.350000000000001)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:00.945831,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:02.020976,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:03.045038,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:04.023495,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:05.105579,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:06.175767,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:07.267132,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.6)"
15-12-2022 13:53:08.322591,"(5.0, 13.5, 7.425000000000001)","(3.3, 7.4, 3.6475)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 9.99)"
15-12-2022 13:53:09.468090,"(5.0, 13.5, 9.0)","(3.3, 7.4, 4.178260869565218)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:10.598746,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 4.178260869565218)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:11.749975,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 4.178260869565218)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.085714285714285)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:12.902207,"(5.0, 13.5, 7.574999999999999)","(3.3, 7.4, 4.178260869565218)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.5, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 19.058823529411764)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:14.065792,"(5.0, 13.0, 11.15)","(3.3, 7.2, 5.966666666666667)","(11.0, 27.0, 17.791666666666668)","(6.5, 12.0, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 18.555555555555557)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:15.202891,"(5.0, 13.0, 11.15)","(3.3, 7.2, 5.966666666666667)","(11.0, 27.0, 17.48)","(6.5, 12.0, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 18.555555555555557)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:16.259659,"(5.0, 13.0, 11.15)","(3.3, 7.2, 5.966666666666667)","(11.0, 27.0, 17.48)","(6.5, 12.0, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 18.555555555555557)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:17.278650,"(5.0, 13.0, 11.15)","(3.3, 7.2, 5.966666666666667)","(11.0, 27.0, 17.48)","(6.5, 12.0, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 18.555555555555557)","(5.0, 12.0, 8.7)"
15-12-2022 13:53:18.338500,"(5.0, 13.0, 11.15)","(3.3, 7.2, 5.966666666666667)","(11.0, 27.0, 17.48)","(6.5, 12.0, 11.491666666666667)","(3.2, 4.4, 3.309090909090909)","(41.0, 330.0, 185.0)","(11.0, 24.0, 18.555555555555557)","(5.0, 12.0, 8.7)"
