,My Boy Mo,Battle Talent,Go Ellie Go,Kappys Angel,Clever Choice,I Did A Thing,Soul Benefit,Luna One,Fifi Girl
05-01-2023 13:52:55.646072,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.0)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:56.857026,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:58.044570,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:52:59.273038,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:00.523830,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.937119341563786)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:01.743838,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:03.023863,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:04.285246,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:05.501781,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:06.754870,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:07.984071,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:09.194213,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 28.166666666666664)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:10.411683,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:11.608576,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:12.792777,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:14.038979,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:15.300156,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.88888888888889)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:16.521189,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 24.25)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:17.778550,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.272727272727273)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:18.971505,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.272727272727273)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:20.120935,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.272727272727273)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:21.279289,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.363636363636363)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:22.458830,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:23.753831,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:24.924521,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:26.079489,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:27.210159,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:28.402818,"(6.5, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(13.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:29.611431,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:30.761946,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:31.958575,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.0285714285714285)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 29.0, 27.714285714285715)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:33.200626,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 6.771428571428571)","(4.8, 5.4, 5.014285714285714)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 29.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:34.390805,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.6, 5.021428571428571)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.866666666666666)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:35.584412,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.6, 5.021428571428571)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:36.800257,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.6, 5.021428571428571)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:38.000087,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.0625)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:39.230351,"(7.0, 11.5, 10.233333333333333)","(5.5, 8.8, 7.114285714285714)","(4.8, 5.5, 5.0625)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:40.444094,"(7.0, 11.5, 10.233333333333333)","(5.5, 8.4, 7.114285714285714)","(4.8, 5.5, 5.266666666666667)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:41.611205,"(7.0, 11.5, 10.233333333333333)","(5.5, 8.4, 7.114285714285714)","(4.8, 5.5, 5.266666666666667)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 32.92307692307692)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:42.869232,"(7.0, 11.5, 10.233333333333333)","(5.5, 8.4, 7.114285714285714)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 22.666666666666668)","(15.0, 34.0, 30.285714285714285)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:44.100291,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.285714285714285)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:45.304944,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:46.481691,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:47.675544,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:48.875149,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:50.020351,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:51.136962,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.0)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:52.359046,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:53.599992,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.315789473684211)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 24.75)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:54.861973,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:56.083837,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:57.315743,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:58.535332,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:53:59.843546,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:01.020054,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:02.180097,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 28.090909090909093)","(15.0, 32.0, 30.4)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:03.388659,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 25.0)","(15.0, 32.0, 27.6)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:04.537797,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 25.0)","(15.0, 32.0, 27.6)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:05.647307,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 25.0)","(15.0, 32.0, 27.6)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:06.830138,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 25.0)","(15.0, 32.0, 29.25)","(101.0, 220.0, 146.66666666666666)"
05-01-2023 13:54:08.016514,"(7.0, 11.5, 10.233333333333333)","(5.5, 7.8, 7.199999999999999)","(4.8, 5.5, 5.340909090909091)","(2.6, 2.94, 2.8445454545454543)","(5.5, 7.2, 6.8)","(26.0, 140.0, 125.86666666666666)","(14.0, 30.0, 25.0)","(15.0, 32.0, 29.25)","(101.0, 220.0, 146.66666666666666)"
