,Quincee Bale,Heffernan Bale,Rita Bale,Settlement Day,Tails Of Woe,Arts Inferno
07-01-2023 20:25:21.283605,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 8.0, 6.4837837837837835)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:22.315811,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:23.460614,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:24.605237,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:25.713055,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:26.759143,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:27.725533,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:28.858668,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:30.147782,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:31.377104,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:32.606182,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:33.700442,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:34.749704,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:35.931679,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:37.043396,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:38.123836,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:39.336052,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:40.484356,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:41.595147,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:42.696556,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:43.976741,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
07-01-2023 20:25:45.228844,"(3.3, 5.8, 3.56875)","(2.2, 3.15, 2.4655555555555555)","(5.0, 7.8, 6.3315789473684205)","(5.0, 8.2, 8.095238095238095)","(17.0, 50.0, 27.5)","(18.0, 55.0, 26.2)"
