,Need A Change,Lotties Luck,Ideal Double,Smokin Chedda,Prides Bellissima,Baileys Art,Matai Charlotte,Mucho Fuerte,Northview Rock,Dancershavtime,The Ladybird,The Matriarch
14-12-2022 11:56:07.947167,"(5.0, 9.2, 7.628571428571428)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.16, 2.24)","(31.0, 95.0, 65.0)","(31.0, 80.0, 60.8)","(20.0, 29.0, 26.428571428571427)","(31.0, 280.0, 216.66666666666669)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 65.66666666666666)","(13.0, 19.0, 16.0)","(15.0, 38.0, 18.714285714285715)"
14-12-2022 11:56:09.251879,"(5.0, 9.2, 7.977777777777778)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.244)","(31.0, 95.0, 65.0)","(31.0, 80.0, 60.8)","(20.0, 29.0, 26.428571428571427)","(31.0, 270.0, 216.66666666666669)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 75.5)","(13.0, 19.0, 16.142857142857142)","(15.0, 38.0, 18.714285714285715)"
14-12-2022 11:56:10.760799,"(5.0, 9.2, 7.3428571428571425)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.34, 2.2800000000000002)","(31.0, 95.0, 56.0)","(31.0, 80.0, 60.8)","(20.0, 29.0, 26.6)","(31.0, 240.0, 123.33333333333333)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 57.0)","(13.0, 19.0, 17.0)","(15.0, 38.0, 23.0)"
14-12-2022 11:56:12.679711,"(5.0, 9.2, 8.2)","(5.5, 7.0, 6.822222222222222)","(1.85, 2.2, 2.2363636363636368)","(31.0, 95.0, 50.0)","(31.0, 80.0, 60.8)","(20.0, 29.0, 26.6)","(31.0, 240.0, 123.33333333333333)","(51.0, 370.0, 163.33333333333331)","(21.0, 75.0, 51.5)","(26.0, 85.0, 57.0)","(13.0, 19.0, 17.0)","(15.0, 38.0, 32.375)"
14-12-2022 11:56:14.056114,"(5.0, 9.2, 8.2)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.24, 2.3707692307692305)","(31.0, 90.0, 74.0)","(31.0, 80.0, 48.125)","(20.0, 29.0, 26.6)","(31.0, 240.0, 123.33333333333333)","(51.0, 370.0, 160.0)","(21.0, 75.0, 41.42857142857143)","(26.0, 85.0, 57.0)","(13.0, 19.0, 16.142857142857142)","(15.0, 38.0, 25.75)"
14-12-2022 11:56:15.610995,"(5.0, 9.2, 7.3428571428571425)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.38, 2.364)","(31.0, 85.0, 68.88888888888889)","(31.0, 75.0, 62.714285714285715)","(20.0, 29.0, 26.6)","(31.0, 240.0, 152.5)","(51.0, 360.0, 160.0)","(21.0, 75.0, 61.57142857142857)","(26.0, 85.0, 73.8)","(13.0, 19.0, 18.2)","(15.0, 36.0, 27.136363636363637)"
14-12-2022 11:56:17.065717,"(5.0, 9.2, 8.6)","(5.5, 7.0, 6.822222222222222)","(1.85, 2.38, 2.2546666666666666)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 29.0, 26.6)","(31.0, 240.0, 91.42857142857143)","(51.0, 360.0, 160.0)","(21.0, 75.0, 59.33333333333333)","(26.0, 85.0, 57.0)","(13.0, 19.0, 17.0)","(15.0, 36.0, 28.2)"
14-12-2022 11:56:18.390246,"(5.0, 9.2, 8.654545454545454)","(5.5, 7.0, 6.822222222222222)","(1.85, 2.26, 2.364)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 29.0, 27.0)","(31.0, 240.0, 91.42857142857143)","(51.0, 360.0, 135.0)","(21.0, 75.0, 63.25)","(26.0, 85.0, 75.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 36.0, 30.5)"
14-12-2022 11:56:19.839776,"(5.0, 9.2, 8.533333333333333)","(5.5, 7.0, 6.866666666666667)","(1.85, 2.38, 2.2244444444444444)","(31.0, 80.0, 45.714285714285715)","(31.0, 75.0, 51.54545454545455)","(20.0, 28.0, 27.0)","(31.0, 240.0, 131.0)","(51.0, 360.0, 135.0)","(21.0, 75.0, 35.57142857142857)","(26.0, 85.0, 75.66666666666667)","(13.0, 19.0, 16.6)","(15.0, 34.0, 26.5)"
14-12-2022 11:56:21.169344,"(5.0, 9.2, 8.533333333333333)","(5.5, 7.0, 6.733333333333333)","(1.85, 2.24, 2.206666666666667)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 360.0, 135.0)","(21.0, 75.0, 44.333333333333336)","(26.0, 85.0, 77.0)","(13.0, 19.0, 16.6)","(15.0, 34.0, 24.666666666666668)"
14-12-2022 11:56:22.527612,"(5.0, 9.2, 8.6)","(5.5, 7.0, 6.866666666666667)","(1.85, 2.2, 2.1933333333333334)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 360.0, 135.0)","(21.0, 75.0, 44.333333333333336)","(26.0, 85.0, 77.0)","(13.0, 19.0, 16.6)","(15.0, 40.0, 24.666666666666668)"
14-12-2022 11:56:23.912438,"(5.0, 9.2, 8.6)","(5.5, 7.0, 6.8933333333333335)","(1.85, 2.3, 2.2733333333333334)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 360.0, 135.0)","(21.0, 75.0, 44.333333333333336)","(26.0, 85.0, 77.0)","(13.0, 19.0, 16.6)","(15.0, 36.0, 26.5)"
14-12-2022 11:56:25.212817,"(5.0, 9.2, 7.6)","(5.5, 7.0, 6.7)","(1.85, 2.2, 2.191666666666667)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 360.0, 135.0)","(21.0, 75.0, 44.333333333333336)","(26.0, 85.0, 77.0)","(13.0, 19.0, 16.6)","(15.0, 36.0, 26.5)"
14-12-2022 11:56:26.564427,"(5.0, 9.2, 7.6)","(5.5, 7.0, 6.7)","(1.85, 2.2, 2.191666666666667)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(20.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 360.0, 105.0)","(21.0, 75.0, 35.57142857142857)","(26.0, 85.0, 44.285714285714285)","(13.0, 19.0, 16.6)","(15.0, 36.0, 19.428571428571427)"
14-12-2022 11:56:27.985472,"(5.0, 9.2, 7.6)","(5.5, 8.4, 6.8999999999999995)","(1.85, 2.16, 2.112923076923077)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(21.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 330.0, 106.66666666666666)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 50.0)","(14.0, 19.0, 17.666666666666668)","(16.0, 34.0, 19.428571428571427)"
14-12-2022 11:56:29.461609,"(5.0, 9.2, 7.6)","(5.5, 8.4, 7.133333333333333)","(1.85, 2.16, 2.1133333333333333)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(21.0, 28.0, 27.0)","(31.0, 230.0, 131.0)","(51.0, 340.0, 146.66666666666669)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 50.0)","(14.0, 19.0, 17.666666666666668)","(16.0, 34.0, 22.666666666666668)"
14-12-2022 11:56:30.796596,"(5.0, 9.2, 7.6)","(5.5, 8.2, 7.133333333333333)","(1.85, 2.14, 2.1133333333333333)","(31.0, 80.0, 56.0)","(31.0, 75.0, 62.714285714285715)","(21.0, 28.0, 26.333333333333332)","(31.0, 230.0, 131.0)","(51.0, 320.0, 146.66666666666669)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 50.0)","(14.0, 19.0, 17.666666666666668)","(16.0, 34.0, 22.666666666666668)"
14-12-2022 11:56:32.100255,"(5.0, 9.2, 7.6)","(5.5, 8.2, 7.0)","(1.85, 2.14, 2.1133333333333333)","(31.0, 80.0, 64.0)","(31.0, 75.0, 57.8)","(21.0, 28.0, 26.4)","(31.0, 230.0, 163.33333333333334)","(51.0, 320.0, 190.0)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 51.2)","(14.0, 19.0, 17.0)","(16.0, 34.0, 22.666666666666668)"
14-12-2022 11:56:33.855909,"(5.0, 9.2, 8.45)","(5.5, 8.8, 6.933333333333333)","(1.85, 2.12, 2.046153846153846)","(31.0, 80.0, 62.5)","(31.0, 75.0, 57.8)","(21.0, 28.0, 26.4)","(31.0, 230.0, 163.33333333333334)","(51.0, 320.0, 190.0)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 51.2)","(14.0, 19.0, 17.0)","(16.0, 34.0, 22.666666666666668)"
14-12-2022 11:56:35.280870,"(5.0, 9.2, 8.45)","(5.5, 8.6, 6.933333333333333)","(1.85, 2.06, 2.0176470588235293)","(31.0, 95.0, 66.8)","(31.0, 75.0, 58.599999999999994)","(21.0, 28.0, 26.3)","(31.0, 230.0, 150.8)","(51.0, 320.0, 150.0)","(26.0, 75.0, 57.0)","(26.0, 80.0, 52.4)","(14.0, 19.0, 17.0)","(16.0, 34.0, 30.22222222222222)"
14-12-2022 11:56:36.767469,"(5.0, 9.2, 8.3)","(5.5, 8.2, 7.811111111111111)","(1.85, 2.1, 2.026666666666667)","(31.0, 90.0, 49.4)","(31.0, 75.0, 58.599999999999994)","(21.0, 29.0, 26.3)","(31.0, 230.0, 102.5)","(51.0, 320.0, 150.0)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 52.4)","(14.0, 19.0, 17.0)","(16.0, 34.0, 29.625)"
14-12-2022 11:56:38.535134,"(5.0, 11.0, 9.9375)","(5.5, 8.2, 7.937499999999999)","(1.85, 2.1, 2.026666666666667)","(31.0, 90.0, 53.75)","(31.0, 75.0, 54.5)","(21.0, 29.0, 26.3)","(31.0, 220.0, 102.5)","(51.0, 320.0, 150.0)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 52.4)","(14.0, 19.0, 17.0)","(16.0, 34.0, 30.11111111111111)"
14-12-2022 11:56:40.069119,"(5.0, 10.5, 8.75)","(5.5, 8.2, 7.0)","(1.85, 2.1, 2.026666666666667)","(31.0, 90.0, 57.5)","(31.0, 75.0, 55.5)","(21.0, 29.0, 26.4)","(31.0, 220.0, 102.5)","(51.0, 320.0, 105.83333333333334)","(26.0, 75.0, 57.0)","(26.0, 80.0, 57.0)","(14.0, 19.0, 17.0)","(16.0, 34.0, 30.11111111111111)"
14-12-2022 11:56:41.442177,"(5.0, 10.5, 9.576)","(5.5, 8.0, 7.555555555555555)","(1.85, 2.1, 2.0094117647058822)","(31.0, 100.0, 57.5)","(31.0, 75.0, 55.5)","(21.0, 28.0, 26.4)","(31.0, 220.0, 102.5)","(51.0, 310.0, 105.83333333333334)","(26.0, 75.0, 44.333333333333336)","(26.0, 80.0, 57.0)","(14.0, 19.0, 17.0)","(16.0, 34.0, 30.11111111111111)"
