,Tommy Fumble,Travers Mania,Speed Freak,Aussie Jake,Sunset Louie,Copper,Ballistic Ant,Travers Time
11-01-2023 21:38:22.653684,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:23.814803,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:25.065170,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:26.319020,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:27.554615,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:28.724880,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:29.858585,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:31.032449,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:32.223494,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:33.348277,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:34.458107,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:35.518060,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:36.605231,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:37.666747,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:38.765673,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:39.877922,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:41.201967,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:42.453821,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:43.630722,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:44.818297,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:46.077264,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:47.281626,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:48.457148,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:49.679445,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:50.863371,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:52.099884,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:53.308733,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:54.442258,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:55.637498,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:57.007395,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:58.334038,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:38:59.562232,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:00.925435,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:01.996631,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:03.396255,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:04.629615,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:05.871041,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:07.135576,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:08.440568,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:09.646660,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:10.896207,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:12.157307,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:13.374884,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:14.610652,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:15.844264,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:17.065325,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:18.242154,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.248)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:19.312982,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:20.358077,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:21.368425,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:22.523236,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:23.649254,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:24.828449,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:26.034492,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:27.276959,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:28.516922,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:29.721146,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:30.891702,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:32.097742,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:33.300853,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:34.442315,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:35.565568,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:36.651932,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:37.721370,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:38.668172,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:39.737573,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:40.771423,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:41.895551,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:43.005650,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:44.145407,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
11-01-2023 21:39:45.314609,"(2.8, 5.2, 3.0112)","(16.0, 38.0, 27.318181818181817)","(13.0, 30.0, 22.291666666666668)","(21.0, 75.0, 43.888888888888886)","(6.5, 11.5, 10.263333333333334)","(2.15, 3.4, 2.195294117647059)","(11.0, 24.0, 20.11111111111111)","(17.0, 50.0, 35.625)"
