,Zippy De Goey,Yeah The Boy,Wild Jewel,Sir Sugar,Reality One,Pie Hard,All Eagle,Talent Show
12-01-2023 08:01:12.298007,"(19.0, 44.0, 34.2)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.833333333333334)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 18.0, 15.136363636363637)","(2.4, 2.58, 2.5436363636363635)"
12-01-2023 08:01:13.424063,"(19.0, 42.0, 35.0)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 18.0, 15.083333333333334)","(2.4, 2.56, 2.5533333333333332)"
12-01-2023 08:01:14.512373,"(19.0, 42.0, 35.0)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 18.0, 16.642857142857142)","(2.4, 2.56, 2.5533333333333332)"
12-01-2023 08:01:15.563803,"(19.0, 42.0, 35.0)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.642857142857142)","(2.4, 2.56, 2.5392)"
12-01-2023 08:01:16.591119,"(19.0, 42.0, 29.555555555555557)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.642857142857142)","(2.4, 2.56, 2.5392)"
12-01-2023 08:01:17.669151,"(19.0, 42.0, 29.555555555555557)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.642857142857142)","(2.4, 2.56, 2.5392)"
12-01-2023 08:01:18.669285,"(19.0, 42.0, 29.0)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.0)","(2.4, 2.56, 2.5392)"
12-01-2023 08:01:19.725303,"(19.0, 42.0, 29.0)","(4.6, 7.8, 7.709090909090909)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.375)","(2.4, 2.56, 2.5392)"
12-01-2023 08:01:20.799824,"(19.0, 42.0, 29.0)","(4.6, 7.8, 7.7444444444444445)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.3)","(2.4, 2.56, 2.5453333333333332)"
12-01-2023 08:01:21.865628,"(19.0, 42.0, 29.0)","(4.6, 8.2, 7.847058823529411)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 10.8)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.3)","(2.4, 2.56, 2.5433333333333334)"
12-01-2023 08:01:22.923734,"(19.0, 42.0, 32.9)","(4.6, 8.2, 7.847058823529411)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 11.466666666666667)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 15.7)","(2.4, 2.56, 2.5536507936507937)"
12-01-2023 08:01:24.297509,"(19.0, 42.0, 31.4375)","(4.6, 8.2, 7.892307692307692)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.1)","(2.4, 2.56, 2.5536507936507937)"
12-01-2023 08:01:25.405994,"(19.0, 42.0, 31.4375)","(4.6, 8.0, 7.9)","(31.0, 75.0, 61.22222222222222)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.1)","(2.4, 2.56, 2.5536507936507937)"
12-01-2023 08:01:26.652062,"(19.0, 42.0, 31.4375)","(4.6, 8.0, 7.9)","(31.0, 70.0, 57.0)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.56, 2.546666666666667)"
12-01-2023 08:01:27.774530,"(19.0, 42.0, 31.4375)","(4.6, 8.0, 7.933333333333334)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.56, 2.5148)"
12-01-2023 08:01:28.869373,"(19.0, 40.0, 35.0)","(4.6, 8.2, 7.941176470588235)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5148)"
12-01-2023 08:01:29.907207,"(19.0, 40.0, 32.94117647058823)","(4.6, 8.0, 7.885714285714285)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5148)"
12-01-2023 08:01:31.092990,"(19.0, 40.0, 32.94117647058823)","(4.6, 8.0, 7.885714285714285)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.205882352941177)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5148)"
12-01-2023 08:01:32.122439,"(19.0, 40.0, 32.94117647058823)","(4.6, 8.0, 7.885714285714285)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.517297297297297)"
12-01-2023 08:01:33.115344,"(19.0, 40.0, 32.94117647058823)","(4.6, 8.0, 7.85)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.517297297297297)"
12-01-2023 08:01:34.119170,"(19.0, 40.0, 32.94117647058823)","(4.6, 8.0, 7.85)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5152941176470587)"
12-01-2023 08:01:35.091954,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.85)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5152941176470587)"
12-01-2023 08:01:36.120625,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.85)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.652173913043478)","(7.0, 13.0, 12.625)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5152941176470587)"
12-01-2023 08:01:37.198840,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.866666666666666)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5152941176470587)"
12-01-2023 08:01:38.250234,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.866666666666666)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.185714285714286)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5162962962962965)"
12-01-2023 08:01:39.250704,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.866666666666666)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5366666666666666)"
12-01-2023 08:01:40.351817,"(19.0, 40.0, 33.714285714285715)","(4.6, 8.0, 7.866666666666666)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5375)"
12-01-2023 08:01:41.396335,"(19.0, 40.0, 33.4)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5375)"
12-01-2023 08:01:42.409210,"(19.0, 40.0, 31.2)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5375)"
12-01-2023 08:01:43.434087,"(19.0, 40.0, 34.35294117647059)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.54, 2.5454545454545454)"
12-01-2023 08:01:44.522636,"(19.0, 40.0, 35.2)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.56, 2.528)"
12-01-2023 08:01:45.544242,"(19.0, 40.0, 35.2)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.394736842105264)","(2.4, 2.56, 2.5566666666666666)"
12-01-2023 08:01:46.617160,"(19.0, 40.0, 35.2)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(15.0, 17.5, 16.625)","(2.4, 2.56, 2.5566666666666666)"
12-01-2023 08:01:47.849305,"(18.0, 40.0, 36.266666666666666)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.551578947368421)"
12-01-2023 08:01:48.988017,"(18.0, 40.0, 36.266666666666666)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.524812834224599)"
12-01-2023 08:01:50.141579,"(18.0, 40.0, 34.4)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.833333333333334)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.037931034482758)","(14.0, 17.5, 16.625)","(2.35, 2.58, 2.542222222222222)"
12-01-2023 08:01:51.255462,"(18.0, 40.0, 35.875)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.037931034482758)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5512727272727274)"
12-01-2023 08:01:52.398023,"(18.0, 40.0, 35.875)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5524528301886793)"
12-01-2023 08:01:53.539407,"(18.0, 40.0, 35.875)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5535483870967743)"
12-01-2023 08:01:54.806285,"(18.0, 40.0, 35.875)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5564912280701755)"
12-01-2023 08:01:55.954448,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5347368421052634)"
12-01-2023 08:01:57.252245,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.550909090909091)"
12-01-2023 08:01:58.341407,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5483333333333333)"
12-01-2023 08:01:59.393291,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.09047619047619)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5483333333333333)"
12-01-2023 08:02:00.507031,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5557894736842104)"
12-01-2023 08:02:01.593213,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5557894736842104)"
12-01-2023 08:02:02.604688,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.015384615384615)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5557894736842104)"
12-01-2023 08:02:03.739219,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5557894736842104)"
12-01-2023 08:02:04.840961,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.527586206896552)"
12-01-2023 08:02:05.842000,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.58, 2.527586206896552)"
12-01-2023 08:02:06.898909,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.58, 2.527586206896552)"
12-01-2023 08:02:07.970054,"(18.0, 40.0, 31.75)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.58, 2.5451428571428574)"
12-01-2023 08:02:09.053496,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5451428571428574)"
12-01-2023 08:02:10.079422,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5451428571428574)"
12-01-2023 08:02:11.192370,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5472)"
12-01-2023 08:02:12.223869,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5472)"
12-01-2023 08:02:13.343311,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5542857142857143)"
12-01-2023 08:02:14.470874,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5542857142857143)"
12-01-2023 08:02:15.572831,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5542857142857143)"
12-01-2023 08:02:16.702428,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5576470588235294)"
12-01-2023 08:02:17.816670,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5576470588235294)"
12-01-2023 08:02:18.909149,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5576470588235294)"
12-01-2023 08:02:19.981233,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5576470588235294)"
12-01-2023 08:02:21.067709,"(18.0, 40.0, 35.714285714285715)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.5576470588235294)"
12-01-2023 08:02:22.170092,"(18.0, 40.0, 37.6)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.554871794871795)"
12-01-2023 08:02:23.258393,"(18.0, 40.0, 37.6)","(4.6, 8.2, 8.018181818181818)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.56, 2.523529411764706)"
12-01-2023 08:02:24.293528,"(18.0, 40.0, 32.57142857142857)","(4.6, 8.2, 8.00952380952381)","(31.0, 70.0, 53.285714285714285)","(5.5, 12.0, 11.727272727272727)","(7.0, 13.0, 12.5)","(4.6, 5.3, 5.1482758620689655)","(14.0, 17.5, 16.625)","(2.35, 2.54, 2.523529411764706)"
